Date,Open,High,Low,Close,Volume,Change
2015-01-02,282500,287000,279500,285000,47931,0.008849557522123908
2015-01-05,282000,287500,281500,286000,59099,0.0035087719298245723
2015-01-06,286000,296000,284500,290500,137022,0.01573426573426584
2015-01-07,295500,301500,291000,296500,111059,0.0206540447504302
2015-01-08,300500,302500,296500,300500,109707,0.013490725126475533
2015-01-09,303000,303500,296500,297000,44747,-0.011647254575707144
2015-01-12,295500,298000,290500,292000,62072,-0.01683501683501687
2015-01-13,291000,298500,291000,295000,70665,0.010273972602739656
2015-01-14,295000,298500,292000,297000,85178,0.006779661016949046
2015-01-15,297000,301500,295000,298500,76352,0.005050505050504972
2015-01-16,295000,296500,283500,286000,59012,-0.041876046901172526
2015-01-19,284500,290000,282000,283000,37373,-0.010489510489510523
2015-01-20,285500,286000,278500,279000,73971,-0.014134275618374548
2015-01-21,277500,291000,277500,289500,88604,0.037634408602150504
2015-01-22,287500,291000,286000,290000,52600,0.0017271157167531026
2015-01-23,288000,293500,288000,293000,39022,0.010344827586206806
2015-01-26,295500,304500,293000,299000,59416,0.020477815699658786
2015-01-27,301000,310500,300000,310500,119093,0.03846153846153855
2015-01-28,307000,321500,305000,316500,131668,0.019323671497584627
2015-01-29,313000,324500,308500,317500,107808,0.003159557661927437
2015-01-30,312000,313000,295000,295000,169918,-0.07086614173228345
2015-02-02,293000,299500,290000,299000,58453,0.013559322033898313
2015-02-03,297500,301000,292000,294500,47430,-0.015050167224080258
2015-02-04,294500,299500,294000,296500,59272,0.00679117147707986
2015-02-05,296500,300000,292500,296000,57367,-0.001686340640809414
2015-02-06,293500,296000,289500,293000,69503,-0.010135135135135087
2015-02-09,292500,294500,290000,290000,39175,-0.010238907849829393
2015-02-10,289500,291500,286500,288000,38134,-0.006896551724137945
2015-02-11,286500,294500,286500,293500,32665,0.01909722222222232
2015-02-12,291000,293000,287000,292000,46741,-0.005110732538330498
2015-02-13,290500,292000,282500,285000,65619,-0.023972602739726012
2015-02-16,282500,294500,282500,292500,50525,0.026315789473684292
2015-02-17,281000,282500,261500,261500,267558,-0.10598290598290594
2015-02-23,262500,264500,258000,259000,227678,-0.009560229445506718
2015-02-24,258500,259500,254000,256500,270999,-0.009652509652509633
2015-02-25,256500,259000,254000,256500,395455,0.0
2015-02-26,254000,254000,250000,252500,398474,-0.015594541910331383
2015-02-27,256000,257000,253500,255000,466434,0.00990099009900991
2015-03-02,254000,255000,244000,246500,325781,-0.033333333333333326
2015-03-03,246000,255000,246000,253500,309311,0.028397565922920975
2015-03-04,255000,258500,254500,255500,250772,0.007889546351084853
2015-03-05,255000,257500,253000,256500,206836,0.00391389432485334
2015-03-06,256500,258000,254000,258000,161102,0.005847953216374213
2015-03-09,258500,263500,258000,263500,191747,0.02131782945736438
2015-03-10,265000,265000,259000,260500,107100,-0.011385199240986688
2015-03-11,257500,260000,244000,244000,371933,-0.06333973128598847
2015-03-12,247000,259000,246000,255500,425885,0.04713114754098369
2015-03-13,256000,258500,251500,252000,85395,-0.013698630136986356
2015-03-16,253500,255000,250500,251500,70224,-0.001984126984126977
2015-03-17,254500,258500,252500,257500,92982,0.02385685884691857
2015-03-18,259000,267500,256000,264000,203842,0.025242718446601975
2015-03-19,265500,266000,258000,258000,86785,-0.022727272727272707
2015-03-20,260000,264000,258500,261500,132255,0.013565891472868241
2015-03-23,261500,266500,257000,266500,87507,0.019120458891013437
2015-03-24,266500,271000,264000,270000,107394,0.013133208255159401
2015-03-25,270500,270500,264500,264500,56142,-0.020370370370370372
2015-03-26,263500,270500,263000,269000,120077,0.017013232514177634
2015-03-27,265500,269500,264000,265000,71125,-0.014869888475836479
2015-03-30,268000,269000,262000,262000,64974,-0.01132075471698113
2015-03-31,263000,267500,263000,267500,47136,0.020992366412213803
2015-04-01,264000,265500,257000,258500,101505,-0.03364485981308407
2015-04-02,258000,261000,254500,258000,96858,-0.0019342359767892114
2015-04-03,260000,261000,258500,261000,28116,0.011627906976744207
2015-04-06,260000,261000,258500,258500,31489,-0.009578544061302652
2015-04-07,260000,260500,256000,259000,52824,0.0019342359767891004
2015-04-08,260000,261000,258500,260000,94859,0.0038610038610038533
2015-04-09,260000,262000,257500,262000,66517,0.007692307692307665
