Date,Open,High,Low,Close,Volume,Change
2015-01-02,87800,90300,87500,89800,6173,0.0011148272017837968
2015-01-05,88300,89300,86000,88700,12398,-0.012249443207126953
2015-01-06,87300,89900,86200,89500,7836,0.00901916572717032
2015-01-07,88600,90400,86500,88100,13214,-0.015642458100558643
2015-01-08,87000,88200,86500,86600,3987,-0.017026106696935273
2015-01-09,87000,88400,86700,87800,2357,0.01385681293302543
2015-01-12,87000,89400,86600,88800,4486,0.011389521640091216
2015-01-13,87700,89500,87700,88800,4787,0.0
2015-01-14,88100,89700,87700,89000,7061,0.0022522522522523403
2015-01-15,88100,89000,87600,88900,2488,-0.0011235955056180247
2015-01-16,88200,88600,86600,87200,3380,-0.019122609673790758
2015-01-19,87200,88000,85700,87700,4984,0.005733944954128489
2015-01-20,87700,89500,87700,89000,6413,0.014823261117445918
2015-01-21,87700,89500,87100,88100,4650,-0.010112359550561778
2015-01-22,88300,88700,87200,88200,3992,0.0011350737797957144
2015-01-23,87700,90000,87700,89500,4551,0.01473922902494329
2015-01-26,89500,90100,89000,89500,1183,0.0
2015-01-27,89600,91500,88300,90000,5280,0.005586592178770999
2015-01-28,91200,99000,90100,95100,14871,0.05666666666666664
2015-01-29,95500,95600,92200,92400,7329,-0.028391167192429068
2015-01-30,92600,96800,92500,94600,10273,0.023809523809523725
2015-02-02,93400,93900,92400,92500,7180,-0.022198731501057112
2015-02-03,92300,94600,91500,93400,5227,0.00972972972972963
2015-02-04,92700,95400,92700,93500,5557,0.0010706638115631772
2015-02-05,93500,95800,93500,94900,5799,0.014973262032085488
2015-02-06,94200,95500,93300,94300,5453,-0.006322444678609096
2015-02-09,94300,94900,93000,93700,5130,-0.006362672322375418
2015-02-10,93800,94000,91700,93200,6779,-0.005336179295624355
2015-02-11,93800,94600,91800,92000,4982,-0.012875536480686733
2015-02-12,93000,93000,89600,89700,4291,-0.025000000000000022
2015-02-13,88600,92100,88600,91600,3982,0.021181716833890807
2015-02-16,90700,93000,90700,92200,1174,0.0065502183406114245
2015-02-17,92300,92800,90000,92800,4242,0.006507592190889477
2015-02-23,93400,93400,91600,92400,3077,-0.004310344827586188
2015-02-24,91700,93000,90900,91100,1866,-0.01406926406926412
2015-02-25,92100,92400,90900,91500,5209,0.004390779363337094
2015-02-26,92300,92500,90300,90900,6365,-0.006557377049180357
2015-02-27,90400,91300,89000,90400,7886,-0.005500550055005493
2015-03-02,89500,89800,88200,88400,6912,-0.02212389380530977
2015-03-03,88200,89400,87700,88400,4988,0.0
2015-03-04,88200,88900,86900,86900,8647,-0.016968325791855254
2015-03-05,86500,87200,86400,87000,3149,0.0011507479861909697
2015-03-06,86700,87400,86200,86200,5078,-0.00919540229885063
2015-03-09,85900,86800,83500,83700,11625,-0.029002320185614883
2015-03-10,83600,84800,83000,84500,7876,0.009557945041815952
2015-03-11,84400,84700,82300,84000,9405,-0.00591715976331364
2015-03-12,83200,84300,82300,82600,11493,-0.01666666666666672
2015-03-13,83200,85900,82400,85400,5767,0.03389830508474567
2015-03-16,85400,87000,84500,86700,6153,0.015222482435597096
2015-03-17,85900,87900,85100,87500,7616,0.009227220299884653
2015-03-18,87500,88000,86300,87600,7178,0.0011428571428571122
2015-03-19,87100,88500,86700,88100,6877,0.005707762557077611
2015-03-20,88000,88200,87200,87600,6240,-0.005675368898978461
2015-03-23,87600,94800,87600,91900,19734,0.04908675799086759
2015-03-24,92000,92000,89800,91600,5159,-0.0032644178454842576
2015-03-25,90500,93500,90500,92300,6692,0.007641921397379958
2015-03-26,92300,93300,91200,93000,9460,0.007583965330444142
2015-03-27,92500,93000,91600,92600,5873,-0.004301075268817178
2015-03-30,92600,93300,91500,92900,4505,0.003239740820734305
2015-03-31,92000,93000,90900,92000,6960,-0.009687836383207804
2015-04-01,91500,92400,90900,91000,4249,-0.010869565217391353
2015-04-02,89800,91300,89700,91000,4879,0.0
2015-04-03,92000,92000,90000,91000,2615,0.0
2015-04-06,91100,91100,90100,90600,4269,-0.00439560439560438
2015-04-07,90200,91000,90000,90900,4343,0.0033112582781456013
2015-04-08,90400,93200,90200,93000,15119,0.02310231023102305
2015-04-09,93100,94500,91600,93000,29944,0.0
2015-04-10,93200,97300,92300,96800,20475,0.04086021505376336
2015-04-13,96800,98000,95600,96900,8493,0.0010330578512396382
2015-04-14,97500,104000,97000,100500,27429,0.037151702786377694
2015-04-15,99600,113000,99400,108500,37710,0.07960199004975133
2015-04-16,112000,118500,109000,113500,41476,0.04608294930875578
2015-04-17,116000,128000,116000,119500,74596,0.052863436123347984
2015-04-20,117500,125500,117000,119000,30783,-0.004184100418409997
2015-04-21,120000,120000,109500,110500,41391,-0.0714285714285714
2015-04-22,110000,112000,103500,108000,33823,-0.022624434389140302
2015-04-23,110000,110000,104500,107500,21789,-0.00462962962962965
2015-04-24,105000,107500,101500,103500,24519,-0.037209302325581395
2015-04-27,104500,106000,102000,105500,17562,0.019323671497584627
2015-04-28,106000,106000,101500,104500,14433,-0.009478672985781977
2015-04-29,105000,105000,102000,104000,12011,-0.004784688995215336
2015-04-30,103000,104000,99400,102000,20521,-0.019230769230769273
2015-05-04,102500,106000,101000,105000,15381,0.02941176470588225
2015-05-06,105000,105000,100500,102000,12257,-0.02857142857142858
2015-05-07,101000,106500,99100,104500,18920,0.02450980392156854
2015-05-08,103500,109000,100000,107000,29177,0.02392344497607657
2015-05-11,110000,110000,106000,107000,19076,0.0
2015-05-12,107000,109000,104000,108000,12760,0.009345794392523255
2015-05-13,107500,112500,107500,111500,15234,0.03240740740740744
2015-05-14,111500,111500,108500,111000,9761,-0.004484304932735439
2015-05-15,111000,112500,108000,108000,13638,-0.027027027027026973
2015-05-18,106000,106000,98700,101500,40243,-0.06018518518518523
2015-05-19,102000,105000,101000,102500,14453,0.009852216748768461
2015-05-20,102500,108000,101000,106500,14321,0.039024390243902474
2015-05-21,105000,107500,102500,105000,14283,-0.014084507042253502
2015-05-22,104000,107500,103000,106500,15370,0.014285714285714235
2015-05-26,106500,108000,104000,108000,12122,0.014084507042253502
2015-05-27,107000,107500,100500,102500,16456,-0.05092592592592593
2015-05-28,102500,106500,102500,104000,16162,0.014634146341463428
2015-05-29,103000,108500,102500,108000,13929,0.03846153846153855
2015-06-01,107000,107000,104500,104500,8164,-0.03240740740740744
2015-06-02,104000,104500,100000,100000,16194,-0.0430622009569378
2015-06-03,100000,102500,99700,100000,8862,0.0
2015-06-04,100000,102000,99200,99200,10692,-0.008000000000000007
2015-06-05,99200,99700,95700,98500,14540,-0.007056451612903247
2015-06-08,98600,98800,96800,98300,5351,-0.0020304568527919065
2015-06-09,98800,98800,97200,97300,7694,-0.010172939979654072
2015-06-10,98300,98800,95800,98100,9652,0.008221993833504637
2015-06-11,97700,110000,97200,106000,37507,0.08053007135575951
2015-06-12,110000,121500,109500,121500,160845,0.14622641509433953
2015-06-15,130000,157500,128500,157500,299145,0.2962962962962963
2015-06-16,165000,197000,164500,177000,254460,0.12380952380952381
2015-06-17,175000,197000,169000,187500,149687,0.05932203389830515
2015-06-18,204000,220500,186000,194000,137819,0.03466666666666662
2015-06-19,189500,203500,188000,195000,86718,0.005154639175257714
2015-06-22,192500,201500,187500,191000,44803,-0.02051282051282055
2015-06-23,184000,192000,180000,187500,48222,-0.01832460732984298
2015-06-24,182500,203000,182500,203000,77214,0.08266666666666667
2015-06-25,200000,235000,195000,219000,88636,0.07881773399014769
2015-06-26,219000,234000,211500,222500,49313,0.015981735159817267
2015-06-29,216000,240000,211000,229000,92062,0.02921348314606731
2015-06-30,236000,237000,220000,233000,50200,0.017467248908296984
2015-07-01,231000,236500,223000,223000,51140,-0.0429184549356223
2015-07-02,223000,237500,216000,230500,52921,0.03363228699551568
2015-07-03,235000,257500,232500,249500,79054,0.08242950108459879
2015-07-06,244500,254000,240000,244500,45735,-0.02004008016032066
2015-07-07,260000,285000,219000,239000,251823,-0.02249488752556239
2015-07-08,241000,280000,232500,280000,255426,0.17154811715481166
2015-07-09,272000,306000,268000,300000,217248,0.0714285714285714
2015-07-10,296000,305000,281500,285000,93455,-0.050000000000000044
2015-07-13,285000,287000,260500,280000,101120,-0.01754385964912286
2015-07-14,289000,298000,273500,279500,62594,-0.0017857142857142794
2015-07-15,274000,285500,263500,276000,66628,-0.012522361359570633
2015-07-16,277000,277000,253000,262000,107763,-0.050724637681159424
2015-07-17,268000,268000,246500,256000,94155,-0.022900763358778664
2015-07-20,256500,261000,244500,255000,80840,-0.00390625
2015-07-21,257500,258000,247000,250000,52652,-0.019607843137254943
2015-07-22,249500,252500,229500,238000,96896,-0.04800000000000004
2015-07-23,241500,250500,235000,246500,108652,0.03571428571428581
2015-07-24,247500,275000,243000,270000,93379,0.09533468559837721
2015-07-27,265000,265000,205500,225500,189626,-0.16481481481481486
2015-07-28,216000,230500,207000,227000,102822,0.006651884700665134
2015-07-29,232000,237500,184500,189000,201318,-0.1674008810572687
2015-07-30,189000,197000,171000,179000,208132,-0.05291005291005291
2015-07-31,182500,193000,176000,191500,146380,0.06983240223463683
2015-08-03,192000,196500,185000,189500,55036,-0.010443864229765065
2015-08-04,187000,202500,185500,199000,69019,0.05013192612137196
2015-08-05,199500,210000,194500,206500,54134,0.03768844221105527
2015-08-06,208500,225500,205000,224000,164444,0.0847457627118644
2015-08-07,215500,224000,210500,222500,79456,-0.006696428571428603
2015-08-10,222000,231500,215000,226500,61829,0.01797752808988773
2015-08-11,230000,230500,204500,223500,69469,-0.013245033112582738
2015-08-12,220000,220000,187000,209500,82674,-0.06263982102908272
2015-08-13,208000,219000,202000,218000,49094,0.04057279236276856
2015-08-17,218000,223000,212500,217000,29217,-0.004587155963302725
2015-08-18,214500,215500,198500,200000,44553,-0.07834101382488479
2015-08-19,197500,202500,187000,199000,59790,-0.0050000000000000044
2015-08-20,191000,209000,191000,201000,35286,0.01005025125628145
2015-08-21,190000,199000,182000,196500,65537,-0.02238805970149249
2015-08-24,190000,202500,179500,180000,61610,-0.08396946564885499
2015-08-25,184000,188500,174500,185000,68002,0.02777777777777768
2015-08-26,178500,190500,178500,189000,67551,0.021621621621621623
2015-08-27,190000,193500,177500,183500,73036,-0.02910052910052907
2015-08-28,188500,189000,180500,180500,42734,-0.016348773841961872
2015-08-31,180500,184500,177000,179000,31969,-0.008310249307479256
2015-09-01,179500,187000,160500,162500,96338,-0.09217877094972071
2015-09-02,158500,165500,156500,163000,80361,0.003076923076922977
2015-09-03,166500,169000,159000,160500,51663,-0.015337423312883458
2015-09-04,160000,161500,134000,136000,174851,-0.15264797507788164
2015-09-07,138000,141000,132500,135000,98093,-0.007352941176470562
2015-09-08,136000,138500,127000,129000,99061,-0.0444444444444444
2015-09-09,133500,144500,132500,142000,160946,0.10077519379844957
2015-09-10,139000,145500,136500,145500,76480,0.02464788732394374
2015-09-11,143000,150000,141500,147000,70108,0.010309278350515427
2015-09-14,150000,152500,145000,148000,76298,0.006802721088435382
2015-09-15,144500,150500,142000,148000,37193,0.0
2015-09-16,150000,155000,149000,154000,44226,0.04054054054054057
2015-09-17,155000,155000,147500,149500,28731,-0.02922077922077926
2015-09-18,151500,165000,146500,164500,84123,0.10033444816053505
2015-09-21,160000,161500,155000,158500,37975,-0.03647416413373861
2015-09-22,157500,162500,154000,159500,34702,0.006309148264984188
2015-09-23,154500,157000,140000,143000,98427,-0.10344827586206895
2015-09-24,144000,147500,142000,146500,26478,0.02447552447552437
2015-09-25,147000,148000,139500,142500,37217,-0.027303754266211566
2015-09-30,137500,137500,129500,135500,102192,-0.0491228070175439
2015-10-01,136500,143000,136000,140500,35650,0.03690036900368998
2015-10-02,141500,144500,137500,142000,27330,0.01067615658362997
2015-10-05,151000,156000,148500,150500,60167,0.059859154929577496
2015-10-06,154000,154000,147000,147000,30298,-0.023255813953488413
2015-10-07,149000,158000,148500,158000,101789,0.0748299319727892
2015-10-08,158000,159500,152500,159500,35691,0.009493670886076
2015-10-12,161500,161500,150500,151000,41560,-0.053291536050156685
2015-10-13,151500,156500,150500,153500,36575,0.01655629139072845
2015-10-14,153500,155000,148500,148500,32269,-0.032573289902280145
2015-10-15,148000,156000,148000,155000,26591,0.04377104377104368
2015-10-16,155500,161500,155500,161000,41360,0.03870967741935494
2015-10-19,162000,163000,157500,160500,26483,-0.0031055900621117516
2015-10-20,160500,163500,158000,163500,26181,0.01869158878504673
2015-10-21,165500,169000,164000,165500,43474,0.012232415902140747
2015-10-22,163500,164000,155000,158000,43232,-0.0453172205438066
2015-10-23,160000,161500,156000,160500,22033,0.015822784810126667
2015-10-26,162500,167000,159500,164500,33782,0.024922118380062308
2015-10-27,163000,165000,161000,162500,15796,-0.012158054711246202
2015-10-28,163000,164500,160000,163000,9650,0.003076923076922977
2015-10-29,163500,163500,157000,160500,29318,-0.015337423312883458
2015-10-30,161000,161000,156500,160500,34214,0.0
2015-11-02,162500,162500,155500,156000,16129,-0.028037383177570097
2015-11-03,159500,159500,154500,156000,26515,0.0
2015-11-04,155000,156500,150500,152000,30845,-0.02564102564102566
2015-11-05,152000,157500,151500,153500,24532,0.009868421052631637
2015-11-06,158000,164500,156000,159000,67126,0.03583061889250816
2015-11-09,159000,159000,149000,149500,39940,-0.05974842767295596
2015-11-10,146500,146500,138000,142500,29018,-0.04682274247491636
2015-11-11,140500,145500,140500,141500,16133,-0.007017543859649145
2015-11-12,141000,144500,139500,142000,18029,0.0035335689045936647
2015-11-13,138500,140000,133000,135000,40206,-0.04929577464788737
2015-11-16,130000,135500,130000,133000,36457,-0.014814814814814836
2015-11-17,140000,152000,138500,147000,64874,0.10526315789473695
2015-11-18,147000,150000,145000,148000,18308,0.006802721088435382
2015-11-19,148500,152000,146000,150000,19108,0.013513513513513598
2015-11-20,149500,155000,149500,152000,15265,0.01333333333333342
2015-11-23,154500,158000,152500,157500,23603,0.03618421052631571
2015-11-24,159000,163000,157000,160500,45773,0.01904761904761898
2015-11-25,161500,161500,156500,159500,16742,-0.006230529595015577
2015-11-26,160500,168500,160500,168000,39233,0.053291536050156685
