Date,Open,High,Low,Close,Volume,Change
2015-01-02,27450,28000,27100,28000,46907,0.0035842293906809264
2015-01-05,27850,28800,27450,28500,45194,0.017857142857142794
2015-01-06,27900,28250,26500,26950,109512,-0.05438596491228065
2015-01-07,27000,27300,26750,27100,33796,0.005565862708719838
2015-01-08,27100,27450,27000,27350,40104,0.009225092250922495
2015-01-09,27950,28450,27850,27900,45631,0.02010968921389389
2015-01-12,27700,28400,27350,28150,30657,0.008960573476702427
2015-01-13,28150,28150,27250,27550,57561,-0.02131438721136769
2015-01-14,27300,27800,27250,27750,38903,0.007259528130671544
2015-01-15,27900,28500,27750,28200,154952,0.016216216216216273
2015-01-16,28150,28550,27700,28450,95659,0.00886524822695045
2015-01-19,28600,29950,28550,29900,77967,0.05096660808435849
2015-01-20,29900,30050,28700,29000,71505,-0.030100334448160515
2015-01-21,28700,30600,28700,30000,110947,0.034482758620689724
2015-01-22,29750,30450,29700,30000,58700,0.0
2015-01-23,30600,30700,29800,30250,41730,0.008333333333333304
2015-01-26,29950,30050,29250,29750,61402,-0.016528925619834656
2015-01-27,29300,30500,29300,30300,56799,0.018487394957983128
2015-01-28,30500,31900,30450,30950,152026,0.021452145214521545
2015-01-29,30950,32850,30800,32650,159283,0.0549273021001615
2015-01-30,32900,33400,31850,31850,83572,-0.024502297090352232
2015-02-02,32000,32850,31800,32250,40654,0.012558869701726927
2015-02-03,32400,32700,31800,32200,42003,-0.0015503875968991832
2015-02-04,32050,33100,31850,32750,98429,0.017080745341614856
2015-02-05,32750,33750,32500,33250,63644,0.01526717557251911
2015-02-06,33400,33600,32800,33100,55508,-0.004511278195488688
2015-02-09,32850,33600,32850,33200,28618,0.0030211480362538623
2015-02-10,33050,33600,32450,33400,89285,0.006024096385542244
2015-02-11,33250,33700,32350,32500,85648,-0.026946107784431184
2015-02-12,32750,33850,32550,33600,61849,0.03384615384615386
2015-02-13,33600,34400,33400,33750,43119,0.0044642857142858094
2015-02-16,33750,34050,33200,33200,41784,-0.016296296296296253
2015-02-17,33250,33700,33250,33500,53945,0.009036144578313143
2015-02-23,34300,34350,33850,34250,44332,0.02238805970149249
2015-02-24,33800,34500,33800,34050,31030,-0.005839416058394109
2015-02-25,34500,35000,34000,34050,39223,0.0
2015-02-26,34100,35000,33700,34750,102621,0.0205580029368575
2015-02-27,34450,34900,33500,34700,59477,-0.0014388489208633226
2015-03-02,34200,34500,33450,33450,54188,-0.03602305475504319
2015-03-03,33250,33800,32400,33100,87684,-0.010463378176382654
2015-03-04,33100,34500,33100,34250,82275,0.03474320241691853
2015-03-05,33600,34950,33600,34400,53453,0.004379562043795637
2015-03-06,34450,35050,34050,34200,62280,-0.005813953488372103
2015-03-09,33400,34350,33400,34000,16083,-0.005847953216374324
2015-03-10,33750,34150,33450,33700,38026,-0.008823529411764675
2015-03-11,33150,33750,32700,32700,53234,-0.029673590504451064
2015-03-12,33300,33500,32700,33050,60610,0.010703363914372988
2015-03-13,33600,33700,33100,33500,29457,0.013615733736762392
