Date,Open,High,Low,Close,Volume,Change
2015-01-02,35438,35848,35258,35532,209680,0.007714123652864391
2015-01-05,35395,35576,35077,35350,168975,-0.005122143420015712
2015-01-06,34941,35121,34396,34715,271199,-0.017963224893917995
2015-01-07,34578,34805,34396,34397,169967,-0.009160305343511421
2015-01-08,34622,35213,34395,34579,225169,0.005291159112713384
2015-01-09,35077,35304,34578,34852,270553,0.007894965152259958
2015-01-12,34985,35303,34849,34943,219070,0.0026110409732582607
2015-01-13,35120,37164,34940,36031,1225518,0.03113642217325352
2015-01-14,36482,37027,36256,36531,564228,0.013876939302267521
2015-01-15,36891,37482,36665,37348,578489,0.02236456708001433
2015-01-16,37619,37754,36666,36712,355641,-0.017029024311877472
2015-01-19,37571,37980,36935,36939,414952,0.00618326432774019
2015-01-20,36937,37209,36212,36712,341989,-0.006145266520479753
2015-01-21,36847,37074,35984,36258,350746,-0.012366528655480491
2015-01-22,36075,36392,35531,35623,290932,-0.017513376358320953
2015-01-23,36030,36666,35849,36666,366340,0.029278836706622124
2015-01-26,36710,37165,36166,36303,305561,-0.009900180003272752
2015-01-27,36391,36619,35575,35850,331935,-0.01247830757788615
2015-01-28,35575,35983,35484,35941,224071,0.0025383542538355286
2015-01-29,35893,36800,35848,36395,336457,0.012631813249492252
2015-01-30,36981,38342,36346,36939,1228557,0.014947108119247154
2015-02-02,37119,37709,36620,37665,396675,0.01965402420206286
2015-02-03,37709,39025,37345,38935,1028397,0.033718306119739916
2015-02-04,38935,39479,38436,38482,642246,-0.011634775908565542
2015-02-05,38797,38889,38118,38482,391517,0.0
2015-02-06,43564,43835,41203,42747,4867669,0.11083103788784365
2015-02-09,42700,46557,42291,44745,4058760,0.046740122113832605
2015-02-10,45377,46920,43063,44290,2788615,-0.01016873393675266
2015-02-11,45152,45923,44742,45016,1671265,0.016391962068186938
2015-02-12,45332,46103,43607,45833,1772525,0.01814910254131874
2015-02-13,46285,52638,46285,52640,6289955,0.14851744376322729
2015-02-16,54816,60533,53818,60537,6840229,0.15001899696048637
2015-02-17,63076,64801,57540,58811,9534166,-0.028511488841534982
2015-02-23,61080,67523,59991,66798,7696640,0.13580792708846978
2015-02-24,66162,68703,63984,65346,5704104,-0.02173717775981321
2015-02-25,66434,66707,60717,61534,5177103,-0.05833562880665988
2015-02-26,60353,61896,58085,60627,6690995,-0.014739818636851143
2015-02-27,61079,62712,59445,59447,3363450,-0.019463275438336036
2015-03-02,58538,59991,56451,56543,2808599,-0.048850236344979536
2015-03-03,58174,61169,57539,58631,4200821,0.03692764798471959
2015-03-04,58538,62804,58085,59720,4287443,0.018573792021285618
2015-03-05,60353,61080,57721,58449,2443446,-0.021282652377762945
2015-03-06,58992,63076,58085,63078,4157210,0.0791972488836421
2015-03-09,64437,65254,60806,61354,3242703,-0.027331240686134572
2015-03-10,60987,61714,58810,59175,2068230,-0.03551520683248033
2015-03-11,60081,61442,58811,58902,1844737,-0.004613434727503196
2015-03-12,58901,60172,56995,59720,2055098,0.013887474109537834
2015-03-13,60625,62077,59808,60537,1867711,0.013680509042196975
2015-03-16,61623,62621,60625,61898,1770756,0.022482118373887028
