Date,Open,High,Low,Close,Volume,Change
2015-01-02,2373,2749,2373,2750,396528,0.14870509607351723
2015-01-05,2710,2710,2631,2691,325545,-0.021454545454545504
2015-01-06,2641,2799,2641,2760,338029,0.02564102564102555
2015-01-07,2769,2819,2670,2780,244218,0.007246376811594235
2015-01-08,2739,2769,2660,2671,167277,-0.03920863309352518
2015-01-09,2690,2739,2641,2710,118355,0.014601272931486386
2015-01-12,2710,2809,2670,2799,154544,0.03284132841328424
2015-01-13,2809,2809,2660,2671,121987,-0.04573061807788492
2015-01-14,2660,2739,2621,2730,102937,0.022089105204043502
2015-01-15,2730,2769,2690,2760,102028,0.01098901098901095
2015-01-16,2730,2769,2680,2750,90710,-0.0036231884057971175
2015-01-19,2759,2779,2631,2691,96087,-0.021454545454545504
2015-01-20,2670,3007,2670,2878,599659,0.06949089557785215
2015-01-21,2868,2996,2818,2888,381774,0.0034746351633079264
2015-01-22,2967,2967,2769,2819,183158,-0.023891966759002736
2015-01-23,2828,2858,2759,2799,104887,-0.007094714437743899
2015-01-26,2809,2858,2700,2789,97090,-0.0035727045373347144
2015-01-27,2779,2927,2779,2898,258493,0.03908210828253855
2015-01-28,2868,2957,2749,2928,165448,0.010351966873705987
2015-01-29,2927,2957,2848,2928,135796,0.0
2015-01-30,2908,3007,2888,2977,154851,0.016734972677595605
2015-02-02,2987,3016,2868,2938,128309,-0.013100436681222738
2015-02-03,2937,2996,2888,2977,84654,0.01327433628318575
2015-02-04,2977,2977,2838,2888,219823,-0.029895868323815966
2015-02-05,2908,2937,2868,2898,87599,0.003462603878116255
2015-02-06,2868,2908,2720,2770,213908,-0.04416839199447897
2015-02-09,2769,2848,2739,2789,187306,0.006859205776173383
2015-02-10,2828,2838,2710,2760,84373,-0.010397992111868093
2015-02-11,2759,2917,2739,2898,126486,0.050000000000000044
2015-02-12,2888,2918,2749,2770,114569,-0.04416839199447897
2015-02-13,2769,2838,2739,2809,88035,0.014079422382671458
2015-02-16,2789,2838,2729,2799,81292,-0.003559985760057005
2015-02-17,2779,2818,2749,2799,49431,0.0
2015-02-23,2789,2848,2739,2750,75674,-0.017506252232940334
2015-02-24,2749,2818,2710,2799,74869,0.017818181818181733
2015-02-25,2819,2927,2789,2789,214184,-0.0035727045373347144
2015-02-26,2838,3096,2779,2967,365015,0.06382215847974182
2015-02-27,2977,3007,2908,2938,175799,-0.00977418267610386
2015-03-02,2937,3214,2927,3116,311777,0.060585432266848205
2015-03-03,3115,3254,3056,3057,210726,-0.018934531450577663
2015-03-04,3036,3115,2987,3027,120307,-0.00981354268891066
2015-03-05,2987,3145,2977,3076,69070,0.0161876445325404
2015-03-06,3066,3096,2937,2958,136344,-0.03836150845253572
2015-03-09,2917,3046,2917,2967,85685,0.0030425963488844854
2015-03-10,2967,3007,2868,2948,100073,-0.0064037748567576935
2015-03-11,2888,2918,2809,2829,208950,-0.040366350067842616
2015-03-12,2838,2937,2828,2829,170838,0.0
2015-03-13,2868,2898,2819,2869,92157,0.014139271827500854
2015-03-16,2878,2918,2828,2859,82311,-0.003485535029627007
2015-03-17,2858,2967,2858,2918,114011,0.020636586218957698
2015-03-18,2997,2997,2878,2918,78471,0.0
2015-03-19,2937,2987,2898,2958,70820,0.013708019191226883
2015-03-20,2967,2977,2848,2908,133176,-0.01690331304935766
2015-03-23,2927,2987,2888,2987,169315,0.027166437414030353
2015-03-24,2957,3145,2957,3146,322569,0.05323066622028794
2015-03-25,3125,3145,3036,3136,195753,-0.0031786395422759295
2015-03-26,3244,3452,3056,3165,518602,0.009247448979591733
2015-03-27,3105,3254,3066,3136,230750,-0.009162717219589278
2015-03-30,3135,3224,3066,3205,199968,0.022002551020408267
2015-03-31,3214,3264,3145,3215,181429,0.0031201248049921304
2015-04-01,3194,3323,3175,3324,188946,0.03390357698289259
2015-04-02,3323,3382,3284,3353,185329,0.008724428399518702
2015-04-03,3363,3373,3303,3353,110564,0.0
2015-04-06,3363,3462,3323,3442,160989,0.026543393975544394
2015-04-07,3452,3521,3373,3383,131064,-0.017141196978500917
2015-04-08,3343,3373,3254,3284,187447,-0.029263966893290028
2015-04-09,3284,3313,3234,3294,107182,0.003045066991473888
2015-04-10,3274,3422,3274,3363,116482,0.020947176684881663
2015-04-13,3323,3412,3303,3383,111757,0.005947071067499365
2015-04-14,3392,3442,3343,3413,130141,0.008867868755542352
2015-04-15,3333,3363,3303,3324,110093,-0.026076765309112182
2015-04-16,3313,3422,3284,3403,127903,0.023766546329723193
2015-04-17,3343,3412,3284,3294,75017,-0.03203056126946813
2015-04-20,3293,3343,3145,3165,169186,-0.03916211293260474
2015-04-21,3165,3204,3115,3175,189551,0.003159557661927437
2015-04-22,3145,3244,3046,3136,168038,-0.012283464566929081
2015-04-23,3125,3185,2987,3057,188303,-0.02519132653061229
2015-04-24,3046,3224,3046,3205,145254,0.04841347726529288
2015-04-27,3224,3274,3204,3244,94488,0.012168486739469575
2015-04-28,3274,3382,3224,3363,105536,0.03668310727496915
2015-04-29,3412,3412,3264,3324,62644,-0.011596788581623496
2015-04-30,3313,3353,3214,3333,82481,0.0027075812274368616
2015-05-04,3333,3333,3125,3136,100118,-0.059105910591059074
2015-05-06,3115,3155,2947,2987,123126,-0.04751275510204078
2015-05-07,3016,3056,2977,3037,53129,0.01673920321392708
2015-05-08,3076,3105,2987,3047,80811,0.003292723081988802
2015-05-11,3056,3125,3046,3086,37178,0.01279947489333777
2015-05-12,3046,3115,3046,3096,40951,0.003240440699935121
2015-05-13,3066,3224,3046,3175,75067,0.025516795865633046
2015-05-14,3274,3382,3274,3373,141392,0.062362204724409454
2015-05-15,3392,3412,3303,3343,137037,-0.008894159501927068
2015-05-18,3333,3382,3303,3353,79151,0.0029913251570445887
2015-05-19,3323,3541,3313,3422,161286,0.02057858634059051
2015-05-20,3373,3521,3363,3422,108414,0.0
2015-05-21,3392,3462,3392,3393,98234,-0.008474576271186418
2015-05-22,3442,3501,3382,3462,146018,0.020335985853227267
2015-05-26,3491,3531,3373,3413,121403,-0.014153668399768948
