Date,Open,High,Low,Close,Volume,Change
2015-01-02,9330,9380,8840,9000,607219,-0.02807775377969768
2015-01-05,8910,9220,8740,8850,683083,-0.01666666666666672
2015-01-06,8790,8820,8310,8320,670048,-0.059887005649717495
2015-01-07,8320,8710,8300,8430,526859,0.013221153846153744
2015-01-08,8450,8630,8350,8530,336469,0.011862396204033177
2015-01-09,8530,8730,8520,8670,338469,0.016412661195779554
2015-01-12,8670,8770,8410,8630,547027,-0.0046136101499423265
2015-01-13,8640,8730,8370,8480,729866,-0.017381228273464666
2015-01-14,8550,8650,8400,8470,402999,-0.001179245283018826
2015-01-15,8560,8570,8280,8380,368962,-0.010625737898465215
2015-01-16,8310,8460,8040,8210,402278,-0.02028639618138428
2015-01-19,8220,8680,8220,8590,529752,0.04628501827040199
2015-01-20,8730,8940,8680,8810,703600,0.025611175785797524
2015-01-21,8850,8850,8580,8790,381559,-0.002270147559591429
2015-01-22,8890,9270,8860,9200,612224,0.04664391353811159
2015-01-23,9300,9300,9020,9030,384808,-0.018478260869565166
2015-01-26,9040,9180,8900,9040,318429,0.001107419712070845
2015-01-27,9040,9100,8870,8890,290090,-0.0165929203539823
2015-01-28,8810,9040,8810,8890,227639,0.0
2015-01-29,8890,8970,8660,8680,346495,-0.023622047244094446
2015-01-30,8850,9380,8740,9210,978503,0.06105990783410142
2015-02-02,9210,9240,8830,8910,728893,-0.032573289902280145
2015-02-03,9020,9120,8830,8980,290644,0.007856341189674598
2015-02-04,9040,9070,8820,8970,385140,-0.00111358574610243
2015-02-05,8860,9010,8860,9000,227966,0.0033444816053511683
2015-02-06,9050,9100,8900,9060,322813,0.006666666666666599
2015-02-09,9060,9230,8950,9200,397841,0.015452538631346657
2015-02-10,9200,9290,9020,9090,316370,-0.011956521739130421
2015-02-11,9200,9220,8990,9020,292435,-0.007700770077007646
2015-02-12,8800,9060,8500,9050,547580,0.003325942350332678
2015-02-13,9080,9510,9080,9300,856246,0.027624309392265234
2015-02-16,9290,9440,9140,9210,415090,-0.009677419354838679
2015-02-17,9240,9260,8980,9060,390862,-0.016286644951140072
2015-02-23,9110,9860,9110,9830,1476135,0.08498896247240628
2015-02-24,9870,9960,9630,9950,841908,0.012207527975584886
2015-02-25,10000,10500,9860,10200,1260150,0.025125628140703515
2015-02-26,10200,10450,10050,10250,555790,0.004901960784313708
2015-02-27,10150,10250,9850,10000,697306,-0.024390243902439046
2015-03-02,9830,10200,9770,10150,515974,0.014999999999999902
2015-03-03,10050,10250,9860,9900,561285,-0.024630541871921152
2015-03-04,9900,10100,9850,9930,364691,0.003030303030302939
2015-03-05,9990,10200,9930,9960,493924,0.0030211480362538623
2015-03-06,10000,10150,9790,9840,416523,-0.012048192771084376
2015-03-09,9800,9960,9750,9840,268611,0.0
2015-03-10,9860,9890,9220,9430,870076,-0.04166666666666663
2015-03-11,9210,9540,9170,9440,397707,0.0010604453870626251
2015-03-12,9420,9780,9350,9780,423043,0.03601694915254239
2015-03-13,9780,9930,9710,9740,291630,-0.004089979550102263
2015-03-16,9750,9770,9510,9660,306408,-0.008213552361396315
2015-03-17,9690,9810,9640,9770,303948,0.011387163561076497
2015-03-18,9780,9830,9580,9590,320925,-0.0184237461617196
2015-03-19,9590,9730,9440,9590,319269,0.0
2015-03-20,9550,9590,9090,9250,721919,-0.035453597497393075
2015-03-23,9320,9450,9250,9430,276545,0.019459459459459483
2015-03-24,9440,9500,9180,9210,427962,-0.02332979851537642
2015-03-25,9200,9200,8960,9000,651408,-0.0228013029315961
2015-03-26,9000,9150,8750,8880,448474,-0.013333333333333308
2015-03-27,8950,9070,8890,9020,369455,0.015765765765765716
2015-03-30,9030,9060,8970,9010,324596,-0.0011086474501108556
2015-03-31,9010,9270,9010,9070,367859,0.006659267480577213
2015-04-01,9070,9110,8900,9000,491737,-0.007717750826901848
2015-04-02,8960,9080,8930,9080,375946,0.008888888888888946
2015-04-03,9110,9140,9020,9070,217294,-0.0011013215859030367
2015-04-06,9070,9150,9010,9090,260551,0.0022050716648291946
2015-04-07,9040,9120,8900,9060,383113,-0.0033003300330033403
2015-04-08,9030,9050,8920,8990,300194,-0.007726269315673329
2015-04-09,9040,9040,8880,8970,300670,-0.0022246941045606095
2015-04-10,8970,9130,8900,9130,339744,0.01783723522853964
2015-04-13,9150,9160,8980,9030,410406,-0.010952902519167584
2015-04-14,9050,9360,9010,9360,604837,0.03654485049833878
2015-04-15,9400,9420,9200,9300,397779,-0.0064102564102563875
2015-04-16,9330,9350,9100,9140,355719,-0.017204301075268824
2015-04-17,9140,9260,9130,9170,255165,0.003282275711159688
2015-04-20,9110,9160,9030,9050,267474,-0.013086150490730697
2015-04-21,9100,9130,9000,9040,269216,-0.0011049723756906271
2015-04-22,9020,9080,8830,8900,564861,-0.015486725663716783
2015-04-23,8880,10200,8820,10200,3339622,0.146067415730337
2015-04-24,10750,11500,9050,9230,10085327,-0.09509803921568627
2015-04-27,9750,10600,9530,10600,3588730,0.1484290357529794
2015-04-28,10650,11400,10300,10800,3684783,0.018867924528301883
2015-04-29,10950,11300,10300,10550,1614344,-0.02314814814814814
2015-04-30,10500,10550,10000,10150,929876,-0.03791469194312791
2015-05-04,10250,10300,9830,10100,835518,-0.0049261083743842304
2015-05-06,9850,9990,9580,9680,725418,-0.04158415841584162
2015-05-07,9680,10150,9610,9790,712710,0.011363636363636465
2015-05-08,9780,10000,9760,9780,289918,-0.0010214504596527396
2015-05-11,9870,10100,9780,9870,352333,0.009202453987730008
2015-05-12,9940,9950,9760,9780,327477,-0.00911854103343468
2015-05-13,9700,9730,9410,9410,654066,-0.03783231083844585
2015-05-14,9410,9980,9310,9850,572645,0.046758767268862966
2015-05-15,9860,9890,9610,9660,339140,-0.019289340101522834
2015-05-18,9670,9880,9590,9680,316315,0.0020703933747412417
2015-05-19,9750,9820,9550,9640,361683,-0.004132231404958664
2015-05-20,9800,10150,9730,9840,718399,0.020746887966804906
2015-05-21,9840,9900,9640,9660,348602,-0.018292682926829285
2015-05-22,9660,9820,9510,9700,281422,0.0041407867494824835
2015-05-26,9700,9810,9540,9750,316122,0.005154639175257714
2015-05-27,9800,9800,9550,9700,496726,-0.00512820512820511
2015-05-28,9770,9970,9700,9790,449999,0.009278350515463885
2015-05-29,9810,10200,9690,10050,616560,0.026557711950970342
2015-06-01,10050,10150,9740,9770,368990,-0.027860696517412964
2015-06-02,9660,9690,9260,9450,585448,-0.032753326509723624
2015-06-03,9330,9500,9190,9340,292842,-0.011640211640211673
2015-06-04,9280,9300,9080,9250,468623,-0.009635974304068484
2015-06-05,9220,9420,9150,9340,200023,0.00972972972972963
2015-06-08,9210,9270,9050,9080,308763,-0.027837259100642386
2015-06-09,9000,9210,8980,9180,255828,0.011013215859030812
2015-06-10,9200,9220,8980,9140,322167,-0.004357298474945481
2015-06-11,9160,9800,9150,9800,575393,0.07221006564551424
2015-06-12,9790,9800,9250,9250,420821,-0.056122448979591844
2015-06-15,9250,9340,9000,9240,187904,-0.00108108108108107
2015-06-16,9110,9230,9010,9060,197787,-0.01948051948051943
2015-06-17,9020,9090,8910,9040,208398,-0.002207505518763808
2015-06-18,9000,9100,8950,9020,168624,-0.0022123893805309214
2015-06-19,9050,9090,8940,8970,217126,-0.005543237250554278
2015-06-22,8970,9110,8970,9050,140479,0.008918617614269708
2015-06-23,9100,9120,8990,9040,218361,-0.0011049723756906271
