Date,Open,High,Low,Close,Volume,Change
2015-01-02,99000,103000,99000,102500,9305,0.027054108216432837
2015-01-05,100900,101700,98800,101600,15354,-0.008780487804878057
2015-01-06,100100,100800,98200,98900,14190,-0.026574803149606252
2015-01-07,98900,99100,95700,96200,12877,-0.027300303336703746
2015-01-08,95800,97600,94100,96500,9663,0.0031185031185030354
2015-01-09,97200,97800,95100,97300,10837,0.008290155440414448
2015-01-12,96600,100000,96500,98500,7279,0.012332990750256956
2015-01-13,99300,104700,98500,103500,19321,0.050761421319796884
2015-01-14,103600,106400,102400,105000,12935,0.01449275362318847
2015-01-15,104300,109800,103800,109600,17178,0.04380952380952374
2015-01-16,109900,112100,108200,109300,15354,-0.0027372262773722733
2015-01-19,109400,111300,107400,110200,7802,0.008234217749313766
2015-01-20,110300,118000,109700,115400,15915,0.047186932849364815
2015-01-21,114600,117500,112000,113600,14342,-0.01559792027729634
2015-01-22,114900,118900,113200,118400,18898,0.04225352112676051
2015-01-23,119699,123299,116800,118200,12190,-0.0016891891891891442
2015-01-26,118300,122499,118300,120300,15257,0.017766497461928932
2015-01-27,120600,122400,118700,122000,11872,0.01413133832086455
2015-01-28,122000,123400,119200,121300,15409,-0.0057377049180328266
2015-01-29,121000,124800,119600,123500,10625,0.01813685078318228
2015-01-30,123700,127600,123700,125300,15977,0.014574898785425061
2015-02-02,123800,127200,123500,124600,8090,-0.005586592178770999
2015-02-03,124000,125700,121900,124400,14275,-0.0016051364365970988
2015-02-04,123500,123900,116900,121600,31823,-0.022508038585209
2015-02-05,120000,124100,118300,122900,22910,0.010690789473684292
2015-02-06,122000,125800,122000,124800,11915,0.015459723352319044
2015-02-09,125900,126000,122800,123500,10181,-0.01041666666666663
2015-02-10,122999,125300,121899,124700,13126,0.009716599190283448
2015-02-11,123600,129699,123600,128000,13252,0.02646351242983158
2015-02-12,127100,131600,126400,130500,9453,0.01953125
2015-02-13,129100,133300,129000,133100,11632,0.01992337164750957
2015-02-16,131500,134100,129999,131400,7423,-0.01277235161532686
2015-02-17,130399,133100,128800,132300,6584,0.006849315068493178
2015-02-23,132300,136300,132300,136100,5861,0.028722600151171562
2015-02-24,134400,138000,132500,135800,11221,-0.0022042615723733006
2015-02-25,138300,139700,132700,132900,11408,-0.021354933726067782
2015-02-26,132900,134500,128000,131000,16773,-0.014296463506395796
2015-02-27,129400,133600,127200,133600,18328,0.01984732824427482
2015-03-02,131300,133300,126799,128900,17468,-0.03517964071856283
2015-03-03,128900,142600,124399,127800,33150,-0.00853374709076804
2015-03-04,126400,127800,123100,124300,14443,-0.027386541471048464
2015-03-05,122800,125300,121300,123100,10413,-0.0096540627514079
2015-03-06,123100,125800,123100,125700,8913,0.021121039805036546
2015-03-09,125600,125600,121800,121900,15019,-0.03023070803500394
2015-03-10,121900,124399,120699,123000,8674,0.009023789991796649
2015-03-11,123000,124700,121100,123400,13575,0.003252032520325132
2015-03-12,122200,125400,119500,119500,17546,-0.031604538087520284
2015-03-13,120600,123600,119900,121600,11574,0.01757322175732212
2015-03-16,121800,126500,121800,125500,12830,0.032072368421052655
2015-03-17,126200,128500,124500,126700,15304,0.009561752988047845
2015-03-18,126700,132000,126000,128900,23657,0.017363851617995252
2015-03-19,129300,135500,128999,134800,15601,0.04577191621411947
2015-03-20,135700,139500,135200,137000,17904,0.016320474777448135
2015-03-23,137500,137800,133100,133800,8774,-0.023357664233576658
2015-03-24,133000,136800,131500,136400,9712,0.01943198804185342
2015-03-25,135800,141200,135800,141000,10714,0.03372434017595305
2015-03-26,142600,144600,137700,140500,14654,-0.0035460992907800915
2015-03-27,140000,140900,136600,139700,11158,-0.005693950177935947
2015-03-30,139700,142700,137800,141900,7052,0.015748031496062964
2015-03-31,142100,150000,142100,150000,13181,0.05708245243128962
2015-04-01,150200,159400,145300,145700,16485,-0.028666666666666618
2015-04-02,146200,149400,141000,141600,9940,-0.028140013726835944
2015-04-03,143800,146500,141200,143800,5575,0.015536723163841915
2015-04-06,143800,146600,141000,144900,7737,0.007649513212795611
2015-04-07,144900,146200,142300,144600,7982,-0.0020703933747412417
2015-04-08,143300,146000,141500,142900,10604,-0.011756569847856113
2015-04-09,143400,146100,142300,144300,8021,0.009797060881735487
2015-04-10,143900,154900,142800,154400,16241,0.06999306999306998
2015-04-13,155000,162000,150300,156300,18501,0.012305699481865329
2015-04-14,156000,156200,148600,150000,18546,-0.040307101727447225
2015-04-15,147300,156900,147300,155000,15363,0.03333333333333344
2015-04-16,156600,159300,154300,158000,11120,0.019354838709677358
2015-04-17,157100,163800,156700,162100,12902,0.02594936708860751
2015-04-20,162300,167400,162100,162800,11865,0.0043183220234424
2015-04-21,158000,163500,158000,163000,14269,0.0012285012285011554
2015-04-22,0,0,0,163000,0,0.0
2015-04-23,0,0,0,163000,0,0.0
2015-04-24,0,0,0,163000,0,0.0
2015-04-27,0,0,0,163000,0,0.0
2015-04-28,0,0,0,163000,0,0.0
2015-04-29,0,0,0,163000,0,0.0
2015-04-30,0,0,0,163000,0,0.0
2015-05-04,0,0,0,163000,0,0.0
2015-05-06,0,0,0,163000,0,0.0
2015-05-07,0,0,0,163000,0,0.0
2015-05-08,163000,165500,150000,154000,416340,-0.05521472392638038
2015-05-11,156000,163000,153500,161000,194420,0.045454545454545414
2015-05-12,160000,160500,154000,155500,152082,-0.03416149068322982
2015-05-13,156500,175500,156500,167500,214419,0.07717041800643076
2015-05-14,181000,192500,173000,176500,335471,0.0537313432835822
2015-05-15,178500,194500,178000,183500,315580,0.03966005665722383
2015-05-18,187000,197500,176500,195500,387537,0.06539509536784749
2015-05-19,201000,214500,194500,198000,379017,0.01278772378516635
2015-05-20,200500,204000,195500,198000,165500,0.0
2015-05-21,200000,201000,194000,198000,183099,0.0
2015-05-22,196500,202000,183500,189500,295262,-0.04292929292929293
2015-05-26,188000,194500,180000,180000,286953,-0.05013192612137207
2015-05-27,176000,184500,171500,180000,263978,0.0
2015-05-28,178000,182500,176000,176500,209053,-0.019444444444444486
2015-05-29,175500,183000,175000,175000,215778,-0.008498583569405138
