Date,Open,High,Low,Close,Volume,Change
2015-01-02,221156,233059,221156,233060,12060,0.049550340678294225
2015-01-05,230059,233160,227658,230759,11547,-0.009872994078777952
2015-01-06,227958,230359,221957,223958,16052,-0.029472306605592857
2015-01-07,224557,224657,212554,214455,24564,-0.04243206315469861
2015-01-08,212854,216055,206953,216056,37942,0.007465435639178342
2015-01-09,216155,221557,214555,216656,25083,0.0027770577998296186
2015-01-12,215255,222557,215155,222357,15277,0.02631360313123099
2015-01-13,224557,234160,223457,233560,29205,0.05038294274522492
2015-01-14,235060,238461,229459,231460,15744,-0.008991265627675937
2015-01-15,230159,239361,230159,237261,10720,0.02506264581353146
2015-01-16,235160,243162,233760,236361,15512,-0.0037932909327702546
2015-01-19,234160,239561,234060,236561,8797,0.000846163284129009
2015-01-20,238561,249464,238261,245063,21934,0.035939990108259545
2015-01-21,245163,249864,242062,245363,13448,0.0012241750080590474
2015-01-22,249364,252064,246463,249564,12721,0.017121570896997618
2015-01-23,250164,260066,250164,260067,22194,0.042085396932249886
2015-01-26,261167,268269,260367,267969,14947,0.03038447784609355
2015-01-27,270969,276171,263467,267769,16122,-0.0007463549888233612
2015-01-28,267868,269069,260066,265568,15466,-0.00821977151948139
2015-01-29,266068,271069,262067,268069,18772,0.009417550307265987
2015-01-30,271069,275070,265168,265168,14512,-0.010821840645505398
2015-02-02,262567,268569,260867,267069,8830,0.00716904000482721
2015-02-03,267268,269669,264668,269669,13121,0.00973531184824905
2015-02-04,273770,277771,269969,273070,24918,0.01261175737663578
2015-02-05,274970,284973,274370,283573,19222,0.038462665250668326
2015-02-06,286673,293075,283573,284073,14803,0.001763214410398728
2015-02-09,286473,288974,279071,285073,13790,0.003520221914789401
2015-02-10,285773,285873,274470,280072,20389,-0.01754287498289908
2015-02-11,280372,285873,280172,282273,14008,0.007858693478819623
2015-02-12,280372,284573,275270,277271,14394,-0.017720433764476184
2015-02-13,276071,288074,276071,288074,14055,0.03896188205762585
2015-02-16,286573,289874,280172,280472,9155,-0.02638905281281889
2015-02-17,280572,280572,276171,278372,6600,-0.00748737841923619
2015-02-23,282372,287974,279171,287474,15062,0.03269725403417012
2015-02-24,285373,300077,285373,297377,19257,0.034448332718785
2015-02-25,302577,304078,290274,293576,17881,-0.012781755145825024
2015-02-26,290074,293375,283873,285574,15258,-0.027256996484726237
2015-02-27,285573,287974,282072,285574,14858,0.0
2015-03-02,285873,287974,282272,284973,11452,-0.0021045333258630228
2015-03-03,280872,326684,277571,286074,41363,0.0038635239127917664
2015-03-04,286173,289074,273770,278072,31811,-0.02797178352454255
2015-03-05,272070,279772,271269,274171,21690,-0.01402874075778937
2015-03-06,273870,283973,273870,282573,16139,0.03064510834479206
2015-03-09,280172,286973,277671,280872,11918,-0.006019683409242971
2015-03-10,283472,283472,276171,276271,10739,-0.016381127346264512
2015-03-11,278771,290074,276571,286274,23696,0.03620720234841879
2015-03-12,283272,292975,283272,289074,14694,0.009780839335741254
2015-03-13,291074,294075,288074,290075,10028,0.0034627811563821
2015-03-16,290674,305078,288274,303978,19649,0.04792898388347844
2015-03-17,307879,312380,304678,312380,18983,0.02764015816934129
2015-03-18,307079,315381,304778,308479,15370,-0.012487995390229822
2015-03-19,313880,323883,305578,319082,18365,0.034371869722088055
2015-03-20,317181,326083,317181,322183,18551,0.009718504961107266
2015-03-23,323183,324483,313480,315181,14256,-0.021732990257089968
2015-03-24,316281,328984,313080,327984,16836,0.040621103429457905
2015-03-25,328084,339087,328084,337487,19371,0.02897397434021176
2015-03-26,342088,344988,320382,326884,26338,-0.0314175064521004
2015-03-27,327484,332985,319882,326084,18743,-0.002447351353997096
2015-03-30,322983,333385,322182,324183,14332,-0.00582978619006147
2015-03-31,328284,336386,325783,335586,20968,0.03517457732206819
2015-04-01,333885,341087,330585,333786,16123,-0.005363751765568248
2015-04-02,332085,335886,322182,325284,21471,-0.025471409825457036
2015-04-03,325383,328884,321282,324884,13643,-0.0012296946668142184
2015-04-06,324983,327584,318081,325484,14786,0.0018468130163380447
2015-04-07,327884,328084,322583,323983,11082,-0.0046115938110629084
2015-04-08,323083,332085,322082,332085,15250,0.025007484960630544
2015-04-09,334286,336986,328284,329685,21081,-0.0072270653597723555
2015-04-10,331885,360092,328684,355391,35165,0.07797139693950284
2015-04-13,360192,383098,356191,370095,28118,0.04137414847309029
2015-04-14,369695,370095,355091,357892,26251,-0.03297261513935612
2015-04-15,357892,378697,357592,375097,26651,0.04807316173594267
2015-04-16,376296,386399,372195,375097,29462,0.0
2015-04-17,380097,395901,378897,391101,30089,0.0426662969845133
2015-04-20,400102,403103,388800,390601,33233,-0.001278442141544045
2015-04-21,382798,389200,380798,388500,49676,-0.005378890479031062
2015-04-22,0,0,0,388500,0,0.0
2015-04-23,0,0,0,388500,0,0.0
2015-04-24,0,0,0,388500,0,0.0
2015-04-27,0,0,0,388500,0,0.0
2015-04-28,0,0,0,388500,0,0.0
2015-04-29,0,0,0,388500,0,0.0
2015-04-30,0,0,0,388500,0,0.0
2015-05-04,0,0,0,388500,0,0.0
2015-05-06,0,0,0,388500,0,0.0
2015-05-07,0,0,0,388500,0,0.0
2015-05-08,386000,391500,368500,376500,1106817,-0.030888030888030937
2015-05-11,385000,401500,381000,388000,722519,0.030544488711819362
2015-05-12,383500,388500,376000,376500,343900,-0.029639175257731964
2015-05-13,381000,395500,379000,389000,377037,0.033200531208499307
2015-05-14,400000,401500,383500,387000,391122,-0.005141388174807249
2015-05-15,388000,397000,387000,395000,293197,0.02067183462532296
2015-05-18,399000,444000,388500,436500,819787,0.1050632911392404
