Date,Open,High,Low,Close,Volume,Change
2015-01-02,50100,52200,50100,52100,288361,0.04304304304304307
2015-01-05,52300,56000,51900,55700,183667,0.06909788867562372
2015-01-06,56100,56400,55000,55400,113527,-0.0053859964093356805
2015-01-07,55900,55900,55100,55900,65306,0.00902527075812265
2015-01-08,55900,57300,55900,56100,37106,0.003577817531305927
2015-01-09,56100,56400,55500,55800,52396,-0.005347593582887722
2015-01-12,56100,56700,55900,55900,60999,0.0017921146953405742
2015-01-13,56200,56200,54900,55200,59656,-0.012522361359570633
2015-01-14,55500,56100,55300,55900,29933,0.0126811594202898
2015-01-15,56100,56200,55100,55400,40203,-0.008944543828264706
2015-01-16,55400,55800,54500,55400,39088,0.0
2015-01-19,55000,55500,54400,54500,48353,-0.016245487364620947
2015-01-20,54500,55500,54300,54500,53730,0.0
2015-01-21,54500,55100,54500,54800,44062,0.005504587155963359
2015-01-22,54900,55300,54700,54900,39029,0.0018248175182482562
2015-01-23,54800,55700,54800,55400,51600,0.00910746812386165
2015-01-26,55500,55900,55300,55500,22625,0.0018050541516245744
2015-01-27,55600,55900,55200,55600,39709,0.0018018018018017834
2015-01-28,55700,56200,55400,55900,55698,0.0053956834532373765
2015-01-29,55700,57800,55600,57700,90566,0.03220035778175312
2015-01-30,58000,58700,57300,58600,58076,0.015597920277296451
2015-02-02,58600,59000,57700,58300,59810,-0.005119453924914641
2015-02-03,58200,59000,57500,58800,45590,0.00857632933104635
2015-02-04,59400,59800,58400,59100,63997,0.005102040816326481
2015-02-05,59100,60300,59100,59600,44710,0.008460236886632888
2015-02-06,59500,60100,59500,60100,53241,0.008389261744966348
2015-02-09,59600,60500,59600,60200,53521,0.0016638935108153063
2015-02-10,60200,60200,59200,59700,62216,-0.00830564784053156
2015-02-11,59700,60000,59300,59900,45097,0.003350083752093891
2015-02-12,59600,62200,59600,61900,101154,0.03338898163606019
2015-02-13,62000,63900,62000,63400,60370,0.024232633279483107
