Date,Open,High,Low,Close,Volume,Change
2015-01-02,17200,17300,17050,17200,49720,-0.011494252873563204
2015-01-05,17150,17700,17050,17650,104952,0.026162790697674465
2015-01-06,17400,17550,16750,17400,89331,-0.014164305949008527
2015-01-07,17400,17450,17150,17300,60078,-0.005747126436781658
2015-01-08,17300,17450,17150,17350,61405,0.0028901734104045396
2015-01-09,17500,18300,17350,18050,133740,0.04034582132564846
2015-01-12,18100,18350,17800,17800,38964,-0.013850415512465353
2015-01-13,18000,18200,17700,17900,47629,0.00561797752808979
2015-01-14,17900,18250,17900,18200,35512,0.016759776536312776
2015-01-15,18200,18350,18000,18350,32090,0.008241758241758212
2015-01-16,18300,18450,18000,18350,39355,0.0
2015-01-19,18300,18700,18000,18500,41875,0.008174386920980936
2015-01-20,18500,18800,18150,18250,39590,-0.013513513513513487
2015-01-21,18050,18400,17600,17600,51946,-0.03561643835616435
2015-01-22,17650,17850,17050,17150,98867,-0.025568181818181768
2015-01-23,17500,17500,17100,17150,45858,0.0
2015-01-26,17100,17250,16800,17050,80254,-0.005830903790087438
2015-01-27,17150,17400,17000,17300,64921,0.014662756598240456
2015-01-28,17450,17750,17300,17500,56512,0.011560693641618602
2015-01-29,17350,17750,17350,17500,61495,0.0
2015-01-30,17650,17900,17400,17700,49931,0.011428571428571344
2015-02-02,17500,17950,17500,17800,57037,0.005649717514124353
2015-02-03,17800,18000,17400,17400,55849,-0.022471910112359605
2015-02-04,17600,18300,17500,18050,69143,0.03735632183908044
2015-02-05,18200,18300,17400,17500,54939,-0.030470914127423865
2015-02-06,17500,17650,17350,17350,27556,-0.008571428571428563
2015-02-09,17350,17400,17000,17100,55457,-0.014409221902017322
2015-02-10,17050,17550,16950,17550,38380,0.026315789473684292
2015-02-11,17550,17750,17400,17500,32374,-0.002849002849002802
2015-02-12,17700,17700,17250,17450,40373,-0.0028571428571428914
2015-02-13,17400,17700,17300,17300,35735,-0.008595988538681931
2015-02-16,17300,17700,17150,17500,41990,0.011560693641618602
2015-02-17,17400,17700,17300,17700,31160,0.011428571428571344
2015-02-23,17850,18500,17700,18350,112585,0.03672316384180796
2015-02-24,18200,18400,18000,18350,33437,0.0
2015-02-25,18450,18450,18050,18150,39552,-0.010899182561307952
2015-02-26,18300,18350,17900,17900,40876,-0.01377410468319562
2015-02-27,17900,18150,17600,17950,71955,0.0027932960893854997
2015-03-02,18000,19250,17600,18950,214876,0.055710306406685284
2015-03-03,19300,21500,19250,20200,382449,0.06596306068601576
2015-03-04,20200,20300,19650,19650,102237,-0.027227722772277252
2015-03-05,19600,19900,19400,19850,58220,0.010178117048346147
2015-03-06,19750,19850,19150,19300,80263,-0.027707808564231717
2015-03-09,19250,19550,19000,19000,60885,-0.015544041450777257
2015-03-10,19150,19450,18700,18850,80645,-0.007894736842105288
2015-03-11,18700,20050,18550,19850,230172,0.05305039787798416
2015-03-12,19800,19950,19500,19550,121650,-0.015113350125944613
2015-03-13,19750,19950,19150,19450,138482,-0.005115089514066473
2015-03-16,19600,20650,19500,20500,209130,0.05398457583547556
2015-03-17,20900,20900,20150,20250,94688,-0.012195121951219523
2015-03-18,20200,20450,19900,20250,61308,0.0
2015-03-19,20450,20700,19800,20000,88041,-0.012345679012345734
2015-03-20,20100,20100,19100,19200,119825,-0.040000000000000036
2015-03-23,19350,19500,18600,18650,201628,-0.02864583333333337
2015-03-24,18650,19050,18550,18800,129279,0.008042895442359255
2015-03-25,18700,18750,18250,18350,133197,-0.02393617021276595
2015-03-26,18150,18400,18150,18250,92133,-0.00544959128065392
2015-03-27,18300,18350,17900,18100,124910,-0.008219178082191747
2015-03-30,18100,18500,18050,18450,62528,0.01933701657458564
2015-03-31,18600,18700,18350,18700,79042,0.013550135501354976
2015-04-01,18550,18550,18000,18150,123817,-0.02941176470588236
2015-04-02,18250,18450,18050,18250,99533,0.005509641873278293
2015-04-03,18300,18900,18150,18900,131649,0.03561643835616435
2015-04-06,18900,18950,18200,18300,161208,-0.031746031746031744
2015-04-07,18350,18450,18150,18200,84933,-0.005464480874316946
2015-04-08,18200,18700,18200,18650,109700,0.024725274725274637
2015-04-09,18700,18900,18500,18800,93401,0.008042895442359255
2015-04-10,18850,19150,18700,19150,88174,0.018617021276595702
2015-04-13,19350,19700,19000,19700,168325,0.02872062663185382
2015-04-14,19850,20250,19300,19900,225196,0.010152284263959421
2015-04-15,20150,20250,19800,20000,156850,0.005025125628140614
2015-04-16,20300,20300,19550,19950,197471,-0.0024999999999999467
2015-04-17,19950,20250,19500,20050,180200,0.005012531328320913
2015-04-20,19750,19800,19300,19500,102836,-0.027431421446383997
2015-04-21,19600,19800,19150,19650,134172,0.007692307692307665
2015-04-22,19700,19850,18650,18950,120540,-0.03562340966921118
2015-04-23,18950,20350,18950,20350,267344,0.07387862796833766
2015-04-24,20350,20600,19250,19400,181255,-0.04668304668304668
2015-04-27,19600,19700,19400,19550,81984,0.0077319587628865705
2015-04-28,19650,19650,19150,19300,66530,-0.012787723785166238
2015-04-29,19300,19600,19100,19150,60126,-0.007772020725388629
2015-04-30,19100,19250,18350,18750,97552,-0.02088772845953002
2015-05-04,18850,19150,18500,18600,70716,-0.008000000000000007
2015-05-06,18600,18750,17950,18150,99594,-0.024193548387096753
2015-05-07,18050,18200,17300,17700,135468,-0.024793388429752095
2015-05-08,17850,17850,17500,17750,83320,0.0028248587570620654
2015-05-11,17850,17950,17700,17850,66534,0.005633802816901401
2015-05-12,17900,18050,17350,17400,110611,-0.025210084033613467
2015-05-13,17600,18150,17600,18050,96589,0.03735632183908044
2015-05-14,17950,18250,17850,18200,74604,0.008310249307479145
2015-05-15,18300,18300,17850,18000,54372,-0.01098901098901095
2015-05-18,18200,18500,17750,18500,166940,0.02777777777777768
2015-05-19,18300,19000,18300,18700,115446,0.0108108108108107
2015-05-20,18900,19600,18800,19450,159654,0.04010695187165769
2015-05-21,19600,19950,18950,19550,168103,0.005141388174807249
2015-05-22,19400,19850,19350,19650,54836,0.005115089514066584
2015-05-26,19650,20000,19150,19900,112770,0.012722646310432628
2015-05-27,19650,19700,19000,19100,60863,-0.04020100502512558
2015-05-28,19100,19400,18600,18650,101318,-0.023560209424083767
2015-05-29,18600,19200,18400,19200,46833,0.029490616621983934
2015-06-01,19100,19200,18700,18850,35265,-0.01822916666666663
2015-06-02,18850,19000,18050,18250,108050,-0.03183023872679047
2015-06-03,17850,18750,17800,18400,64731,0.008219178082191858
2015-06-04,18200,18500,18050,18300,67924,-0.005434782608695676
2015-06-05,18150,18400,18100,18150,41454,-0.008196721311475419
2015-06-08,18150,18350,17800,17950,69930,-0.011019283746556474
2015-06-09,18000,18850,18000,18650,63910,0.03899721448467974
2015-06-10,18800,18800,17950,18150,101835,-0.02680965147453085
2015-06-11,18250,18950,18250,18250,137515,0.005509641873278293
2015-06-12,18550,18950,18450,18800,80138,0.03013698630136985
2015-06-15,19000,19000,18400,18400,57739,-0.021276595744680882
2015-06-16,18250,18400,17600,17700,100050,-0.03804347826086951
2015-06-17,17700,17900,17400,17750,50483,0.0028248587570620654
2015-06-18,17850,18600,17550,18550,61749,0.04507042253521121
2015-06-19,18250,18450,17750,18100,115408,-0.02425876010781669
2015-06-22,18100,18500,18100,18450,39713,0.01933701657458564
2015-06-23,18450,18600,18250,18500,37424,0.0027100271002709064
2015-06-24,18500,18550,17950,18200,94158,-0.01621621621621616
2015-06-25,18200,18950,18000,18900,144144,0.03846153846153855
2015-06-26,18900,19100,18600,18950,76198,0.002645502645502562
2015-06-29,18950,18950,18000,18100,82198,-0.04485488126649073
2015-06-30,18100,18100,17600,17900,137353,-0.011049723756906049
2015-07-01,17850,18000,17450,17550,149900,-0.019553072625698276
2015-07-02,17700,17800,16800,16800,238991,-0.042735042735042694
2015-07-03,16900,17100,15600,15650,423241,-0.06845238095238093
2015-07-06,15450,15550,14750,14800,323754,-0.054313099041533586
2015-07-07,14900,15000,14100,14150,407551,-0.04391891891891897
2015-07-08,14300,14950,14250,14650,366312,0.035335689045936425
2015-07-09,14750,14800,14050,14550,256505,-0.0068259385665528916
2015-07-10,14350,15000,14300,14700,191508,0.010309278350515427
2015-07-13,14750,15200,14750,15050,147603,0.023809523809523725
2015-07-14,15050,15100,14850,15050,89436,0.0
2015-07-15,15050,15700,15050,15650,151364,0.039867109634551534
2015-07-16,15650,15750,15200,15250,124426,-0.025559105431309903
2015-07-17,15250,15700,15200,15700,102534,0.029508196721311553
2015-07-20,15750,15750,15200,15400,115350,-0.019108280254777066
2015-07-21,15400,15750,15400,15600,111965,0.01298701298701288
2015-07-22,15950,15950,15200,15250,142461,-0.022435897435897467
2015-07-23,15400,15700,15200,15250,100127,0.0
2015-07-24,15250,15350,15050,15050,65102,-0.013114754098360604
2015-07-27,15150,15900,14750,15750,141450,0.04651162790697683
2015-07-28,15600,15850,15050,15650,104686,-0.006349206349206327
2015-07-29,15850,15850,15150,15400,129509,-0.015974440894568676
2015-07-30,15200,15650,15200,15400,74441,0.0
2015-07-31,15350,15600,15250,15400,38412,0.0
2015-08-03,15400,15700,15250,15400,39578,0.0
2015-08-04,15350,15450,15050,15100,78946,-0.01948051948051943
2015-08-05,15150,15450,15150,15300,37902,0.013245033112582849
2015-08-06,15300,15400,14650,15000,102715,-0.019607843137254943
2015-08-07,14850,15050,14600,14700,66126,-0.020000000000000018
2015-08-10,14700,14700,14450,14600,38380,-0.006802721088435382
2015-08-11,14500,14850,14450,14750,60023,0.010273972602739656
2015-08-12,14800,15200,14650,14900,73273,0.01016949152542379
2015-08-13,14700,15250,14700,15150,51023,0.016778523489932917
2015-08-17,15250,15250,14450,14650,58364,-0.03300330033003296
2015-08-18,14750,17250,14750,16850,731416,0.15017064846416384
2015-08-19,16400,17200,16250,16900,300038,0.0029673590504450953
2015-08-20,17000,17350,16100,16100,172567,-0.047337278106508895
2015-08-21,15450,15950,15100,15700,242596,-0.024844720496894457
2015-08-24,15700,16200,15050,15300,152192,-0.02547770700636942
2015-08-25,15350,16000,15050,15350,201495,0.0032679738562091387
2015-08-26,15550,16250,15450,16000,169214,0.04234527687296419
2015-08-27,16450,16450,15900,16150,130319,0.009374999999999911
2015-08-28,16300,16450,15650,15800,181716,-0.021671826625387025
2015-08-31,15750,15950,15500,15550,99083,-0.015822784810126556
2015-09-01,15500,15600,15000,15300,138801,-0.01607717041800638
2015-09-02,15100,16000,15050,15850,199527,0.03594771241830075
2015-09-03,16050,16400,15800,16200,172754,0.02208201892744488
2015-09-04,16300,16350,15600,15600,63673,-0.03703703703703709
2015-09-07,15400,16100,15400,16000,111692,0.02564102564102555
2015-09-08,16100,17100,16000,16950,268918,0.059374999999999956
2015-09-09,17100,17500,16550,17400,216137,0.026548672566371723
2015-09-10,17100,17900,17100,17900,189698,0.028735632183908066
2015-09-11,17650,17850,17450,17550,78561,-0.019553072625698276
2015-09-14,17550,17700,16650,16800,109927,-0.042735042735042694
2015-09-15,16800,17100,16650,16850,65335,0.0029761904761904656
2015-09-16,16950,17350,16750,17200,79137,0.020771513353115667
2015-09-17,17250,17550,17050,17200,128775,0.0
2015-09-18,17200,17200,16600,17000,105104,-0.011627906976744207
2015-09-21,16900,17200,16750,17150,74821,0.008823529411764675
2015-09-22,17250,17500,17000,17300,87287,0.008746355685131268
2015-09-23,17100,17950,17050,17400,174940,0.005780346820809301
2015-09-24,17550,17850,17150,17500,138424,0.005747126436781658
2015-09-25,17600,17900,17350,17750,67863,0.014285714285714235
2015-09-30,17750,18650,17500,18600,155665,0.04788732394366191
2015-10-01,18650,19800,18400,19550,290177,0.051075268817204256
2015-10-02,19600,19900,19100,19400,156174,-0.007672634271099765
2015-10-05,19400,19850,19100,19300,141007,-0.005154639175257714
2015-10-06,19300,19400,18100,18700,233456,-0.031088082901554404
2015-10-07,18550,19150,18450,18450,88521,-0.013368983957219305
2015-10-08,18600,19000,18500,18850,77310,0.021680216802167918
2015-10-12,18700,19100,18350,18500,68152,-0.018567639257294433
2015-10-13,18350,18850,18300,18550,98847,0.002702702702702675
2015-10-14,18550,19050,18450,18900,56848,0.018867924528301883
2015-10-15,18900,18950,18300,18550,108373,-0.01851851851851849
2015-10-16,18500,18500,17800,17850,158512,-0.037735849056603765
2015-10-19,18050,19000,18050,18750,88204,0.050420168067226934
2015-10-20,18800,19000,18500,18850,45093,0.005333333333333412
2015-10-21,18650,19100,18450,18550,51215,-0.01591511936339518
2015-10-22,18500,18600,17900,18000,45451,-0.029649595687331498
2015-10-23,18200,18200,17600,17600,88031,-0.022222222222222254
2015-10-26,17600,18350,17600,17800,67142,0.011363636363636465
2015-10-27,17850,17950,17550,17700,27720,-0.005617977528089901
2015-10-28,17650,17750,17250,17350,44266,-0.019774011299435013
2015-10-29,17400,17650,17050,17300,61056,-0.0028818443804035088
2015-10-30,17300,17400,17000,17000,52767,-0.017341040462427793
2015-11-02,17000,17700,16800,17600,54524,0.03529411764705892
2015-11-03,17800,18100,17300,17450,130606,-0.008522727272727293
2015-11-04,17550,18000,17550,17800,62031,0.02005730659025784
2015-11-05,17900,17900,17600,17800,55652,0.0
2015-11-06,17650,17700,16900,17100,110102,-0.0393258426966292
2015-11-09,17250,17250,16900,16950,67163,-0.00877192982456143
2015-11-10,16700,16900,16550,16750,57624,-0.01179941002949858
2015-11-11,16600,17250,16600,17100,42991,0.020895522388059806
2015-11-12,17000,17300,16850,17300,28268,0.011695906432748648
2015-11-13,16900,16950,16650,16750,30881,-0.03179190751445082
2015-11-16,16600,16900,16400,16900,39161,0.008955223880596996
2015-11-17,16850,17650,16850,17550,72448,0.03846153846153855
2015-11-18,17550,17900,17500,17750,69409,0.01139601139601143
2015-11-19,17750,18500,17500,18500,87825,0.04225352112676051
2015-11-20,18600,18600,17850,17950,54312,-0.02972972972972976
2015-11-23,17900,18200,17850,18150,37868,0.011142061281337101
2015-11-24,18150,18700,17700,18550,65038,0.02203856749311295
2015-11-25,18550,18600,17950,18150,41801,-0.021563342318059342
2015-11-26,18050,18400,18000,18350,37213,0.011019283746556363
2015-11-27,18200,18300,18000,18100,39301,-0.013623978201634857
2015-11-30,18150,18350,17700,17750,31806,-0.01933701657458564
2015-12-01,17900,18200,17650,18000,43989,0.014084507042253502
2015-12-02,17850,18150,17750,17800,30640,-0.011111111111111072
2015-12-03,17700,18450,17650,18400,36722,0.03370786516853941
2015-12-04,18400,18400,17800,18050,28509,-0.01902173913043481
2015-12-07,18200,18200,17450,17550,29709,-0.027700831024930705
2015-12-08,17400,17650,16950,17000,66678,-0.031339031339031376
2015-12-09,17100,17400,17050,17250,44477,0.014705882352941124
2015-12-10,17400,17900,17100,17850,45224,0.034782608695652195
2015-12-11,17600,17950,17150,17250,48744,-0.03361344537815125
2015-12-14,17000,17550,17000,17400,35833,0.008695652173912993
2015-12-15,17500,17650,17250,17500,27997,0.005747126436781658
2015-12-16,17500,17950,17250,17350,43411,-0.008571428571428563
2015-12-17,17600,17700,17150,17300,57186,-0.0028818443804035088
2015-12-18,17300,17650,17200,17450,31763,0.00867052023121384
2015-12-21,17500,17700,17250,17550,29654,0.005730659025787954
2015-12-22,17450,17750,17350,17650,25744,0.005698005698005604
2015-12-23,17500,17900,17500,17850,39762,0.011331444759206777
2015-12-24,18000,18000,17650,17850,34755,0.0
2015-12-28,17800,18250,17650,18250,51000,0.022408963585434094
2015-12-29,18200,18200,17550,17650,51054,-0.0328767123287671
2015-12-30,17650,17800,17150,17250,47479,-0.022662889518413554
2016-01-04,17100,17250,16800,16950,78903,-0.017391304347826098
2016-01-05,16700,17050,16700,16850,54151,-0.005899705014749235
2016-01-06,16950,17000,16200,16400,95237,-0.02670623145400597
2016-01-07,16450,16800,16400,16750,43533,0.021341463414634054
