Date,Open,High,Low,Close,Volume,Change
2015-01-02,70600,71500,70300,71100,48178,-0.001404494382022503
2015-01-05,70400,73400,70300,72100,77326,0.014064697609001309
2015-01-06,71600,72400,69700,70100,84040,-0.0277392510402219
2015-01-07,70800,70800,69100,69300,48781,-0.011412268188302432
2015-01-08,69600,70400,68600,69200,75392,-0.0014430014430014682
2015-01-09,69300,69600,68500,69100,80570,-0.0014450867052022698
2015-01-12,68600,69800,68000,68300,62580,-0.01157742402315487
2015-01-13,68500,68500,67300,68100,86940,-0.002928257686676372
2015-01-14,67900,68500,65600,67900,144694,-0.002936857562408246
2015-01-15,67300,67900,66200,67500,129747,-0.00589101620029453
2015-01-16,68900,70500,68500,70200,159505,0.040000000000000036
2015-01-19,71000,71400,70200,71200,73362,0.014245014245014342
2015-01-20,71000,73500,70600,73200,98930,0.028089887640449396
2015-01-21,72500,73200,71000,72300,113532,-0.012295081967213073
2015-01-22,73900,75700,73200,75200,133791,0.04011065006915637
2015-01-23,75300,75500,71500,72100,170754,-0.04122340425531912
2015-01-26,72100,76800,71900,76500,300114,0.061026352288488184
2015-01-27,79000,80900,77900,79100,398993,0.033986928104575265
2015-01-28,78100,80000,77900,78700,157869,-0.005056890012642201
2015-01-29,78400,80200,77300,80000,184978,0.016518424396442244
2015-01-30,80000,81200,79500,80000,170227,0.0
2015-02-02,79200,81500,78900,80700,90788,0.008750000000000036
2015-02-03,81600,82300,80200,80900,97863,0.0024783147459728205
2015-02-04,81000,81500,78500,79500,110258,-0.017305315203955507
2015-02-05,79400,80500,78800,80000,101699,0.0062893081761006275
2015-02-06,79400,81500,79400,81500,104120,0.018750000000000044
2015-02-09,82400,82400,80100,80400,60523,-0.013496932515337456
2015-02-10,81500,81500,79800,80000,50840,-0.00497512437810943
2015-02-11,81000,81900,80200,80800,69491,0.010000000000000009
2015-02-12,80500,81400,79000,79500,68952,-0.016089108910891103
2015-02-13,79400,80700,79200,80600,65068,0.01383647798742138
2015-02-16,79700,81300,79700,80700,36701,0.001240694789081953
2015-02-17,80300,82100,80300,81500,48180,0.00991325898389106
2015-02-23,82200,82500,80400,81400,49257,-0.0012269938650306678
2015-02-24,80400,83000,80400,82300,42482,0.011056511056511065
2015-02-25,83000,83000,80600,80600,43544,-0.020656136087484844
2015-02-26,80500,81200,79100,80600,56159,0.0
2015-02-27,79600,80300,79200,80000,69868,-0.007444168734491274
2015-03-02,79400,80600,78000,78000,77442,-0.025000000000000022
2015-03-03,78000,80100,77200,79500,71422,0.019230769230769162
2015-03-04,78100,80000,78100,78600,43647,-0.01132075471698113
2015-03-05,78300,79500,77700,78800,34202,0.0025445292620864812
2015-03-06,78600,79500,78100,78500,38186,-0.0038071065989847552
2015-03-09,78100,79500,77800,77900,26074,-0.007643312101910826
2015-03-10,78400,78800,76700,76700,45607,-0.015404364569961526
2015-03-11,76600,77000,75200,75300,57332,-0.018252933507170832
2015-03-12,75100,76400,74000,74000,82187,-0.01726427622841964
2015-03-13,74800,79000,74700,78300,104481,0.05810810810810807
2015-03-16,79000,80100,77800,78700,66651,0.005108556832694733
2015-03-17,79300,79800,78100,78200,60743,-0.006353240152477735
2015-03-18,79500,79900,77900,78700,56234,0.006393861892583175
2015-03-19,78900,79200,77600,77600,59013,-0.013977128335451061
2015-03-20,78200,81000,77600,77700,43151,0.0012886597938144284
2015-03-23,78300,78600,77000,78100,34787,0.005148005148005064
2015-03-24,78100,80000,78100,78500,41176,0.005121638924455718
2015-03-25,79200,81700,79100,80200,91333,0.021656050955414008
2015-03-26,81100,81100,79000,80100,66974,-0.0012468827930174342
2015-03-27,79700,81600,79700,80000,41914,-0.0012484394506866447
2015-03-30,80500,82500,80100,82500,71978,0.03125
2015-03-31,82600,83900,82500,83900,91893,0.01696969696969708
2015-04-01,83800,85000,83400,84300,77049,0.004767580452920139
2015-04-02,84800,85400,83800,84200,43136,-0.0011862396204033177
2015-04-03,84800,85800,83800,85600,44927,0.016627078384798155
2015-04-06,85100,85200,82600,83300,71122,-0.026869158878504718
2015-04-07,83300,84200,83000,84100,62829,0.009603841536614643
2015-04-08,83100,84200,83100,84200,41478,0.0011890606420927874
2015-04-09,84300,84500,83200,84200,35949,0.0
2015-04-10,83500,85600,83400,85300,62437,0.013064133016627011
