Date,Open,High,Low,Close,Volume,Change
2015-01-02,181000,181500,177500,180500,171149,-0.008241758241758212
2015-01-05,181000,193500,180000,193500,551543,0.07202216066481992
2015-01-06,191000,196000,190500,194000,251262,0.0025839793281654533
2015-01-07,195000,196500,187000,190000,213581,-0.020618556701030966
2015-01-08,190500,192500,188000,191000,133762,0.0052631578947368585
2015-01-09,191500,194000,189000,193000,179194,0.010471204188481575
2015-01-12,193500,199000,193500,196500,171975,0.0181347150259068
2015-01-13,196500,199000,193000,193500,130889,-0.01526717557251911
2015-01-14,194500,197000,191000,191500,97220,-0.01033591731266148
2015-01-15,191000,192500,189500,192000,118100,0.0026109660574411553
2015-01-16,191500,193000,188000,193000,121713,0.005208333333333259
2015-01-19,194000,195000,188500,189000,163517,-0.020725388601036232
2015-01-20,189000,190000,179500,183000,326889,-0.031746031746031744
2015-01-21,183500,186500,181000,185500,179255,0.013661202185792254
2015-01-22,185000,187500,180500,181500,147707,-0.021563342318059342
2015-01-23,181500,183500,174500,183500,322591,0.011019283746556363
2015-01-26,183000,192000,183000,189500,260805,0.032697547683923744
2015-01-27,192500,195000,189000,189000,255246,-0.0026385224274406704
2015-01-28,217000,217000,215500,217000,964586,0.14814814814814814
2015-01-29,206000,224500,200000,208000,1892717,-0.04147465437788023
2015-01-30,210000,216000,198500,202000,781159,-0.028846153846153855
2015-02-02,205000,209000,200500,200500,357795,-0.007425742574257432
2015-02-03,204000,215000,195500,215000,660131,0.07231920199501252
2015-02-04,211500,229000,211000,218500,1163648,0.016279069767441756
2015-02-05,221000,222000,211000,213500,385720,-0.022883295194508046
2015-02-06,211500,221500,211500,213000,348357,-0.0023419203747072626
2015-02-09,222500,226500,215000,218500,453310,0.025821596244131495
2015-02-10,219500,219500,204000,214500,436237,-0.01830663615560646
2015-02-11,212500,216500,209000,209500,375425,-0.023310023310023298
2015-02-12,212000,213000,200000,203000,442684,-0.031026252983293534
2015-02-13,203000,206000,195000,198500,365767,-0.022167487684729092
2015-02-16,197000,198000,192500,193500,250810,-0.02518891687657432
2015-02-17,191500,200000,186000,189500,688792,-0.02067183462532296
2015-02-23,190000,193000,188000,190000,261351,0.0026385224274405594
2015-02-24,192500,197000,190000,190500,383476,0.002631578947368318
2015-02-25,191000,192000,179000,180000,761887,-0.055118110236220486
2015-02-26,181000,183000,179000,182000,251069,0.011111111111111072
2015-02-27,183500,184000,176500,178500,370454,-0.019230769230769273
2015-03-02,178000,180500,175500,180500,259000,0.011204481792717047
2015-03-03,182000,185500,178500,181500,342350,0.005540166204986097
2015-03-04,182500,183000,180000,181500,227719,0.0
2015-03-05,182500,187000,181500,183000,307343,0.008264462809917328
2015-03-06,184500,189500,184000,189000,370874,0.032786885245901676
2015-03-09,188000,188000,177500,178500,262856,-0.05555555555555558
2015-03-10,179000,179500,169000,171500,516051,-0.039215686274509776
2015-03-11,170500,177000,170500,174000,277454,0.014577259475218707
2015-03-12,175000,179000,173000,176000,243339,0.011494252873563315
2015-03-13,178000,183500,177500,183000,247794,0.03977272727272729
2015-03-16,184500,184500,179500,181000,102992,-0.010928961748633892
2015-03-17,183000,183000,180500,181500,93826,0.0027624309392264568
2015-03-18,182000,186500,173000,174500,289435,-0.038567493112947604
2015-03-19,175500,176000,167000,169000,427503,-0.03151862464183386
2015-03-20,170500,172500,168000,172500,205765,0.020710059171597628
2015-03-23,173500,175500,172000,173500,121309,0.005797101449275255
2015-03-24,173000,175500,173000,175000,90379,0.008645533141210304
2015-03-25,175000,177000,173500,177000,100097,0.011428571428571344
2015-03-26,175000,178000,174500,177000,124493,0.0
2015-03-27,179000,179000,170000,173500,197652,-0.019774011299435013
2015-03-30,173000,175000,171500,172500,74327,-0.0057636887608069065
2015-03-31,175500,182000,174000,181500,324017,0.05217391304347818
2015-04-01,182500,187500,182000,186000,347303,0.024793388429751984
2015-04-02,186000,186500,181000,182000,221362,-0.021505376344086002
2015-04-03,183500,188500,183000,187500,179224,0.030219780219780112
2015-04-06,187000,189000,185500,185500,106342,-0.010666666666666713
2015-04-07,188000,188500,184000,185000,74564,-0.0026954177897574594
2015-04-08,185500,197000,185500,197000,314063,0.06486486486486487
2015-04-09,197500,198500,195000,197000,175027,0.0
2015-04-10,196500,199000,193500,197000,144123,0.0
2015-04-13,194500,195000,184500,187500,360016,-0.048223350253807085
2015-04-14,187000,190500,185000,188500,150811,0.005333333333333412
2015-04-15,188500,189500,185500,187000,117426,-0.007957559681697646
2015-04-16,185500,187000,181500,183000,219835,-0.021390374331550777
2015-04-17,183500,186500,183000,185000,113192,0.010928961748633892
2015-04-20,183000,187500,182000,186000,119085,0.00540540540540535
2015-04-21,186000,193500,184500,192500,244165,0.034946236559139754
2015-04-22,197000,200000,188000,194500,269269,0.010389610389610393
2015-04-23,199500,207500,198000,204500,549040,0.05141388174807204
2015-04-24,206000,208000,201500,206000,234061,0.007334963325183352
2015-04-27,208000,213500,207500,211000,243379,0.024271844660194164
2015-04-28,212000,214500,209000,210500,186132,-0.0023696682464454666
2015-04-29,213000,216000,210000,213000,139931,0.01187648456057011
2015-04-30,211000,212500,204500,204500,160083,-0.039906103286385
2015-05-04,205000,212000,205000,205500,97034,0.004889975550122161
2015-05-06,205000,208000,199000,200000,119421,-0.02676399026763987
2015-05-07,202000,210000,201500,206000,170957,0.030000000000000027
2015-05-08,208000,211000,205500,207000,96002,0.004854368932038833
2015-05-11,207000,209000,200500,201000,119350,-0.02898550724637683
2015-05-12,202500,209500,202500,204000,149188,0.014925373134328401
2015-05-13,195000,217500,193000,217000,446686,0.06372549019607843
2015-05-14,217000,224500,216000,218000,244278,0.004608294930875667
2015-05-15,218000,220000,211500,212000,152681,-0.02752293577981646
2015-05-18,213000,215500,210500,214000,81600,0.009433962264151052
2015-05-19,213000,214000,207500,210500,146827,-0.016355140186915862
2015-05-20,212000,220000,210500,218500,153130,0.03800475059382413
2015-05-21,217000,219500,208000,208000,178262,-0.048054919908466776
2015-05-22,210000,213000,208500,210000,112352,0.009615384615384581
2015-05-26,210500,212000,206500,209500,77983,-0.0023809523809523725
2015-05-27,207000,208500,198000,201500,210846,-0.03818615751789978
2015-05-28,200500,201000,193000,195000,200654,-0.032258064516129004
2015-05-29,194000,199500,193000,197000,150589,0.01025641025641022
2015-06-01,194500,197500,189500,196000,128557,-0.005076142131979711
