Date,Open,High,Low,Close,Volume,Change
2015-01-02,1310,1320,1295,1295,355474,-0.007662835249042099
2015-01-05,1290,1310,1275,1305,465121,0.007722007722007707
2015-01-06,1300,1350,1285,1295,1122363,-0.007662835249042099
2015-01-07,1305,1305,1280,1280,535442,-0.01158301158301156
2015-01-08,1290,1295,1280,1280,490999,0.0
2015-01-09,1290,1320,1285,1305,656694,0.01953125
2015-01-12,1305,1325,1305,1320,417771,0.011494252873563315
2015-01-13,1325,1340,1320,1330,748516,0.007575757575757569
2015-01-14,1330,1345,1320,1325,397886,-0.003759398496240629
2015-01-15,1325,1335,1310,1320,211158,-0.0037735849056603765
2015-01-16,1325,1335,1300,1300,330483,-0.015151515151515138
2015-01-19,1315,1335,1305,1305,509519,0.0038461538461538325
2015-01-20,1315,1325,1305,1310,313382,0.003831417624521105
2015-01-21,1315,1330,1310,1315,456141,0.003816793893129722
2015-01-22,1320,1355,1310,1320,1127884,0.0038022813688212143
2015-01-23,1340,1340,1320,1320,488028,0.0
2015-01-26,1315,1335,1300,1315,651377,-0.0037878787878787845
2015-01-27,1335,1465,1330,1435,6748505,0.09125475285171092
2015-01-28,1440,1445,1395,1415,1395447,-0.013937282229965153
2015-01-29,1415,1440,1380,1405,2740909,-0.007067137809187329
2015-01-30,1405,1430,1395,1415,1131426,0.007117437722419906
2015-02-02,1420,1515,1415,1485,4065633,0.04946996466431086
2015-02-03,1490,1500,1445,1460,1740467,-0.01683501683501687
2015-02-04,1485,1485,1445,1475,884802,0.010273972602739656
2015-02-05,1490,1490,1460,1480,728177,0.003389830508474523
2015-02-06,1505,1535,1480,1480,2016691,0.0
2015-02-09,1480,1505,1450,1455,932132,-0.016891891891891886
2015-02-10,1450,1470,1405,1455,865012,0.0
2015-02-11,1470,1500,1465,1475,830919,0.013745704467353903
2015-02-12,1480,1505,1465,1480,1020637,0.003389830508474523
2015-02-13,1475,1555,1475,1505,2593576,0.016891891891891886
2015-02-16,1510,1535,1500,1525,1047754,0.013289036544850585
2015-02-17,1525,1550,1500,1515,1010028,-0.006557377049180357
2015-02-23,1505,1540,1505,1530,1006786,0.00990099009900991
2015-02-24,1535,1590,1525,1545,2027781,0.009803921568627416
2015-02-25,1555,1555,1515,1515,1136801,-0.01941747572815533
2015-02-26,1510,1525,1500,1510,626616,-0.0033003300330033403
2015-02-27,1510,1525,1500,1520,704461,0.0066225165562914245
2015-03-02,1520,1575,1505,1560,1263681,0.026315789473684292
2015-03-03,1560,1595,1550,1550,904333,-0.0064102564102563875
2015-03-04,1545,1560,1520,1545,1026338,-0.003225806451612856
2015-03-05,1540,1550,1525,1550,652879,0.003236245954692629
2015-03-06,1565,1580,1550,1560,908187,0.006451612903225712
2015-03-09,1560,1570,1550,1560,748394,0.0
2015-03-10,1575,1580,1520,1525,908562,-0.022435897435897467
2015-03-11,1515,1530,1505,1510,781702,-0.00983606557377048
2015-03-12,1510,1515,1450,1455,2530127,-0.03642384105960261
2015-03-13,1465,1535,1460,1525,1427938,0.04810996563573888
2015-03-16,1550,1585,1550,1560,1546624,0.022950819672131084
2015-03-17,1580,1580,1545,1565,589968,0.0032051282051281937
2015-03-18,1570,1580,1545,1545,699696,-0.012779552715655007
2015-03-19,1570,1750,1555,1645,9902906,0.06472491909385103
2015-03-20,1655,1720,1625,1685,3946777,0.024316109422492405
2015-03-23,1685,1695,1640,1660,1448582,-0.014836795252225476
2015-03-24,1650,1685,1640,1675,1061009,0.009036144578313143
2015-03-25,1675,1700,1665,1675,1348329,0.0
2015-03-26,1645,1680,1625,1640,1318642,-0.020895522388059695
2015-03-27,1660,1725,1645,1660,2622451,0.012195121951219523
2015-03-30,1675,1685,1645,1660,1339917,0.0
2015-03-31,1690,1770,1670,1710,3854022,0.030120481927710774
2015-04-01,1710,1755,1690,1710,2248037,0.0
2015-04-02,1725,1740,1680,1685,1849386,-0.014619883040935644
2015-04-03,1705,1775,1700,1730,2617818,0.026706231454005858
2015-04-06,1735,1735,1690,1700,1197575,-0.017341040462427793
2015-04-07,1705,1710,1670,1675,1256026,-0.014705882352941124
2015-04-08,1675,1730,1660,1710,1369828,0.020895522388059806
2015-04-09,1720,1740,1710,1735,1434619,0.014619883040935644
2015-04-10,1760,1820,1730,1745,5138463,0.0057636887608070175
2015-04-13,1725,1765,1715,1740,1168941,-0.002865329512893977
2015-04-14,1785,1805,1720,1745,2626020,0.002873563218390718
2015-04-15,1755,1755,1715,1735,1268700,-0.005730659025787954
2015-04-16,1740,1780,1735,1740,1281239,0.0028818443804035088
2015-04-17,1750,1810,1735,1780,2669724,0.02298850574712641
2015-04-20,1755,1770,1730,1745,1535026,-0.0196629213483146
2015-04-21,1760,1760,1735,1755,1399241,0.005730659025787954
2015-04-22,1755,1930,1645,1745,9141143,-0.005698005698005715
2015-04-23,1760,1770,1640,1670,2842837,-0.04297994269340977
2015-04-24,1665,1680,1615,1640,1783332,-0.017964071856287456
2015-04-27,1640,1690,1640,1685,959419,0.027439024390243816
2015-04-28,1685,1685,1655,1665,1089034,-0.011869436201780381
2015-04-29,1660,1675,1635,1655,1001672,-0.006006006006005982
2015-04-30,1650,1875,1645,1795,16419860,0.0845921450151057
2015-05-04,1800,1805,1665,1670,4422575,-0.0696378830083565
2015-05-06,1690,1715,1630,1635,2882982,-0.020958083832335328
2015-05-07,1650,1660,1560,1600,1950742,-0.021406727828746197
2015-05-08,1605,1655,1605,1630,982388,0.018750000000000044
2015-05-11,1655,1680,1630,1650,967960,0.012269938650306678
2015-05-12,1665,1670,1610,1625,1195473,-0.015151515151515138
2015-05-13,1635,1650,1610,1650,848488,0.01538461538461533
2015-05-14,1650,1695,1635,1645,1516417,-0.00303030303030305
2015-05-15,1655,1660,1625,1630,878026,-0.00911854103343468
2015-05-18,1630,1635,1590,1605,1185747,-0.015337423312883458
2015-05-19,1610,1690,1610,1680,2265083,0.04672897196261672
2015-05-20,1695,1790,1685,1735,4781867,0.032738095238095344
2015-05-21,1725,1820,1715,1755,3490225,0.011527377521613813
2015-05-22,1760,1845,1715,1755,4226058,0.0
2015-05-26,1770,1790,1725,1745,1695077,-0.005698005698005715
2015-05-27,1730,1745,1685,1690,1710623,-0.03151862464183386
2015-05-28,1700,1725,1690,1710,1499498,0.01183431952662728
