Date,Open,High,Low,Close,Volume,Change
2015-01-02,478000,494000,477000,485500,2354,-0.0010288065843621075
2015-01-05,479500,503000,478000,502000,2898,0.03398558187435641
2015-01-06,494500,503000,485000,489000,1991,-0.02589641434262946
2015-01-07,485500,498000,475500,486500,3623,-0.005112474437627856
2015-01-08,483000,497500,482500,495000,2135,0.01747173689619741
2015-01-09,503000,503000,492000,494000,1106,-0.002020202020202033
2015-01-12,492000,496000,486000,486000,2074,-0.01619433198380571
2015-01-13,488500,490000,481500,486500,3196,0.0010288065843622185
2015-01-14,482500,486500,475000,475500,3381,-0.022610483042137752
2015-01-15,473000,478500,470000,476000,4778,0.001051524710830698
2015-01-16,474500,478000,469000,472000,3502,-0.008403361344537785
2015-01-19,468500,477000,468500,474000,2476,0.004237288135593209
2015-01-20,478000,489000,473000,488500,2906,0.030590717299578074
2015-01-21,488500,507000,486500,499000,3852,0.02149437052200609
2015-01-22,504000,505000,496000,497500,1921,-0.0030060120240480437
2015-01-23,500000,508000,500000,507000,1508,0.019095477386934734
2015-01-26,507000,510000,498000,503000,2535,-0.007889546351084853
2015-01-27,508000,521000,505000,517000,2341,0.027833001988071482
2015-01-28,521000,547000,513000,539000,3772,0.042553191489361764
2015-01-29,537000,551000,527000,550000,4077,0.020408163265306145
2015-01-30,552000,571000,550000,569000,5336,0.034545454545454435
2015-02-02,571000,577000,560000,565000,2770,-0.007029876977152849
2015-02-03,559000,583000,559000,579000,3724,0.024778761061946986
2015-02-04,585000,597000,574000,583000,3375,0.006908462867012188
2015-02-05,585000,596000,585000,594000,1866,0.018867924528301883
2015-02-06,586000,605000,586000,594000,2192,0.0
2015-02-09,586000,593000,567000,581000,4165,-0.02188552188552184
2015-02-10,573000,581000,556000,569000,3104,-0.02065404475043031
2015-02-11,551000,593000,551000,590000,2433,0.03690685413005279
2015-02-12,590000,599000,577000,581000,1430,-0.015254237288135575
2015-02-13,581000,597000,581000,595000,1642,0.024096385542168752
2015-02-16,591000,605000,591000,601000,1992,0.010084033613445342
2015-02-17,602000,610000,594000,604000,2010,0.004991680532445919
2015-02-23,608000,614000,602000,613000,2287,0.01490066225165565
2015-02-24,606000,616000,605000,612000,1874,-0.0016313213703099683
2015-02-25,618000,618000,600000,600000,1626,-0.019607843137254943
2015-02-26,608000,610000,587000,587000,1821,-0.021666666666666612
2015-02-27,587000,603000,587000,596000,2199,0.015332197614991383
2015-03-02,592000,609000,585000,598000,2462,0.003355704697986628
2015-03-03,592000,608000,589000,589000,1950,-0.015050167224080258
2015-03-04,584000,604000,582000,596000,2271,0.011884550084889645
2015-03-05,588000,607000,588000,598000,1673,0.003355704697986628
2015-03-06,598000,610000,597000,606000,2107,0.013377926421404673
2015-03-09,605000,610000,585000,588000,1711,-0.02970297029702973
