Date,Open,High,Low,Close,Volume,Change
2015-01-02,48828,49270,48435,49123,6585,-0.014781387886081077
2015-01-05,48336,50056,48336,49614,8194,0.00999531787553698
2015-01-06,49073,49957,48042,48337,8836,-0.025738702785504053
2015-01-07,48336,48729,46764,48140,11091,-0.004075552889091227
2015-01-08,47698,48287,47207,47649,13320,-0.01019941836310756
2015-01-09,47698,48140,47452,47895,12549,0.005162752628596667
2015-01-12,47305,47992,47305,47895,10673,0.0
2015-01-13,48484,48680,47943,48582,35272,0.014343877231443702
2015-01-14,48729,49270,48189,48828,8353,0.005063603803878047
2015-01-15,48385,49564,48385,49270,7926,0.009052183173589023
2015-01-16,48680,49712,48582,48975,5943,-0.0059874162776537565
2015-01-19,48926,49761,48877,48975,5114,0.0
2015-01-20,50007,50301,49073,50007,12722,0.0210719754977029
2015-01-21,49614,51677,49614,51677,11598,0.03339532465454842
2015-01-22,51677,51824,50203,51825,11358,0.0028639433403641057
2015-01-23,52070,52757,51087,51677,9877,-0.0028557645923782404
2015-01-26,52414,52512,51775,52021,6595,0.00665673316949511
2015-01-27,52070,53200,52021,52807,10188,0.01510928278964263
2015-01-28,51677,51726,48336,50793,31663,-0.038138883102618926
2015-01-29,50792,51431,50547,51088,10590,0.0058078869135511635
2015-01-30,51726,52708,50989,51579,13184,0.009610867522706013
2015-02-02,51136,51873,50645,51481,5550,-0.0018999980612264267
2015-02-03,51824,52119,50792,51382,6939,-0.0019230395679959988
2015-02-04,51235,52463,50842,52119,6913,0.014343544431902222
2015-02-05,51726,52168,50891,51481,9875,-0.012241217214451594
2015-02-06,50792,51529,50792,51432,11049,-0.0009518074629475404
2015-02-09,51235,51873,50498,50842,10028,-0.01147145745839162
2015-02-10,50645,51333,48729,49368,16527,-0.028991778450887074
2015-02-11,49859,50252,48287,48337,16851,-0.020883973424080327
2015-02-12,48385,50105,48385,49860,9285,0.031507954568963825
2015-02-13,49221,50694,49171,50547,9604,0.013778580024067288
2015-02-16,50056,50792,49417,49467,8293,-0.021366253190100326
2015-02-17,49564,50350,49171,50056,4667,0.011906927850890536
2015-02-23,49761,50940,49515,50449,6452,0.007851206648553655
2015-02-24,49859,50596,49368,49418,7376,-0.020436480405954582
2015-02-25,49663,49663,47992,48140,18795,-0.025861022299566994
2015-02-26,48140,48385,45585,45881,27558,-0.046925633568757785
2015-02-27,45684,47894,45635,47354,21355,0.032104792833634876
2015-03-02,47010,47747,46421,47649,8009,0.006229674367529636
