Date,Open,High,Low,Close,Volume,Change
2015-01-02,147992,150188,147992,148433,13301,-0.0029488419581922276
2015-01-05,147554,149310,147115,147555,20892,-0.00591512669015648
2015-01-06,147554,148871,146676,146676,14505,-0.005957100742096211
2015-01-07,147992,147992,145358,145358,20003,-0.008985791813248212
2015-01-08,145797,146676,142723,144042,46862,-0.009053509266775839
2015-01-09,144919,146676,144040,146676,19827,0.01828633315283046
2015-01-12,148432,151067,147554,148433,39152,0.011978783168343776
2015-01-13,147554,147992,145797,145798,31171,-0.01775211711681368
2015-01-14,146676,147992,146236,147115,19980,0.009033045720791888
2015-01-15,146676,147554,145358,146237,19288,-0.005968120178092007
2015-01-16,146236,147554,144919,146237,16747,0.0
2015-01-19,145797,149310,145797,147994,43366,0.012014743190847721
2015-01-20,148432,149749,147554,148872,25846,0.00593267294620059
2015-01-21,148871,149749,146236,148433,27849,-0.0029488419581922276
2015-01-22,148432,148871,147115,148433,35148,0.0
2015-01-23,149310,149749,145797,147555,36755,-0.00591512669015648
2015-01-26,147115,147554,145358,146676,24225,-0.005957100742096211
2015-01-27,147115,147992,145797,147994,23122,0.008985791813248323
2015-01-28,147554,148871,146676,147994,20517,0.0
2015-01-29,147554,148871,147115,147555,20221,-0.002966336473100295
2015-01-30,148432,150188,146676,150190,34041,0.017857747958388348
2015-02-02,149310,150188,147992,148872,18659,-0.008775550968772916
2015-02-03,148871,149310,147115,147994,17393,-0.005897683916384566
2015-02-04,147554,153701,147115,152385,80601,0.029670121761693036
2015-02-05,152824,154580,151945,153703,33080,0.00864914525707916
2015-02-06,152824,154580,152824,154581,27017,0.0057123153093954215
2015-02-09,154580,156337,153263,155899,36503,0.008526274251039911
2015-02-10,155897,156337,153263,154581,25600,-0.008454191495776087
2015-02-11,153701,155019,152385,154142,39320,-0.0028399350502326115
2015-02-12,154141,155897,150628,151946,30433,-0.014246603780929235
2015-02-13,152385,153701,151067,153264,30461,0.008674134231898112
2015-02-16,152385,154141,151067,151507,32781,-0.01146387931934445
2015-02-17,150628,152385,150188,151507,21994,0.0
2015-02-23,151506,152824,150188,151946,18116,0.0028975558885067088
2015-02-24,151506,152385,150628,152385,22651,0.002889184315480575
2015-02-25,152824,154141,151506,154142,26433,0.011530006234209411
2015-02-26,154141,154580,151945,151946,24607,-0.014246603780929235
2015-02-27,151945,152385,149749,150190,36520,-0.011556737261921968
2015-03-02,150628,152385,149749,151507,34170,0.008768892735868006
2015-03-03,150628,154580,150628,152824,42322,0.008692667665520348
2015-03-04,152385,154580,152385,154142,32485,0.008624299848191352
2015-03-05,153263,155458,152824,155020,34978,0.005696046502575491
2015-03-06,154580,155019,151945,151946,30231,-0.019829699393626665
2015-03-09,152824,153263,151067,151507,17722,-0.002889184315480464
2015-03-10,151506,152824,150628,151067,28581,-0.00290415624360596
2015-03-11,150188,151506,148432,149311,38378,-0.011623981412221096
2015-03-12,148871,150628,147554,147994,54559,-0.008820515568176535
2015-03-13,148871,154580,148432,154142,54472,0.04154222468478452
2015-03-16,152824,155458,152385,153264,19914,-0.005696046502575602
2015-03-17,154580,155019,152824,154581,37310,0.008593015972439666
2015-03-18,155458,157215,153263,157216,50385,0.017046079401737524
2015-03-19,157215,162046,156337,162046,75287,0.030722063912069997
2015-03-20,162046,168194,161167,162485,102153,0.002709107290522539
2015-03-23,162485,162924,157215,158094,35787,-0.02702403298766043
2015-03-24,159410,166437,158533,163364,56594,0.03333459840348141
2015-03-25,164242,165998,162485,164681,40186,0.00806175167111478
2015-03-26,162924,164242,161606,164242,28117,-0.002665759863007877
2015-03-27,163363,165998,162485,163364,37844,-0.0053457702658272765
2015-03-30,162485,166876,161167,161608,24238,-0.010749002228153115
2015-03-31,162046,165119,161606,164242,44692,0.016298698084253216
2015-04-01,171267,175660,166876,175660,145853,0.06951936776220458
2015-04-02,176976,181369,174781,175221,94939,-0.002499146077650005
2015-04-03,176976,176976,171267,172587,31078,-0.01503244474121257
2015-04-06,173024,176537,169511,171269,49431,-0.007636728142907612
2015-04-07,171707,173024,169951,172147,35905,0.005126438526528387
2015-04-08,173024,176537,170828,175660,56491,0.020406977757381872
2015-04-09,176099,180051,174781,174782,55763,-0.00499829215530001
2015-04-10,175220,177416,171707,173464,43931,-0.007540822281470683
2015-04-13,173903,177855,172146,176099,32892,0.015190471798183003
2015-04-14,176099,177855,171707,173903,35143,-0.012470258207031293
2015-04-15,172146,176537,171267,174782,51821,0.005054541899794707
2015-04-16,177416,184003,174781,182248,84129,0.042716069160439796
2015-04-17,183564,201569,181369,197618,140119,0.08433563056933413
2015-04-20,197616,203764,194542,202009,97093,0.022219635863129916
2015-04-21,200251,206839,193226,204644,93790,0.013043973288318744
2015-04-22,204643,212548,188834,197178,87417,-0.03648286780946419
2015-04-23,198495,201569,193664,198496,50093,0.006684315694448717
2015-04-24,201569,206400,195860,197618,39828,-0.0044232629372884524
2015-04-27,198934,199373,195421,198935,27731,0.006664372678602204
2015-04-28,200251,200251,191908,194983,40370,-0.019865785306758532
2015-04-29,196299,202448,193226,198057,51862,0.01576547699030173
2015-04-30,197178,202887,196739,202887,66515,0.024386918917281397
2015-05-04,207278,228357,202887,220454,102207,0.08658514345423818
2015-05-06,220892,220892,210791,219137,80637,-0.005974035399675226
2015-05-07,217818,219574,210352,216941,81180,-0.01002112833524238
2015-05-08,216061,232310,213426,229238,64427,0.05668361443894887
2015-05-11,230992,245923,227918,232311,53305,0.013405281846814221
2015-05-12,232310,232749,223527,228359,55092,-0.017011678310540623
2015-05-13,226162,239775,224844,238460,71706,0.04423298402953235
2015-05-14,234944,238896,232749,233629,33277,-0.020259162962341648
2015-05-15,234066,236262,224844,225285,59966,-0.03571474431684418
2015-05-18,225723,237141,223087,232751,60752,0.03314024457908871
2015-05-19,233627,235384,224405,227481,48321,-0.02264222280462813
2015-05-20,224844,245923,224405,245047,86016,0.07721963592563785
2015-05-21,245045,263489,244167,245926,91621,0.003587066970826003
2015-05-22,249876,249876,232749,234947,64307,-0.04464351064954497
2015-05-26,234505,238896,230553,232311,42315,-0.011219551643562142
2015-05-27,229235,230114,218696,223968,56128,-0.035913064813977824
2015-05-28,223966,232749,223526,223968,50887,0.0
2015-05-29,227040,238896,226601,234508,69364,0.047060294327761154
2015-06-01,233627,240653,223966,231433,40263,-0.013112559059818896
2015-06-02,235823,245045,227040,227042,75264,-0.018973093724749757
2015-06-03,230114,232310,218696,222650,87404,-0.01934443847393874
2015-06-04,222648,223087,211230,214306,112439,-0.03747585897147987
2015-06-05,215183,220453,209913,210792,79412,-0.016397114406502822
2015-06-08,209473,212547,206399,210353,49370,-0.0020826217313749673
2015-06-09,211230,218257,211230,216063,55552,0.02714484699528885
2015-06-10,216499,216938,205520,209475,77600,-0.03049110676052813
2015-06-11,212548,213865,204643,205083,104890,-0.02096670247046184
2015-06-12,205082,213426,205082,208158,72201,0.014993929287166585
2015-06-15,207717,216061,205082,214306,63143,0.029535256872183613
2015-06-16,215622,222648,204643,208158,66785,-0.028687950873983903
2015-06-17,209474,214305,208157,211232,63933,0.014767628436091806
2015-06-18,214305,230992,213865,227481,108725,0.07692489774276634
2015-06-19,232310,239775,227918,233629,121983,0.027026432976819947
2015-06-22,234944,234944,224844,228359,72731,-0.02255713117806435
2015-06-23,227918,230114,224405,224846,69170,-0.015383672200351195
2015-06-24,225283,234066,224405,233190,46519,0.03710984407105311
2015-06-25,231432,251632,229675,248560,101431,0.06591191732063972
2015-06-26,253828,258659,250314,252513,97137,0.01590360476343733
2015-06-29,245923,248119,237141,238020,59280,-0.057395064808544505
2015-06-30,236701,242410,232749,239777,57970,0.007381732627510296
2015-07-01,241971,246802,237580,241973,55383,0.00915850978200572
2015-07-02,245045,262172,244605,260417,84568,0.0762233802944956
2015-07-03,260416,263489,254707,261296,56323,0.0033753556795448336
2015-07-06,257341,260855,251193,255147,44128,-0.02353269854877227
2015-07-07,256023,261294,205521,220015,178466,-0.13769317295519834
2015-07-08,217818,222648,207717,222650,126280,0.011976456150716963
2015-07-09,219574,225723,212987,222650,109645,0.0
2015-07-10,225723,229675,213865,221333,105671,-0.005915113406692152
2015-07-13,223087,227918,217378,227481,45508,0.027777150266792505
2015-07-14,230553,240214,229235,238899,43926,0.05019320294881768
2015-07-15,240653,249437,236262,245926,68438,0.0294141038681619
2015-07-16,249437,249437,240653,243729,60495,-0.00893358164651159
2015-07-17,246801,247679,242409,247242,31667,0.014413549475031706
2015-07-20,245923,250754,242850,247681,34798,0.0017755882900154507
2015-07-21,246802,248558,238458,248560,43495,0.0035489197798781458
2015-07-22,245484,247680,243289,246804,23148,-0.007064692629546232
2015-07-23,244167,249437,244167,246804,25249,0.0
2015-07-24,245045,248119,243289,248121,72969,0.005336218213643162
2015-07-27,242410,248119,240653,243290,68762,-0.019470339068438425
2015-07-28,244605,256463,236701,253390,74172,0.0415142422623207
2015-07-29,259098,260416,239336,249878,103879,-0.01386005761869058
2015-07-30,247680,255585,237141,238460,95573,-0.045694298817823054
2015-07-31,237141,238896,228796,236703,59178,-0.007368112052335785
2015-08-03,236701,236701,220014,224846,65171,-0.050092309772161725
2015-08-04,225723,231871,219574,230116,72049,0.023438264412086518
2015-08-05,228356,236700,223965,235824,39520,0.02480488101653089
2015-08-06,237141,238896,232310,234947,29490,-0.0037188750932899417
2015-08-07,234505,237580,228796,234508,19629,-0.001868506514235091
2015-08-10,235823,235823,230992,233190,13307,-0.005620277346615077
2015-08-11,234066,234944,224844,225724,30299,-0.03201681032634329
2015-08-12,228796,228796,199373,215624,83468,-0.04474490971274658
2015-08-13,217378,218696,208156,215624,44238,0.0
2015-08-17,213426,219574,210791,212549,38143,-0.01426093570289022
2015-08-18,212987,221331,212987,216502,27952,0.018598064446315954
2015-08-19,212987,215622,203765,214306,51890,-0.010143093366343003
2015-08-20,209913,216061,207717,214306,37058,0.0
2015-08-21,211668,212986,205959,209475,41328,-0.022542532640243418
