Date,Open,High,Low,Close,Volume,Change
2015-07-17,66600,67700,59900,60500,1024387,
2015-07-20,62400,63800,60700,61600,328296,0.018181818181818077
2015-07-21,61800,63000,60300,61100,237749,-0.008116883116883078
2015-07-22,62000,62100,60200,60600,156500,-0.008183306055646433
2015-07-23,61000,61800,60600,61500,155166,0.014851485148514865
2015-07-24,61500,62000,60300,60300,118004,-0.019512195121951237
2015-07-27,60000,60000,57300,57800,159188,-0.041459369817578806
2015-07-28,57000,58800,56600,56800,101433,-0.01730103806228378
2015-07-29,57300,58800,56400,57100,63331,0.005281690140845008
2015-07-30,57200,58100,56600,56600,53548,-0.008756567425569184
2015-07-31,57100,61400,56900,61000,273689,0.07773851590106018
2015-08-03,61000,62500,60400,61600,130769,0.009836065573770592
2015-08-04,61200,62500,60000,62400,83386,0.01298701298701288
2015-08-05,62900,63000,61400,62700,59336,0.004807692307692291
2015-08-06,62300,62600,60900,61100,51082,-0.02551834130781494
2015-08-07,61000,62600,59600,62500,59623,0.022913256955810146
2015-08-10,62800,62800,60900,61200,42694,-0.02080000000000004
2015-08-11,61500,61500,59600,60800,54718,-0.006535947712418277
2015-08-12,60400,60700,58500,59200,62834,-0.02631578947368418
2015-08-13,59000,60400,58200,58500,36780,-0.011824324324324342
2015-08-17,58800,60000,57000,59400,75906,0.01538461538461533
2015-08-18,59500,60200,57600,57800,49786,-0.026936026936026924
2015-08-19,57800,58300,53700,56100,77868,-0.02941176470588236
2015-08-20,55800,56200,54900,55000,21078,-0.019607843137254943
2015-08-21,53800,53800,49550,51300,164961,-0.06727272727272726
2015-08-24,50300,53000,50100,51300,85883,0.0
2015-08-25,52800,52900,50900,51700,70906,0.007797270955165692
2015-08-26,51700,52400,51000,51600,83462,-0.0019342359767892114
2015-08-27,52200,57100,52000,56000,160109,0.0852713178294573
2015-08-28,57100,59600,55600,58300,82405,0.04107142857142865
2015-08-31,58200,59300,57100,58200,48653,-0.0017152658662092923
2015-09-01,58000,58500,56400,56400,16636,-0.030927835051546393
2015-09-02,55200,58700,54800,58700,46184,0.04078014184397172
2015-09-03,58800,59000,57900,58500,30194,-0.0034071550255536653
2015-09-04,56000,57500,54400,55000,47853,-0.05982905982905984
2015-09-07,54500,55400,53600,54500,24071,-0.009090909090909038
2015-09-08,55600,58400,55300,57900,66793,0.062385321100917324
2015-09-09,58000,58800,56800,58000,45004,0.0017271157167531026
2015-09-10,56500,58600,56300,58200,19382,0.0034482758620688614
2015-09-11,57700,58800,57400,58700,32246,0.00859106529209619
2015-09-14,58900,59600,58400,58700,26423,0.0
2015-09-15,58900,59200,58600,58900,17514,0.0034071550255536653
2015-09-16,59400,60300,58700,59900,69103,0.01697792869269943
2015-09-17,60100,60900,59600,59600,32434,-0.005008347245408995
2015-09-18,60200,60900,60000,60500,22409,0.015100671140939603
2015-09-21,60000,60900,59800,60500,17557,0.0
2015-09-22,60900,61000,60500,60900,26693,0.006611570247933907
2015-09-23,60500,61000,59900,59900,17141,-0.016420361247947435
2015-09-24,59600,60000,58500,59200,17519,-0.011686143572620988
2015-09-25,59300,59300,57800,59200,13022,0.0
2015-09-30,58100,60000,56400,59200,70734,0.0
2015-10-01,59000,60700,58500,60000,28090,0.013513513513513598
2015-10-02,59700,60200,59200,59900,16938,-0.0016666666666667052
2015-10-05,59900,59900,58700,59300,32480,-0.01001669449081799
2015-10-06,59300,60100,58200,59100,38852,-0.003372681281618939
2015-10-07,58600,59000,58200,58300,9951,-0.013536379018612488
