Date,Open,High,Low,Close,Volume,Change
2015-01-02,203000,210000,202500,208500,43998,0.027093596059113212
2015-01-05,205500,208000,199500,205500,49747,-0.014388489208633115
2015-01-06,203000,205500,200500,202000,28566,-0.01703163017031628
2015-01-07,202000,203000,199000,199500,25871,-0.012376237623762387
2015-01-08,202500,206000,201500,205500,39498,0.03007518796992481
2015-01-09,207000,208000,203000,206000,23636,0.0024330900243310083
2015-01-12,204500,211000,204500,211000,25867,0.024271844660194164
2015-01-13,211000,213500,207500,213000,43485,0.009478672985782088
2015-01-14,211000,216000,209500,212000,34837,-0.0046948356807511304
2015-01-15,210000,214000,208500,214000,23571,0.009433962264151052
2015-01-16,210000,216500,210000,215500,41003,0.007009345794392496
2015-01-19,216000,218000,214000,216000,15911,0.002320185614849146
2015-01-20,217000,217000,213000,214000,18985,-0.0092592592592593
2015-01-21,212500,218500,212500,218500,28561,0.02102803738317749
2015-01-22,218500,223000,216500,222500,52223,0.01830663615560635
2015-01-23,220500,222000,213500,216500,52623,-0.026966292134831482
2015-01-26,217000,218000,213000,217000,38743,0.002309468822170979
2015-01-27,220000,223500,218000,221000,43007,0.018433179723502224
2015-01-28,216500,221000,215000,217500,52437,-0.015837104072398245
2015-01-29,215500,216000,211000,215000,65547,-0.011494252873563204
2015-01-30,215500,216000,208000,208000,82132,-0.032558139534883734
2015-02-02,205500,209500,205500,209500,44266,0.007211538461538547
2015-02-03,209500,210000,200500,203500,95807,-0.02863961813842486
2015-02-04,206000,213000,204000,212000,85923,0.041769041769041726
2015-02-05,208000,211500,206000,208500,47627,-0.01650943396226412
2015-02-06,207500,215000,206000,215000,42665,0.031175059952038398
2015-02-09,216000,217500,212000,216500,38006,0.006976744186046435
2015-02-10,217500,218000,212000,213500,64527,-0.01385681293302543
2015-02-11,215500,218500,214000,216500,63366,0.014051522248243575
2015-02-12,219500,220500,211500,215000,53501,-0.006928406466512715
2015-02-13,215000,219500,214500,219000,30121,0.018604651162790642
