Date,Open,High,Low,Close,Volume,Change
2015-01-02,23650,23850,23300,23700,84132,0.004237288135593209
2015-01-05,23700,24300,23600,24200,75258,0.021097046413502074
2015-01-06,24050,24250,23700,23750,68988,-0.018595041322314043
2015-01-07,23800,23950,23450,23800,51311,0.002105263157894832
2015-01-08,23850,24000,23600,23600,41378,-0.008403361344537785
2015-01-09,23650,24750,23600,24650,112831,0.044491525423728806
2015-01-12,24600,25150,24400,25000,80333,0.014198782961460488
2015-01-13,25050,25250,24750,24750,64398,-0.010000000000000009
2015-01-14,24750,25200,24600,25000,46603,0.010101010101010166
2015-01-15,24850,26600,24800,26550,270085,0.062000000000000055
2015-01-16,26650,26700,25950,26250,89101,-0.011299435028248594
2015-01-19,26450,27350,26250,26900,149163,0.024761904761904763
2015-01-20,26800,27350,26800,27000,81182,0.0037174721189590088
2015-01-21,27100,27500,26700,27000,92120,0.0
2015-01-22,27300,27300,26200,26450,90866,-0.020370370370370372
2015-01-23,26700,27100,26150,26650,83085,0.007561436672967936
2015-01-26,26850,28700,26650,27750,236783,0.0412757973733584
2015-01-27,28050,28150,26950,27200,136137,-0.01981981981981984
2015-01-28,27100,27950,27000,27800,99439,0.022058823529411686
2015-01-29,27750,28200,27450,28000,67622,0.007194244604316502
2015-01-30,28000,28400,27800,28200,100341,0.0071428571428571175
2015-02-02,28450,28450,27600,27700,64331,-0.01773049645390068
2015-02-03,27650,27800,27150,27300,67228,-0.014440433212996373
2015-02-04,27450,27800,27200,27600,69966,0.01098901098901095
2015-02-05,27700,27950,27200,27950,70496,0.0126811594202898
2015-02-06,27950,28050,27650,27650,60948,-0.01073345259391767
2015-02-09,27950,27950,27100,27350,80607,-0.010849909584086825
2015-02-10,27500,27600,26600,26750,80570,-0.021937842778793404
2015-02-11,26750,27550,26700,27500,98908,0.028037383177569986
2015-02-12,27700,29350,27500,28600,247003,0.040000000000000036
2015-02-13,28500,29000,28400,28650,118886,0.0017482517482516613
2015-02-16,28900,30000,28900,29900,284451,0.04363001745200701
2015-02-17,30050,30350,29450,30000,173269,0.0033444816053511683
2015-02-23,30750,31100,29950,31100,277905,0.036666666666666625
2015-02-24,33450,33900,30950,30950,723772,-0.004823151125401881
2015-02-25,30850,30950,29000,29350,427094,-0.05169628432956386
2015-02-26,29400,30050,29200,29300,160887,-0.0017035775127768327
2015-02-27,29300,29500,28850,29500,134795,0.006825938566553003
2015-03-02,29950,29950,29000,29400,178737,-0.003389830508474523
2015-03-03,29450,29500,28750,29300,131122,-0.003401360544217691
2015-03-04,29150,29450,28950,28950,118399,-0.011945392491467532
2015-03-05,28900,30000,28900,29750,176682,0.02763385146804831
2015-03-06,30150,30700,29800,30600,192558,0.02857142857142847
2015-03-09,30250,31200,30100,30700,146554,0.0032679738562091387
2015-03-10,31350,32100,30400,30600,351775,-0.0032573289902280145
2015-03-11,30600,31750,30400,31600,172290,0.03267973856209161
2015-03-12,31800,32400,31100,31500,160226,-0.0031645569620253333
2015-03-13,31550,32400,31400,31850,168286,0.011111111111111072
2015-03-16,31900,32750,31700,31950,130149,0.0031397174254317317
2015-03-17,32150,33200,31900,33150,207239,0.03755868544600949
2015-03-18,33150,34150,32750,33300,302778,0.004524886877828038
2015-03-19,33700,34950,33250,33700,315197,0.012012012012011963
2015-03-20,33450,35500,33450,35000,621656,0.03857566765578646
2015-03-23,35050,35350,33950,34800,343826,-0.005714285714285672
2015-03-24,35100,35350,34450,35200,175247,0.011494252873563315
2015-03-25,35100,35350,34100,34400,203378,-0.022727272727272707
2015-03-26,34000,34850,33150,33200,263275,-0.03488372093023251
2015-03-27,33300,33900,33050,33400,159814,0.006024096385542244
2015-03-30,33600,34350,33250,33300,135224,-0.0029940119760478723
2015-03-31,33500,33950,33200,33950,119633,0.019519519519519468
2015-04-01,33700,34000,33300,33600,109595,-0.010309278350515427
2015-04-02,33600,34650,33100,34000,190015,0.011904761904761862
2015-04-03,33800,34400,33350,33350,96490,-0.019117647058823573
2015-04-06,33150,33700,33050,33200,114736,-0.004497751124437732
2015-04-07,33500,34200,33300,33400,126259,0.006024096385542244
2015-04-08,33400,33550,31800,32100,305804,-0.038922155688622784
2015-04-09,32100,32750,31950,32050,182748,-0.0015576323987538387
2015-04-10,32150,32450,31900,32300,135346,0.007800312012480548
2015-04-13,32650,33400,32600,33250,133567,0.02941176470588225
2015-04-14,33300,33300,31850,31950,153316,-0.0390977443609023
2015-04-15,31950,33250,31900,32800,154792,0.026604068857589924
2015-04-16,33000,34150,32650,33200,197819,0.012195121951219523
2015-04-17,33300,33800,32900,33250,129728,0.001506024096385561
2015-04-20,32800,34150,32500,33800,219530,0.016541353383458635
2015-04-21,34000,34100,33150,33200,108300,-0.017751479289940808
2015-04-22,33200,38000,32500,36250,992268,0.0918674698795181
2015-04-23,36750,36900,33800,34050,493965,-0.06068965517241376
2015-04-24,33700,33950,32050,32050,381314,-0.058737151248164476
2015-04-27,32100,33500,32100,32900,151264,0.026521060842433775
2015-04-28,32900,32950,31700,32100,160007,-0.024316109422492405
2015-04-29,32150,33050,32000,32500,131981,0.012461059190031154
2015-04-30,32650,33050,32100,32600,128349,0.003076923076922977
2015-05-04,32450,33000,31900,32000,86756,-0.018404907975460127
2015-05-06,31800,31800,29800,30600,212007,-0.043749999999999956
2015-05-07,30250,30900,30000,30850,81759,0.008169934640522847
2015-05-08,31000,31300,30700,31000,59518,0.004862236628849326
2015-05-11,31300,32450,31200,32400,138175,0.04516129032258065
2015-05-12,32650,33600,32050,32600,143786,0.006172839506172867
2015-05-13,32750,33300,32400,32800,78183,0.006134969325153339
2015-05-14,32700,33350,32650,32900,87114,0.0030487804878047697
2015-05-15,33000,34200,32400,32550,178759,-0.010638297872340385
2015-05-18,32500,35350,31650,34700,456223,0.0660522273425499
2015-05-19,34750,39300,34300,37900,727203,0.09221902017291073
2015-05-20,37900,39850,37600,38700,625347,0.02110817941952514
2015-05-21,39200,41800,39200,40950,597464,0.058139534883721034
2015-05-22,42450,42800,39000,41000,486937,0.0012210012210012167
2015-05-26,41750,42600,40400,41000,341767,0.0
2015-05-27,40950,46700,39600,45950,728427,0.12073170731707328
2015-05-28,46100,47350,44550,46100,478609,0.0032644178454841466
2015-05-29,46100,49200,45300,46000,451562,-0.002169197396963085
2015-06-01,46500,48000,45200,46950,377052,0.020652173913043415
2015-06-02,47550,48500,46500,48450,508980,0.03194888178913735
2015-06-03,51500,52600,46800,47450,830139,-0.02063983488132093
2015-06-04,47450,47450,44700,47350,365023,-0.0021074815595363283
2015-06-05,46750,47150,45300,45400,300339,-0.04118268215417109
2015-06-08,45700,48150,45450,47350,309765,0.04295154185022021
2015-06-09,47300,47750,46600,47500,165314,0.0031678986272438703
2015-06-10,47500,48050,44900,45300,276241,-0.0463157894736842
2015-06-11,45600,49000,45150,49000,401307,0.08167770419426046
2015-06-12,49500,51700,47600,47650,582958,-0.027551020408163263
2015-06-15,47700,48250,46400,48000,242606,0.007345225603357708
2015-06-16,48850,50300,47100,48600,330182,0.012499999999999956
2015-06-17,48600,49050,47350,49050,168532,0.0092592592592593
2015-06-18,49650,55000,49200,54700,1325376,0.11518858307849134
2015-06-19,55400,57000,53600,54700,474176,0.0
2015-06-22,55200,56000,53700,55000,278274,0.005484460694698434
2015-06-23,55000,55200,53800,54800,206665,-0.0036363636363636598
2015-06-24,55100,57600,54600,57600,511474,0.051094890510948954
2015-06-25,59000,74500,58000,71100,1738667,0.234375
2015-06-26,74200,75800,68900,69500,1107022,-0.02250351617440227
2015-06-29,67800,82000,67600,75000,1569127,0.07913669064748197
2015-06-30,75500,78800,69500,77100,1110944,0.028000000000000025
2015-07-01,77100,79900,76800,77400,477386,0.0038910505836575737
2015-07-02,77900,81400,75500,78500,700792,0.01421188630490966
2015-07-03,80700,101000,80500,99900,2301628,0.2726114649681528
2015-07-06,97500,102000,92200,94200,1229323,-0.0570570570570571
2015-07-07,96500,98100,66800,68900,3311006,-0.2685774946921444
2015-07-08,68600,69500,61400,66000,2171700,-0.0420899854862119
2015-07-09,63200,69400,61200,68500,1613235,0.037878787878787845
2015-07-10,70100,72100,63700,64500,1040034,-0.058394160583941646
2015-07-13,63900,69500,61200,68500,735361,0.0620155038759691
2015-07-14,68900,69000,66300,67000,487629,-0.021897810218978075
2015-07-15,66700,72500,65000,69400,1171661,0.035820895522387985
2015-07-16,69000,71000,66600,66900,430091,-0.03602305475504319
2015-07-17,66300,69500,60900,67700,1054927,0.01195814648729443
2015-07-20,74400,77900,68500,68500,1168375,0.011816838995568624
2015-07-21,67800,72700,65000,68900,931721,0.005839416058394109
2015-07-22,67800,71700,67500,69100,450086,0.002902757619738683
2015-07-23,70400,71900,69100,70500,306890,0.02026049204052094
2015-07-24,71000,71900,69800,71700,253485,0.017021276595744705
2015-07-27,70600,71600,68100,69000,272319,-0.03765690376569042
2015-07-28,66000,71500,65500,68000,584082,-0.01449275362318836
2015-07-29,69800,70300,56800,58900,651835,-0.13382352941176467
2015-07-30,58500,61000,53800,54000,816220,-0.08319185059422751
2015-07-31,53100,56600,50700,55400,918530,0.025925925925925908
2015-08-03,56400,58600,54300,55000,354585,-0.0072202166064981865
2015-08-04,55000,57600,54400,56900,279556,0.034545454545454435
2015-08-05,56800,61500,56200,60300,395757,0.05975395430579966
2015-08-06,61200,62900,59400,59600,350629,-0.011608623548922004
2015-08-07,58000,62500,58000,60400,254516,0.01342281879194629
2015-08-10,60200,61900,58600,58600,179567,-0.0298013245033113
