Date,Open,High,Low,Close,Volume,Change
2015-01-02,6854,7038,6854,7019,91981,0.015333429769998519
2015-01-05,6980,7038,6874,6922,95147,-0.0138196324262716
2015-01-06,6796,6854,6593,6642,193542,-0.040450736781277086
2015-01-07,6583,6622,6322,6477,419844,-0.024841915085817567
2015-01-08,6515,6525,6244,6245,320148,-0.03581905203026092
2015-01-09,6273,6448,6273,6380,245141,0.021617293835068052
2015-01-12,6341,6515,6341,6409,160907,0.00454545454545463
2015-01-13,6418,6467,6351,6409,145830,0.0
2015-01-14,6389,6506,6341,6361,125220,-0.007489467935715366
2015-01-15,6360,6573,6322,6564,195357,0.03191322119163664
2015-01-16,6564,6612,6331,6351,198693,-0.032449725776965255
2015-01-19,6370,6506,6351,6438,99749,0.013698630136986356
2015-01-20,6457,6738,6448,6584,212897,0.02267785026405722
2015-01-21,6583,6631,6496,6564,83989,-0.0030376670716889542
2015-01-22,6641,7116,6602,6932,546879,0.0560633759902498
2015-01-23,7057,7067,6835,6874,226585,-0.008366993652625498
2015-01-26,6874,6941,6738,6816,147020,-0.008437590922315996
2015-01-27,6854,7067,6854,7068,199093,0.0369718309859155
2015-01-28,7038,7241,7019,7058,249352,-0.0014148273910582487
2015-01-29,7057,7174,6961,7174,133410,0.01643525077925756
2015-01-30,7212,7309,7096,7126,134298,-0.006690827989963788
2015-02-02,7067,7358,7009,7339,162567,0.029890541678361027
2015-02-03,7338,8074,7338,7920,698418,0.07916609892355897
2015-02-04,8035,8181,7871,8133,390570,0.02689393939393936
2015-02-05,8297,8316,8093,8152,356986,0.0023361613180867824
2015-02-06,8151,8248,8016,8191,266776,0.004784102060843898
2015-02-09,8277,8471,8122,8229,282083,0.004639238188255401
2015-02-10,8229,8335,7987,8036,219117,-0.023453639567383666
2015-02-11,8016,8674,8016,8636,601000,0.07466401194624184
2015-02-12,8597,8800,8403,8772,321554,0.015748031496062964
2015-02-13,8800,8926,8665,8839,215978,0.007637938896488894
2015-02-16,8839,9100,8713,8743,172452,-0.010860957121846315
2015-02-17,8742,8810,8519,8588,179344,-0.017728468489076943
2015-02-23,8674,8674,8394,8491,202875,-0.01129482999534237
2015-02-24,8703,9371,8703,8956,574515,0.05476386762454366
2015-02-25,8984,9013,8481,8520,342529,-0.04868244752121487
2015-02-26,8519,8713,8364,8568,212212,0.005633802816901401
2015-02-27,8481,8655,8442,8530,139455,-0.004435107376283831
2015-03-02,8490,8868,8490,8597,195433,0.007854630715123045
2015-03-03,8878,8955,8616,8801,168157,0.02372920786320809
2015-03-04,8723,8897,8694,8743,126617,-0.0065901602090671085
2015-03-05,8781,8781,8548,8549,126741,-0.022189179915360846
2015-03-06,8548,8597,8219,8258,356129,-0.03403906889694697
2015-03-09,8335,8345,8122,8162,135457,-0.011625090821022033
2015-03-10,8171,8268,7900,7949,172259,-0.026096544964469448
2015-03-11,7909,8103,7822,8055,126009,0.013335010693168892
2015-03-12,8035,8151,7968,7987,104732,-0.008441961514587204
2015-03-13,8248,8364,8093,8133,199957,0.01827970451984484
2015-03-16,8084,8181,7755,7784,234016,-0.04291159473748929
2015-03-17,7842,8016,7755,8007,116394,0.02864850976361777
2015-03-18,8064,8064,7871,7910,73584,-0.012114399900087447
2015-03-19,7987,8103,7919,7987,120152,0.009734513274336276
2015-03-20,7938,8016,7861,7910,105340,-0.009640666082383897
2015-03-23,7968,8297,7968,8162,190880,0.031858407079645934
2015-03-24,8268,8461,8229,8375,188711,0.026096544964469448
2015-03-25,8326,8384,8229,8326,92408,-0.00585074626865667
2015-03-26,8326,8364,7997,8268,86810,-0.006966130194571263
2015-03-27,8268,8268,8132,8191,77376,-0.009313014029995181
2015-03-30,8132,8161,7890,8055,113332,-0.01660358930533512
2015-03-31,8181,8510,8142,8384,200156,0.040844196151458734
2015-04-01,8403,8471,8122,8326,161800,-0.0069179389312976625
2015-04-02,8442,8829,8345,8404,384790,0.009368244054768216
2015-04-03,8413,8626,8413,8578,93923,0.02070442646358872
2015-04-06,8616,8616,8403,8471,141192,-0.012473770109582616
2015-04-07,8548,8761,8481,8714,185323,0.028686105536536388
2015-04-08,8810,8878,8645,8839,237975,0.01434473261418412
2015-04-09,8878,9275,8761,9227,399823,0.04389636836746247
2015-04-10,9362,9420,8965,9004,306211,-0.024168202015823148
2015-04-13,9100,9207,8858,9004,238159,0.0
2015-04-14,9100,9100,8723,8733,245578,-0.03009773434029317
2015-04-15,8800,8820,8616,8752,193670,0.0021756555593726024
2015-04-16,8810,8868,8568,8607,204625,-0.01656764168190128
2015-04-17,8616,8674,8403,8442,210070,-0.01917044266294876
2015-04-20,8306,8442,8268,8297,161035,-0.01717602463871115
2015-04-21,8413,8587,8297,8481,196244,0.022176690370013352
2015-04-22,8394,8665,8103,8375,307030,-0.012498526117203146
2015-04-23,8490,8539,8229,8336,211799,-0.004656716417910434
2015-04-24,8345,8548,8316,8433,140205,0.011636276391554734
2015-04-27,8442,8607,8442,8568,99674,0.016008537886873064
2015-04-28,8568,8607,8403,8462,113907,-0.01237161531279174
2015-04-29,8461,8510,8084,8104,231106,-0.042306783266367276
2015-04-30,8132,8171,7900,7929,153684,-0.021594274432379046
2015-05-04,8026,8026,7793,7852,70163,-0.009711186782696446
2015-05-06,7803,7929,7542,7571,171091,-0.035787060621497724
2015-05-07,7571,7735,7542,7697,110093,0.016642451459516483
2015-05-08,7687,7948,7677,7852,136177,0.0201377159932441
2015-05-11,7890,7900,7590,7629,206991,-0.028400407539480366
2015-05-12,7629,7629,7280,7310,320762,-0.04181413029230563
2015-05-13,7174,7367,7174,7348,161587,0.005198358413132764
2015-05-14,7290,7532,7290,7503,84698,0.02109417528579205
2015-05-15,7512,7512,7203,7300,237782,-0.02705584432893504
