Date,Open,High,Low,Close,Volume,Change
2015-01-02,17200,17450,17100,17150,539622,-0.0029069767441860517
2015-01-05,17200,17250,16700,16850,929913,-0.017492711370262426
2015-01-06,16800,17400,16750,17000,806277,0.008902077151335286
2015-01-07,17000,17300,16950,17150,554406,0.008823529411764675
2015-01-08,17300,17650,17200,17250,691491,0.005830903790087438
2015-01-09,17400,17450,17000,17000,702290,-0.01449275362318836
2015-01-12,17000,17150,16700,16850,652190,-0.008823529411764675
2015-01-13,16900,16900,16500,16600,709893,-0.014836795252225476
2015-01-14,16750,17100,16600,16950,601220,0.02108433734939763
2015-01-15,16950,17450,16800,16950,752879,0.0
2015-01-16,16950,16950,16400,16850,682712,-0.005899705014749235
2015-01-19,16950,17050,16500,16600,566541,-0.014836795252225476
2015-01-20,16600,16800,16500,16550,489918,-0.003012048192771122
2015-01-21,16550,16600,16000,16450,789409,-0.0060422960725075026
2015-01-22,16450,17300,16450,17300,1269017,0.05167173252279644
2015-01-23,17550,17750,17150,17750,1074895,0.026011560693641522
2015-01-26,17750,18000,17450,17800,862152,0.0028169014084507005
2015-01-27,17950,18300,17750,18300,1161478,0.028089887640449396
2015-01-28,18100,18950,17900,18700,1688937,0.021857923497267784
2015-01-29,18650,19700,18500,19550,1682872,0.045454545454545414
2015-01-30,19450,20150,19150,19750,1478167,0.010230179028132946
2015-02-02,19700,20000,19500,19750,747205,0.0
2015-02-03,19850,20350,19750,20200,930355,0.022784810126582178
2015-02-04,20250,20400,19850,20100,585097,-0.004950495049504955
2015-02-05,20100,20650,19600,20600,849689,0.02487562189054726
2015-02-06,20800,20800,20150,20550,435267,-0.0024271844660194164
2015-02-09,20300,20650,20000,20000,449897,-0.02676399026763987
2015-02-10,20000,20400,19750,20050,580268,0.0024999999999999467
2015-02-11,20250,20850,20100,20200,821417,0.007481296758104827
2015-02-12,20000,20300,19500,19650,566925,-0.027227722772277252
2015-02-13,19750,20150,19550,19600,541456,-0.0025445292620864812
2015-02-16,19900,20550,19750,20400,601772,0.04081632653061229
2015-02-17,20500,20600,20050,20300,627861,-0.004901960784313708
2015-02-23,20550,20650,20250,20550,355731,0.012315270935960632
2015-02-24,20500,20900,20300,20700,570754,0.007299270072992803
2015-02-25,20750,20750,20300,20400,414099,-0.01449275362318836
2015-02-26,20400,20600,20050,20600,483331,0.009803921568627416
2015-02-27,20400,20900,20200,20900,713137,0.014563106796116498
2015-03-02,21450,22000,21250,22000,1314899,0.05263157894736836
2015-03-03,23350,23650,22250,22550,1919853,0.02499999999999991
2015-03-04,22200,22500,21950,22350,741327,-0.008869179600886956
2015-03-05,22300,22850,21900,22500,579841,0.006711409395973256
2015-03-06,22500,22800,22400,22650,508640,0.006666666666666599
2015-03-09,22650,22650,22050,22050,430677,-0.026490066225165587
2015-03-10,22100,22450,21900,21900,497017,-0.006802721088435382
2015-03-11,21500,22700,21400,22500,667387,0.027397260273972712
2015-03-12,22250,22600,21900,21900,599073,-0.026666666666666616
2015-03-13,22100,22500,21900,21950,618371,0.0022831050228311334
2015-03-16,21900,22600,21900,22050,508492,0.004555808656036442
2015-03-17,22350,22850,22150,22350,539592,0.013605442176870763
2015-03-18,22800,22850,22350,22350,511068,0.0
2015-03-19,22600,22950,22450,22550,558478,0.008948545861297452
2015-03-20,22500,22950,22400,22950,412490,0.017738359201773912
2015-03-23,23050,23450,22850,23350,383748,0.017429193899782147
2015-03-24,23250,23400,22850,23050,393784,-0.012847965738758016
2015-03-25,23150,23900,23050,23750,453405,0.030368763557483636
2015-03-26,23850,23900,22900,23000,544740,-0.03157894736842104
2015-03-27,23050,23650,23050,23450,388029,0.019565217391304346
2015-03-30,23650,23800,23450,23500,245863,0.002132196162046851
2015-03-31,23650,24100,23650,24050,560621,0.023404255319148914
2015-04-01,23900,24500,23850,24400,714170,0.01455301455301461
2015-04-02,24300,24500,23500,23950,604128,-0.018442622950819665
2015-04-03,24100,24800,23950,24750,514103,0.03340292275574108
2015-04-06,24550,24750,24200,24550,521930,-0.008080808080808133
2015-04-07,24550,24650,24000,24000,510546,-0.022403258655804503
2015-04-08,24000,24800,24000,24200,612062,0.008333333333333304
2015-04-09,24500,25400,24350,24950,784931,0.030991735537190035
2015-04-10,25100,25300,24600,24650,567692,-0.012024048096192397
2015-04-13,24650,24900,24500,24700,455774,0.0020283975659229903
