Date,Open,High,Low,Close,Volume,Change
2015-01-02,58834,59470,58469,58834,18175,-0.01072773742265265
2015-01-05,58834,59470,57649,59290,33220,0.00775062038957075
2015-01-06,58924,60017,58834,59927,23525,0.01074380165289246
2015-01-07,59926,59926,57922,58743,34600,-0.01975737146862011
2015-01-08,59016,59288,58287,58834,25425,0.0015491207463016465
2015-01-09,58834,59198,55919,56011,97874,-0.04798245912227628
2015-01-12,56010,56375,53187,53279,142873,-0.048776133259538335
2015-01-13,53642,55190,52913,55009,62522,0.03247057940276665
2015-01-14,54735,55190,53642,54098,36943,-0.016560926393862863
2015-01-15,54098,54280,53369,53916,30713,-0.0033642648526748253
2015-01-16,53733,53824,52640,53097,44060,-0.015190296016024951
2015-01-19,53095,53187,50728,51457,73801,-0.030886867431304976
2015-01-20,51456,52275,50819,51002,51927,-0.008842334376275351
2015-01-21,51001,52458,49362,51821,77662,0.016058193796321785
2015-01-22,52367,52367,51001,51002,48010,-0.015804403620154006
2015-01-23,51183,51456,49544,50000,48886,-0.01964628838084781
2015-01-26,50182,52185,50090,50546,45828,0.01092000000000004
2015-01-27,50728,52003,50546,51275,46523,0.014422506231947185
2015-01-28,51183,51911,50819,51548,38428,0.005324232081911351
2015-01-29,51456,51729,50546,51639,39397,0.0017653449212384764
2015-01-30,51729,51729,50090,51002,28044,-0.012335637793140841
2015-02-02,51274,51274,50546,50820,17260,-0.0035684875102937053
2015-02-03,50910,51001,49816,50274,39799,-0.01074380165289257
2015-02-04,50454,50728,49726,49818,61780,-0.009070294784580546
2015-02-05,49999,51729,49816,51731,38509,0.038399775181661155
2015-02-06,52093,52093,50910,52095,30709,0.007036399837621499
2015-02-09,51183,51274,49726,50911,139679,-0.022727708993185547
2015-02-10,50546,50819,49999,50000,37487,-0.017893971833199074
2015-02-11,50182,50910,50090,50820,26635,0.01639999999999997
2015-02-12,51639,52275,50272,50911,50596,0.001790633608815373
2015-02-13,51092,51456,50090,51457,42266,0.010724597827581395
2015-02-16,51729,51911,51001,51366,30755,-0.0017684668752551147
2015-02-17,51547,52003,51001,51913,24407,0.01064906747654093
2015-02-23,52731,53005,51821,52185,32452,0.005239535376495352
2015-02-24,52640,53824,52367,52367,81627,0.003487592219986624
2015-02-25,53095,53095,52093,52367,59331,0.0
2015-02-26,52549,52913,52185,52550,57190,0.0034945671892603336
2015-02-27,52731,53369,52549,53187,43689,0.012121788772597508
2015-03-02,53187,53187,52093,52095,49122,-0.020531332844492045
2015-03-03,52003,52549,51456,51913,56880,-0.0034936174296957834
2015-03-04,51911,52549,51547,51821,47985,-0.0017721957891086992
2015-03-05,51911,52185,51639,52003,41705,0.0035120896933675816
2015-03-06,52185,53369,52003,53097,50566,0.021037247851085406
2015-03-09,52823,53733,52093,52459,49923,-0.012015744769007686
2015-03-10,52640,53824,52458,53643,96959,0.022570007053127172
2015-03-11,53642,54644,53278,54372,97065,0.013589843968458082
2015-03-12,54280,56829,54006,56284,154372,0.03516515853748259
2015-03-13,56647,58651,55828,57468,167308,0.021036173690569315
2015-03-16,57649,58924,57103,58379,169409,0.015852300410663434
2015-03-17,58469,58560,56465,57103,110913,-0.02185717466897341
2015-03-18,57558,58014,55737,57559,85134,0.007985569935029746
2015-03-19,58378,63478,58287,61385,299272,0.06647092548515432
2015-03-20,61930,67212,60563,64845,612608,0.056365561619288185
2015-03-23,65481,65573,61657,62659,230671,-0.03371115737527952
2015-03-24,62750,64480,61110,61839,195757,-0.013086707416332888
2015-03-25,61839,63752,61475,63752,110218,0.030935170361745756
2015-03-26,63204,63752,62294,63479,98944,-0.0042822185970635696
2015-03-27,63478,64480,62385,63752,83983,0.004300634855621599
2015-03-30,64024,65573,63570,63934,82200,0.0028548123980423057
2015-03-31,64024,64662,60837,62204,127674,-0.02705915475333942
2015-04-01,61565,62021,60017,61475,127017,-0.011719503568902279
2015-04-02,61930,68122,61475,67213,351086,0.09333875559170401
2015-04-03,67758,67940,65391,67213,126614,0.0
2015-04-06,67303,69762,66483,67760,135919,0.008138306577596621
2015-04-07,67394,69580,67030,69399,135996,0.024188311688311703
2015-04-08,69580,71857,64662,65209,475151,-0.06037550973356964
2015-04-09,65573,66119,64116,65301,242975,0.0014108481958012842
2015-04-10,65845,66119,63934,64026,181750,-0.019524968989755087
2015-04-13,64024,65026,63296,64845,164346,0.012791678380657867
2015-04-14,64844,65209,61383,62750,211769,-0.03230781093376511
2015-04-15,61930,64571,61930,64026,176366,0.020334661354581618
2015-04-16,63296,66666,63296,66393,209339,0.03696935619904407
2015-04-17,66939,67212,65937,66393,113193,0.0
2015-04-20,66029,69216,65391,68214,182579,0.027427590258009227
2015-04-21,68942,69580,64571,66029,164040,-0.03203154777611639
2015-04-22,65846,68670,59562,66029,205965,0.0
2015-04-23,66483,66483,62932,64754,180622,-0.019309697254236813
2015-04-24,63660,64662,62476,63296,142621,-0.022515983568582643
2015-04-27,63114,64662,62750,64208,132416,0.014408493427704672
2015-04-28,63387,64662,63114,64572,108170,0.005669075504610044
2015-04-29,63934,64662,63296,64116,91689,-0.0070618844081026255
2015-04-30,64116,65391,63296,65301,115663,0.01848212614635969
2015-05-04,65573,66393,64024,65483,110082,0.002787093612655278
2015-05-06,64662,66483,64206,66121,71718,0.009742986729380121
2015-05-07,66029,66119,62658,63479,130629,-0.039957048441493614
2015-05-08,63660,64662,63478,63844,43884,0.005749933048724731
2015-05-11,64024,66848,63752,65483,137744,0.025671950379049013
2015-05-12,65573,71948,65573,68852,501161,0.05144846754119392
2015-05-13,68852,72221,68214,72040,307736,0.046302213443327744
2015-05-14,71037,71766,69034,71311,266109,-0.0101193781232648
2015-05-15,70581,74225,70035,70765,260333,-0.007656602768156384
2015-05-18,71493,71493,67576,70674,264813,-0.001285946442450392
2015-05-19,71037,71219,68852,70127,138479,-0.007739762854798049
2015-05-20,70491,80600,70217,80601,707649,0.14935759407931326
2015-05-21,81328,86246,79051,82240,538916,0.020334735301050788
2015-05-22,83059,83969,77048,78597,269366,-0.04429717898832686
2015-05-26,78323,79507,76593,77322,142578,-0.016221993205847607
2015-05-27,77140,79507,74771,75409,154095,-0.024740694756990256
2015-05-28,76046,83332,76046,80601,305758,0.06885119813284879
2015-05-29,81510,83332,77959,77960,172460,-0.03276634284934432
2015-06-01,80873,80964,76593,80145,125218,0.028027193432529574
2015-06-02,80509,83969,78779,79235,283093,-0.01135442011354415
2015-06-03,78323,81784,74863,78233,213287,-0.012645926673818364
2015-06-04,77868,81966,77230,81876,180797,0.04656602712410374
2015-06-05,82058,84699,81146,83789,215618,0.02336460012702135
2015-06-08,83605,83787,80053,81512,142953,-0.027175404886082943
2015-06-09,82422,84243,80053,81238,215930,-0.0033614682500736626
2015-06-10,82422,84334,78779,80055,172130,-0.01456215071764444
2015-06-11,80600,85427,79599,85155,488282,0.06370620198613453
2015-06-12,85700,88615,83332,83971,370596,-0.013904057307263185
2015-06-15,83697,85154,81876,83242,115676,-0.00868156863679126
2015-06-16,83515,84334,80327,82240,115066,-0.012037192763268534
2015-06-17,82240,83787,80873,82058,79344,-0.002213035019455245
2015-06-18,82695,87613,81510,86248,314985,0.05106144434424431
2015-06-19,87158,89252,84699,87067,170450,0.009495872368054936
2015-06-22,87431,87704,81784,83425,194691,-0.041829855169007724
