Date,Open,High,Low,Close,Volume,Change
2015-01-02,124400,138700,124300,137200,1162901,0.11003236245954695
2015-01-05,140500,145800,139600,144500,1374537,0.053206997084548124
2015-01-06,144300,149300,142500,145300,1045908,0.005536332179930881
2015-01-07,144000,149300,142800,148200,859063,0.019958706125258185
2015-01-08,149900,151500,146500,147300,731206,-0.006072874493927127
2015-01-09,149200,150100,147100,149500,657407,0.014935505770536261
2015-01-12,148000,148600,141400,145400,997546,-0.027424749163879603
2015-01-13,145400,147300,141700,142600,603853,-0.019257221458046758
2015-01-14,142500,145500,140600,144400,469152,0.012622720897615736
2015-01-15,145500,154500,144600,154400,1221183,0.06925207756232687
2015-01-16,154800,156900,150700,153500,828330,-0.0058290155440414715
2015-01-19,157600,157700,152000,152200,496383,-0.00846905537459286
2015-01-20,153200,155600,150900,154200,474015,0.013140604467805517
2015-01-21,153700,154800,152100,153000,300348,-0.0077821011673151474
2015-01-22,153000,156000,146100,147500,703600,-0.03594771241830064
2015-01-23,149200,155900,146800,155800,749666,0.05627118644067797
2015-01-26,157500,160000,156300,157200,626975,0.00898587933247752
2015-01-27,157500,157500,151200,153100,708742,-0.026081424936386766
2015-01-28,154500,157600,153100,157400,530144,0.028086218158066556
2015-01-29,157700,157900,154300,156400,374502,-0.006353240152477735
2015-01-30,157000,159500,152100,152700,494675,-0.02365728900255759
2015-02-02,152100,152500,148000,148900,449932,-0.024885396201702714
2015-02-03,148100,150600,145200,150000,509257,0.007387508394895992
2015-02-04,149100,151400,148300,149600,310328,-0.002666666666666706
2015-02-05,150600,152400,149100,149800,270901,0.0013368983957218195
2015-02-06,150500,151200,144900,145700,438459,-0.02736982643524699
2015-02-09,145000,146900,138100,139400,706608,-0.043239533287577236
2015-02-10,137300,144900,134500,140500,935782,0.00789096126255373
2015-02-11,140500,148900,140500,147600,575456,0.05053380782918149
2015-02-12,150900,152300,142100,145200,887567,-0.016260162601625994
2015-02-13,145600,145600,140800,141200,558675,-0.02754820936639113
2015-02-16,140000,141600,138600,139800,294518,-0.009915014164305958
2015-02-17,137900,141400,137800,139300,270608,-0.003576537911301858
2015-02-23,139300,140300,135200,135600,458848,-0.026561378320172246
2015-02-24,135100,138800,133000,135700,422043,0.0007374631268437515
2015-02-25,136900,138600,134900,134900,353365,-0.005895357406042745
2015-02-26,135400,136100,130200,130800,654450,-0.03039288361749448
2015-02-27,131500,133100,131100,133100,417727,0.01758409785932713
2015-03-02,133300,134000,128100,128200,604321,-0.03681442524417733
2015-03-03,128900,130400,128400,129500,280515,0.010140405616224646
2015-03-04,129200,135400,128600,132800,666853,0.025482625482625476
2015-03-05,132800,134800,131400,132000,341358,-0.0060240963855421326
2015-03-06,132000,133400,129700,130900,363587,-0.008333333333333304
2015-03-09,132000,132500,128600,128800,352289,-0.016042780748663055
2015-03-10,130300,130700,124600,125200,497432,-0.02795031055900621
2015-03-11,123100,125200,121000,121200,636029,-0.03194888178913735
2015-03-12,121200,124800,121200,123500,341703,0.018976897689769068
2015-03-13,122400,124300,120300,120400,581674,-0.025101214574898778
2015-03-16,120900,121900,117500,119000,846458,-0.011627906976744207
2015-03-17,119000,121000,117800,118600,600567,-0.003361344537815114
2015-03-18,117600,120300,112100,112500,1463866,-0.05143338954468801
2015-03-19,112700,114300,106700,113600,2074193,0.009777777777777885
2015-03-20,114300,121000,113600,121000,1859217,0.0651408450704225
2015-03-23,123200,124900,120400,120700,1252810,-0.0024793388429752428
2015-03-24,121000,121000,115500,115500,955731,-0.04308202154101082
2015-03-25,115500,116700,112600,113500,711779,-0.017316017316017285
2015-03-26,112900,116900,112100,112500,845622,-0.008810572687224627
2015-03-27,112700,113900,111700,113300,293666,0.007111111111111068
2015-03-30,114500,116800,113400,115400,459733,0.01853486319505726
2015-03-31,117000,117300,113600,115400,458164,0.0
2015-04-01,114400,115100,113600,114000,322494,-0.012131715771230511
2015-04-02,113600,114100,109100,109300,978423,-0.041228070175438614
2015-04-03,109400,112200,109100,109600,411068,0.0027447392497712553
2015-04-06,107700,109200,105800,107400,801169,-0.02007299270072993
2015-04-07,108100,110200,107000,107200,492885,-0.0018621973929237035
2015-04-08,107800,108500,106800,107100,433354,-0.000932835820895539
2015-04-09,106800,113800,105800,110300,1378701,0.029878618113912125
2015-04-10,110400,112000,108000,108000,618937,-0.020852221214868516
2015-04-13,107900,109800,106300,107100,524864,-0.008333333333333304
2015-04-14,107300,115500,107300,113900,1840211,0.06349206349206349
2015-04-15,114800,115400,111800,111800,773307,-0.01843722563652328
2015-04-16,112800,115200,110800,114000,851465,0.019677996422182487
2015-04-17,117900,119400,114100,114500,1421540,0.004385964912280604
2015-04-20,113500,116800,113400,116000,569108,0.013100436681222627
2015-04-21,117000,117600,113700,113900,508020,-0.018103448275862077
2015-04-22,113800,118000,113400,115700,883734,0.015803336259877065
2015-04-23,115400,116800,113500,113500,539607,-0.019014693171996555
2015-04-24,113500,114000,110000,110700,607208,-0.02466960352422909
2015-04-27,111500,112300,110300,110600,275781,-0.0009033423667570428
2015-04-28,110600,111600,109000,109200,368402,-0.012658227848101222
2015-04-29,108800,109500,107000,107100,426578,-0.019230769230769273
2015-04-30,107600,110800,107300,107900,434168,0.007469654528478031
2015-05-04,108000,110500,106100,106100,442377,-0.016682113067655213
2015-05-06,104700,104900,101700,101700,698164,-0.041470311027332674
2015-05-07,101800,104900,99000,104600,651668,0.02851524090462143
2015-05-08,104600,106900,104200,104200,356894,-0.003824091778202643
2015-05-11,104700,105200,103100,104300,262203,0.0009596928982724684
2015-05-12,104100,104300,101000,101100,393061,-0.030680728667305868
2015-05-13,100100,102500,99500,100400,399074,-0.006923837784371889
2015-05-14,100300,108600,99900,105900,1361889,0.054780876494023856
2015-05-15,105500,107000,103500,104900,495087,-0.009442870632672351
2015-05-18,105500,107600,103900,107000,463356,0.020019065776930356
2015-05-19,107800,112600,107100,111500,1093027,0.0420560747663552
2015-05-20,114500,116800,112600,116400,1267036,0.04394618834080721
2015-05-21,117700,117800,114300,115900,667952,-0.004295532646048095
2015-05-22,116100,116500,113000,113000,447297,-0.025021570319240682
2015-05-26,114800,115700,113400,113600,443005,0.005309734513274433
2015-05-27,113600,113600,107900,108400,509228,-0.045774647887323994
2015-05-28,109700,110400,107100,107100,356785,-0.011992619926199266
2015-05-29,108300,120800,106800,117300,2409987,0.09523809523809534
2015-06-01,119300,120200,115100,116300,720250,-0.008525149190110826
2015-06-02,115200,116000,111600,111600,612457,-0.040412725709372266
2015-06-03,111600,115100,111200,111800,468001,0.0017921146953405742
2015-06-04,112000,114400,112000,113900,323384,0.01878354203935606
2015-06-05,112000,114100,110600,110700,379878,-0.028094820017559252
2015-06-08,111600,115400,110700,114200,435705,0.031616982836494945
2015-06-09,115600,118600,115400,117000,790908,0.024518388791593626
2015-06-10,118300,119600,115100,116000,639825,-0.008547008547008517
2015-06-11,117700,118500,114500,114500,464246,-0.012931034482758674
2015-06-12,113800,114700,109800,110800,669117,-0.03231441048034933
2015-06-15,109200,110500,105000,105600,639238,-0.04693140794223827
2015-06-16,105000,109600,99800,101700,1319340,-0.03693181818181823
2015-06-17,101200,106800,100800,106400,725826,0.046214355948869246
2015-06-18,107000,107100,104400,105000,384281,-0.013157894736842146
2015-06-19,108200,109300,106500,107800,346862,0.026666666666666616
2015-06-22,108200,109400,106100,106600,249642,-0.011131725417439675
2015-06-23,108500,108500,106600,107000,239791,0.0037523452157599557
2015-06-24,107300,115500,107300,114300,1175034,0.06822429906542049
2015-06-25,118000,120400,117100,119800,1801342,0.04811898512685908
2015-06-26,120500,126200,119000,123500,1914367,0.03088480801335569
2015-06-29,121400,128500,121400,126000,1532599,0.020242914979757165
2015-06-30,128000,128700,122500,126200,1054191,0.0015873015873015817
2015-07-01,128300,139600,128100,136600,2931964,0.08240887480190184
2015-07-02,139000,141500,135900,138300,1564411,0.012445095168374776
2015-07-03,138700,139700,134600,139200,1039196,0.006507592190889477
2015-07-06,137500,145200,137100,138000,1354183,-0.008620689655172376
2015-07-07,142000,143400,133000,138400,1400854,0.0028985507246377384
2015-07-08,141200,141900,137000,138100,838502,-0.0021676300578035157
2015-07-09,136200,137400,127500,131300,2046524,-0.049239681390296886
2015-07-10,131500,135200,128500,130500,942866,-0.006092916984006047
2015-07-13,130500,134900,129300,134800,712769,0.03295019157088119
2015-07-14,136100,136400,132100,132600,532595,-0.016320474777448024
2015-07-15,133500,134700,129800,130200,720192,-0.018099547511312264
2015-07-16,130500,138800,128300,138100,1063184,0.060675883256528396
2015-07-17,140500,141300,136500,139500,1195533,0.010137581462708267
2015-07-20,140400,141600,135700,135800,771215,-0.026523297491039433
2015-07-21,135200,135300,130700,131200,769050,-0.03387334315169366
2015-07-22,131000,133800,129800,131900,517546,0.005335365853658569
2015-07-23,131500,132700,129600,130000,484129,-0.014404852160727843
2015-07-24,128900,130700,126500,127700,618347,-0.017692307692307674
2015-07-27,126200,128800,122500,126200,623568,-0.011746280344557603
2015-07-28,124900,129900,124400,129300,582250,0.02456418383518222
2015-07-29,129900,131600,128900,129300,438355,0.0
2015-07-30,131000,131300,123100,129400,638133,0.0007733952049497894
2015-07-31,129000,129100,120100,120900,874693,-0.06568778979907264
2015-08-03,120300,124100,120300,121000,449460,0.0008271298593878207
2015-08-04,122200,126000,121200,124700,482406,0.03057851239669418
2015-08-05,124700,127300,123500,126900,305989,0.017642341619887647
2015-08-06,133800,135400,128000,128000,958046,0.008668242710795804
2015-08-07,129000,133400,128700,132200,718243,0.03281249999999991
2015-08-10,133400,136800,131100,135800,781228,0.027231467473525006
2015-08-11,137000,139700,133100,133500,1065953,-0.016936671575846884
2015-08-12,134600,138500,131500,134900,1201227,0.01048689138576786
2015-08-13,130000,142900,128200,140100,2282915,0.03854707190511486
2015-08-17,142200,142500,137100,137100,729269,-0.021413276231263434
2015-08-18,137300,138200,131200,131300,776549,-0.042304886943836606
2015-08-19,129300,130500,124400,126400,939091,-0.037319116527037344
2015-08-20,125700,128800,124500,125200,491329,-0.009493670886076
2015-08-21,120000,125100,119800,124000,739573,-0.009584664536741228
2015-08-24,124000,126200,122000,124000,540710,0.0
2015-08-25,126100,130900,124100,128300,619862,0.0346774193548387
2015-08-26,128800,130200,127200,129100,468220,0.00623538581449723
2015-08-27,130600,130700,127300,127700,383564,-0.010844306738962084
2015-08-28,129600,134900,129600,134700,677207,0.054815974941268664
2015-08-31,134700,135200,132000,134900,582297,0.0014847809948033142
2015-09-01,134000,136000,130500,130500,385728,-0.03261675315048185
2015-09-02,127600,129500,126300,128100,534493,-0.01839080459770115
2015-09-03,130300,133300,129000,129400,384122,0.010148321623731471
2015-09-04,129600,131300,124700,124700,403233,-0.03632148377125188
2015-09-07,125400,126800,124000,124000,251142,-0.005613472333600655
2015-09-08,124400,125400,121500,122600,319209,-0.011290322580645107
2015-09-09,125000,127300,124500,126900,298705,0.03507340946166404
2015-09-10,124800,126000,123900,125000,243984,-0.014972419227738398
2015-09-11,125800,125900,124200,124200,292688,-0.006399999999999961
2015-09-14,125000,126600,120700,122000,410139,-0.017713365539452464
2015-09-15,122500,123500,121800,122700,205063,0.0057377049180327155
2015-09-16,124600,126200,124000,126200,359776,0.028524857375713086
2015-09-17,127200,127400,124300,125100,318232,-0.008716323296354966
2015-09-18,125700,127900,124700,125500,384309,0.003197442046362964
2015-09-21,124100,125000,122700,124700,223569,-0.0063745019920318224
2015-09-22,125000,125200,123800,124200,174988,-0.004009623095429071
2015-09-23,123500,125400,123300,123400,233691,-0.006441223832528209
2015-09-24,124400,124500,122700,122900,174389,-0.004051863857374438
2015-09-25,122000,123400,122000,123000,164981,0.0008136696501219731
2015-09-30,123300,127200,123000,125900,513808,0.02357723577235782
2015-10-01,127700,133400,125500,127400,1161547,0.011914217633042012
2015-10-02,130000,131400,128200,130000,565687,0.020408163265306145
2015-10-05,130500,130900,128500,129800,329723,-0.0015384615384614886
2015-10-06,130200,131200,127000,127200,345355,-0.02003081664098616
2015-10-07,125800,127000,124500,125900,346652,-0.010220125786163492
2015-10-08,125500,127200,122900,123300,450074,-0.02065131056393965
2015-10-12,123400,124300,122100,122200,373162,-0.008921330089213253
2015-10-13,121800,123400,121100,121100,343992,-0.009001636661211121
2015-10-14,120900,122200,120400,121900,252458,0.006606110652353392
2015-10-15,120900,121100,115500,116000,1209220,-0.048400328137817916
2015-10-16,115900,116900,114600,115100,465220,-0.00775862068965516
2015-10-19,115100,116200,111800,115400,529059,0.0026064291920069316
2015-10-20,114300,117900,114300,116000,348614,0.005199306759098743
2015-10-21,116100,117300,115100,115400,262297,-0.005172413793103403
2015-10-22,115100,115100,112000,112200,432670,-0.02772963604852685
2015-10-23,113000,114400,112600,114400,232919,0.019607843137254832
2015-10-26,114700,115500,113100,114000,193822,-0.0034965034965035446
2015-10-27,113500,114100,112400,113200,259009,-0.007017543859649145
2015-10-28,113900,115200,113000,114900,323319,0.015017667844523075
2015-10-29,115400,116600,114000,114700,220302,-0.0017406440382942145
2015-10-30,114600,115500,113500,113600,149633,-0.009590235396687019
2015-11-02,112900,113400,110500,111300,283375,-0.020246478873239382
2015-11-03,111500,112600,110100,111200,248764,-0.0008984725965858198
2015-11-04,111500,114800,111400,114800,307774,0.03237410071942448
2015-11-05,115900,120900,115800,120300,954534,0.04790940766550533
2015-11-06,119200,120000,118000,119000,348546,-0.010806317539484578
2015-11-09,119800,120000,114500,115000,322087,-0.03361344537815125
2015-11-10,113400,114000,110900,111700,357895,-0.02869565217391301
2015-11-11,111400,113400,111400,111500,188505,-0.0017905102954342
2015-11-12,114100,120000,114100,119000,842435,0.06726457399103136
2015-11-13,117500,119900,117100,119400,367584,0.003361344537815114
2015-11-16,117500,118900,115100,115100,348337,-0.03601340033500833
2015-11-17,116600,116800,114400,114800,236184,-0.0026064291920069316
2015-11-18,114500,116100,113700,114600,223064,-0.0017421602787456303
2015-11-19,114700,115900,113500,115300,183187,0.00610820244328103
2015-11-20,115000,116800,114700,115500,181302,0.0017346053772766545
2015-11-23,115700,116000,113800,114100,237807,-0.012121212121212088
2015-11-24,113700,113900,112000,112800,330568,-0.011393514460999121
2015-11-25,113400,113600,111900,112100,242353,-0.006205673758865271
2015-11-26,112300,113200,112000,112300,192558,0.001784121320249854
2015-11-27,113200,117500,112900,116100,578210,0.03383793410507563
2015-11-30,126500,131000,119400,120600,2931459,0.03875968992248069
2015-12-01,120800,121700,118300,119400,631065,-0.00995024875621886
2015-12-02,121400,123600,119800,119800,602515,0.003350083752093891
