Date,Open,High,Low,Close,Volume,Change
2015-01-02,96730,99460,95657,98485,39554,0.013032565985722888
2015-01-05,97997,97997,96242,97218,52659,-0.012864903284764195
2015-01-06,96437,99460,96047,97315,49019,0.0009977576169022395
2015-01-07,96730,99948,94097,96828,91381,-0.005004367260956655
2015-01-08,97510,97510,96340,97315,30393,0.005029536910810872
2015-01-09,97510,97510,96437,96925,41718,-0.0040076041720187305
2015-01-12,97412,101898,97412,101898,74697,0.05130771214856855
2015-01-13,101898,103361,100435,100923,47298,-0.009568391921333075
2015-01-14,102385,104823,100923,101898,51926,0.009660830534169662
2015-01-15,102873,107261,102385,107261,76339,0.052631062434983944
2015-01-16,107261,111649,106286,111649,127086,0.04090955706174659
2015-01-19,110186,111649,108236,111649,46709,0.0
2015-01-20,111649,112136,107261,107749,71689,-0.0349308995154457
2015-01-21,107748,110186,105311,105311,53864,-0.022626660108214458
2015-01-22,105311,106773,97510,98485,150239,-0.06481754042787558
2015-01-23,99460,99948,97315,98973,134273,0.004955069299893422
2015-01-26,98973,105311,98485,103849,99150,0.04926596142382267
2015-01-27,104336,105798,98973,98973,80775,-0.04695278721990581
2015-01-28,99460,106286,98485,105311,97458,0.0640376668384306
2015-01-29,104336,106286,101898,105311,67307,0.0
2015-01-30,106286,109699,103360,106286,110638,0.009258292106237631
2015-02-02,106286,109211,103848,109212,74155,0.027529495888451994
2015-02-03,109699,111649,106773,111649,103004,0.02231439768523602
2015-02-04,111649,119937,110186,115550,149872,0.034939856156347204
2015-02-05,116524,118962,114087,116037,106248,0.004214625703158781
2015-02-06,116037,119937,114574,114575,101680,-0.012599429492317071
2015-02-09,116037,117012,111649,112137,119185,-0.02127863844643252
2015-02-10,111649,114574,107748,109699,131115,-0.021741262919464543
2015-02-11,109699,115062,108236,114575,128162,0.04444890108387489
2015-02-12,114574,116037,113112,115062,75351,0.004250490944796015
2015-02-13,115062,115549,111161,113112,56548,-0.016947384888147288
2015-02-16,112624,113599,109699,110187,73124,-0.025859325270528366
2015-02-17,110674,116037,110186,115062,182117,0.04424296877127065
2015-02-23,116037,128713,115062,126276,267674,0.09746049955676073
2015-02-24,126763,129688,124813,126763,143286,0.0038566315055910128
2015-02-25,127251,130176,125788,126763,88955,0.0
2015-02-26,128226,128713,121887,123351,125435,-0.02691637149641457
2015-02-27,122863,126763,121887,126276,75885,0.02371281951504245
2015-03-02,124813,126763,119937,123838,103939,-0.01930691501156201
2015-03-03,124813,124813,122863,124813,34660,0.007873189166491601
2015-03-04,123838,127251,120425,125301,85348,0.00390984913430481
2015-03-05,124325,127738,121887,123351,50641,-0.01556252543874348
2015-03-06,123838,125788,121887,125788,33992,0.019756629455780716
2015-03-09,123350,124813,119450,121400,51739,-0.03488409069227594
2015-03-10,121400,123350,120912,122376,45481,0.008039538714991856
2015-03-11,120425,121887,118475,120425,37106,-0.015942668497090917
2015-03-12,120425,121887,118962,120913,19599,0.004052314718704597
2015-03-13,120912,124813,118962,122863,36980,0.016127298139984925
2015-03-16,122863,132126,122863,132127,170313,0.07540105646126172
2015-03-17,132126,136026,125788,128226,129941,-0.029524624035965452
2015-03-18,128226,129201,125788,126276,58233,-0.015207524215057777
2015-03-19,127738,130663,124325,130176,68322,0.03088472868953729
2015-03-20,129688,130663,127251,127251,53541,-0.0224695796460177
2015-03-23,127251,129201,124813,126763,34740,-0.003834940393395714
2015-03-24,126275,128226,123838,126276,39693,-0.0038418150406663854
2015-03-25,126763,131639,126275,130176,68318,0.03088472868953729
2015-03-26,129688,131639,127738,130664,80544,0.0037487708947885334
2015-03-27,129688,130663,125788,125788,66218,-0.037317088103838825
2015-03-30,126763,129688,126275,129201,39077,0.0271329538588736
2015-03-31,130663,133101,129201,133102,54137,0.03019326475801276
2015-04-01,132614,145778,131639,139927,177584,0.05127646466619584
2015-04-02,141877,144315,133101,135539,98319,-0.03135920873026654
2015-04-03,135539,138464,135051,136027,35842,0.003600439725835347
2015-04-06,138464,138952,132126,133589,42864,-0.01792291236298671
2015-04-07,134564,135051,131639,132127,57417,-0.010944014851522188
