Date,Open,High,Low,Close,Volume,Change
2015-01-02,137545,139477,136000,137545,13669,0.0
2015-01-05,138318,138704,136772,137545,16856,0.0
2015-01-06,136000,136772,132909,133682,22080,-0.028085353884183317
2015-01-07,132136,139090,132136,139091,31178,0.04046169267365829
2015-01-08,140250,140636,134840,135614,23428,-0.024998022877109283
2015-01-09,135613,137545,134454,136000,17411,0.002846313802409739
2015-01-12,134840,142568,134840,138318,62944,0.01704411764705882
2015-01-13,138318,140250,137159,138318,34337,0.0
2015-01-14,139477,140249,134840,135227,29529,-0.02234705533625414
2015-01-15,134454,137931,134454,136000,20945,0.005716314049708959
2015-01-16,135613,136772,134068,136000,17482,0.0
2015-01-19,139477,140636,136386,137159,34869,0.008522058823529521
2015-01-20,138318,139863,136000,137159,19094,0.0
2015-01-21,137931,139090,135613,135614,25372,-0.011264299098126984
2015-01-22,136772,137931,133681,133682,26910,-0.014246316751957755
2015-01-23,135613,136386,132136,132909,29973,-0.0057823790787091545
2015-01-26,132909,134454,129818,129818,40443,-0.023256513855344663
2015-01-27,130590,131363,124795,125955,75892,-0.02975704447765337
2015-01-28,125954,136772,124022,135227,65887,0.07361359215592866
2015-01-29,136386,140636,133295,136000,47912,0.005716314049708959
2015-01-30,136772,140636,133681,140636,54095,0.03408823529411764
2015-02-02,136000,137931,134454,136000,40700,-0.032964532552120396
2015-02-03,134454,139863,133681,139091,40705,0.02272794117647048
2015-02-04,140636,141795,137931,137932,36179,-0.008332674292369724
2015-02-05,136772,137931,132909,137932,49789,0.0
2015-02-06,137931,141795,137159,139864,39995,0.014006901951686412
2015-02-09,141409,141409,139090,139864,21264,0.0
2015-02-10,140636,141795,136386,139864,22326,0.0
2015-02-11,140636,147590,137545,147591,59919,0.05524652519590467
2015-02-12,148363,148363,142568,142955,21111,-0.03141112940490953
2015-02-13,144500,144500,138704,142955,24474,0.0
2015-02-16,144113,144113,141022,142955,13035,0.0
2015-02-17,142954,142954,139863,141409,9970,-0.010814592004476986
2015-02-23,139863,143340,139090,143341,26636,0.013662496729345275
2015-02-24,143727,144886,142181,143341,14799,0.0
2015-02-25,146045,147204,144500,144886,21602,0.010778493243384757
2015-02-26,146818,148363,146045,147591,37299,0.018669850779233332
2015-02-27,148363,148750,147204,148750,23853,0.007852782351227328
2015-03-02,147977,152227,147204,151841,36930,0.02077983193277322
2015-03-03,154545,155704,150681,150682,30055,-0.007632984503526674
2015-03-04,150681,152613,148363,151455,23499,0.005130008892900273
2015-03-05,151840,154159,148363,149523,25851,-0.012756264236902015
2015-03-06,150681,154545,147977,153000,47265,0.02325394755321919
2015-03-09,154931,158409,151454,153000,35217,0.0
2015-03-10,153000,154545,147977,148750,24145,-0.02777777777777779
2015-03-11,146818,153772,146431,151841,41597,0.02077983193277322
2015-03-12,151840,154545,150681,154545,23709,0.0178081018960623
