Date,Open,High,Low,Close,Volume,Change
2015-01-02,1146000,1164000,1142000,1163000,280,0.006055363321799234
2015-01-05,1150000,1173000,1141000,1169000,499,0.005159071367153878
2015-01-06,1156000,1174000,1115000,1134000,737,-0.029940119760479056
2015-01-07,1121000,1136000,1121000,1133000,424,-0.0008818342151675207
2015-01-08,1118000,1138000,1118000,1134000,414,0.0008826125330980705
2015-01-09,1130000,1145000,1124000,1140000,324,0.005291005291005346
2015-01-12,1128000,1141000,1127000,1141000,419,0.0008771929824560321
2015-01-13,1134000,1138000,1126000,1138000,448,-0.002629272567922891
2015-01-14,1131000,1141000,1126000,1141000,360,0.002636203866432263
2015-01-15,1141000,1141000,1124000,1138000,385,-0.002629272567922891
2015-01-16,1138000,1138000,1125000,1133000,304,-0.004393673110720586
2015-01-19,1135000,1138000,1126000,1127000,261,-0.005295675198587868
2015-01-20,1143000,1143000,1117000,1141000,339,0.012422360248447228
2015-01-21,1145000,1145000,1124000,1128000,523,-0.011393514460999121
2015-01-22,1135000,1142000,1126000,1142000,493,0.012411347517730542
2015-01-23,1136000,1149000,1123000,1125000,652,-0.01488616462346759
2015-01-26,1122000,1131000,1112000,1125000,635,0.0
2015-01-27,1120000,1130000,1111000,1114000,616,-0.009777777777777774
2015-01-28,1122000,1131000,1103000,1127000,697,0.011669658886894085
2015-01-29,1118000,1120000,1109000,1110000,622,-0.015084294587400127
2015-01-30,1116000,1129000,1109000,1128000,502,0.016216216216216273
2015-02-02,1118000,1133000,1118000,1129000,114,0.0008865248226950229
2015-02-03,1122000,1135000,1120000,1122000,253,-0.00620017714791854
2015-02-04,1119000,1131000,1116000,1128000,511,0.005347593582887722
2015-02-05,1117000,1133000,1108000,1115000,661,-0.011524822695035408
2015-02-06,1116000,1116000,1104000,1107000,508,-0.007174887892376636
2015-02-09,1105000,1118000,1103000,1110000,476,0.0027100271002709064
2015-02-10,1116000,1117000,1104000,1115000,339,0.0045045045045044585
2015-02-11,1116000,1122000,1108000,1113000,164,-0.0017937219730941312
2015-02-12,1122000,1122000,1111000,1111000,89,-0.0017969451931716396
2015-02-13,1114000,1117000,1107000,1116000,215,0.004500450045004545
2015-02-16,1115000,1123000,1108000,1120000,182,0.0035842293906809264
2015-02-17,1110000,1127000,1107000,1127000,199,0.006250000000000089
2015-02-23,1118000,1141000,1118000,1137000,298,0.008873114463176623
2015-02-24,1135000,1145000,1127000,1141000,196,0.0035180299032542273
2015-02-25,1131000,1163000,1131000,1154000,539,0.011393514460999121
2015-02-26,1157000,1174000,1154000,1170000,367,0.013864818024263537
2015-02-27,1161000,1185000,1161000,1165000,396,-0.004273504273504258
2015-03-02,1165000,1179000,1160000,1170000,314,0.0042918454935623185
2015-03-03,1164000,1178000,1162000,1167000,378,-0.002564102564102555
2015-03-04,1162000,1178000,1153000,1156000,355,-0.009425878320479808
2015-03-05,1158000,1172000,1158000,1163000,128,0.006055363321799234
2015-03-06,1158000,1175000,1158000,1162000,436,-0.0008598452278589797
2015-03-09,1160000,1169000,1146000,1161000,345,-0.000860585197934638
2015-03-10,1154000,1158000,1146000,1152000,189,-0.007751937984496138
2015-03-11,1152000,1152000,1127000,1139000,502,-0.01128472222222221
2015-03-12,1134000,1147000,1115000,1125000,1069,-0.012291483757682187
2015-03-13,1121000,1144000,1118000,1130000,1432,0.004444444444444473
2015-03-16,1122000,1138000,1122000,1129000,248,-0.0008849557522123686
2015-03-17,1124000,1143000,1123000,1141000,519,0.010628875110717528
2015-03-18,1149000,1166000,1141000,1161000,460,0.01752848378615246
2015-03-19,1151000,1172000,1151000,1170000,381,0.007751937984496138
2015-03-20,1179000,1179000,1134000,1151000,556,-0.016239316239316293
2015-03-23,1143000,1165000,1137000,1157000,389,0.005212858384013863
2015-03-24,1147000,1172000,1147000,1166000,232,0.007778738115816752
2015-03-25,1159000,1177000,1157000,1170000,368,0.0034305317324185847
2015-03-26,1152000,1174000,1152000,1170000,566,0.0
2015-03-27,1159000,1177000,1159000,1177000,302,0.005982905982905962
2015-03-30,1183000,1204000,1173000,1199000,633,0.01869158878504673
2015-03-31,1199000,1207000,1183000,1203000,453,0.0033361134278564464
2015-04-01,1203000,1208000,1190000,1204000,401,0.0008312551953448821
2015-04-02,1208000,1218000,1193000,1218000,355,0.011627906976744207
2015-04-03,1199000,1223000,1199000,1218000,361,0.0
2015-04-06,1218000,1218000,1195000,1206000,241,-0.009852216748768461
2015-04-07,1201000,1212000,1196000,1207000,442,0.0008291873963515162
