Date,Open,High,Low,Close,Volume,Change
2015-01-02,13450,13450,12950,13300,100172,-0.014814814814814836
2015-01-05,13100,13150,12500,12850,139511,-0.03383458646616544
2015-01-06,12800,13050,12500,12600,138696,-0.01945525291828798
2015-01-07,12750,12800,12450,12650,106377,0.003968253968253954
2015-01-08,12650,13850,12500,13400,290154,0.059288537549407216
2015-01-09,13400,14200,13400,14050,242695,0.04850746268656714
2015-01-12,13950,14200,13650,13800,84815,-0.017793594306049876
2015-01-13,13600,14150,13600,13750,73883,-0.0036231884057971175
2015-01-14,13750,14050,13500,13750,40021,0.0
2015-01-15,13600,13850,13600,13750,33012,0.0
2015-01-16,13700,13750,13100,13500,89654,-0.018181818181818188
2015-01-19,13600,13700,13000,13050,86560,-0.033333333333333326
2015-01-20,13200,13250,12800,13100,76092,0.003831417624521105
2015-01-21,13000,13600,12850,13600,119670,0.03816793893129766
2015-01-22,13500,13700,13150,13500,136086,-0.007352941176470562
2015-01-23,13750,13750,13200,13200,76088,-0.022222222222222254
2015-01-26,13250,13300,12550,12600,231086,-0.045454545454545414
2015-01-27,12700,12700,11900,12500,266089,-0.007936507936507908
2015-01-28,12350,12800,12050,12300,208401,-0.016000000000000014
2015-01-29,12300,12850,12150,12500,285992,0.016260162601626105
2015-01-30,12700,13600,12550,13300,330342,0.06400000000000006
2015-02-02,13500,13650,13050,13350,112278,0.003759398496240518
2015-02-03,13550,14100,13500,13850,394592,0.03745318352059934
2015-02-04,13900,14400,13750,14100,328303,0.018050541516245522
2015-02-05,14100,14350,13800,14200,137418,0.007092198581560183
2015-02-06,14000,14500,13900,14500,142886,0.021126760563380254
2015-02-09,14550,14600,14300,14600,175559,0.006896551724137945
2015-02-10,14600,14600,14050,14350,97707,-0.017123287671232834
2015-02-11,14350,14550,14200,14300,96087,-0.0034843205574912606
2015-02-12,14150,14900,14100,14850,167005,0.03846153846153855
2015-02-13,14850,14850,14200,14450,174686,-0.026936026936026924
2015-02-16,14250,14450,13950,14450,90934,0.0
2015-02-17,14400,14600,14000,14600,100471,0.01038062283737018
2015-02-23,14600,14700,14250,14500,74635,-0.006849315068493178
2015-02-24,14350,14350,14000,14150,109937,-0.024137931034482807
2015-02-25,14100,14200,13950,14150,97450,0.0
2015-02-26,14100,14200,13700,14000,117640,-0.010600706713780883
2015-02-27,14000,14100,13550,13850,132145,-0.010714285714285676
2015-03-02,13800,13900,13500,13650,93878,-0.014440433212996373
2015-03-03,13600,14100,13600,13700,90117,0.00366300366300365
2015-03-04,13900,13900,13550,13700,82531,0.0
2015-03-05,13750,13900,13550,13850,53744,0.010948905109489093
2015-03-06,13850,13850,13400,13450,125083,-0.028880866425992746
2015-03-09,13500,13500,12950,13100,107490,-0.026022304832713727
2015-03-10,13200,13250,13000,13250,52568,0.011450381679389388
2015-03-11,13200,13750,12950,13400,102256,0.01132075471698113
2015-03-12,13400,13550,13200,13350,70049,-0.003731343283582045
2015-03-13,13200,13500,13000,13200,202830,-0.011235955056179803
2015-03-16,13200,13950,13150,13900,105281,0.05303030303030298
2015-03-17,13900,14000,13550,13650,82733,-0.017985611510791366
2015-03-18,13650,13850,13500,13700,79880,0.00366300366300365
2015-03-19,13750,13750,13300,13600,80139,-0.007299270072992692
2015-03-20,13600,13650,13250,13450,126657,-0.011029411764705843
2015-03-23,13400,13650,13300,13450,53198,0.0
2015-03-24,13100,13700,12450,13600,323601,0.011152416356877248
2015-03-25,13600,13650,13000,13000,168691,-0.044117647058823484
2015-03-26,12950,13100,12750,12750,107225,-0.019230769230769273
2015-03-27,12800,13150,12700,13100,110682,0.027450980392156765
2015-03-30,13000,13050,12750,12750,103781,-0.026717557251908386
2015-03-31,12650,13000,12600,12900,64391,0.0117647058823529
2015-04-01,12900,13350,12550,13200,117836,0.023255813953488413
2015-04-02,13200,13350,13050,13300,50522,0.007575757575757569
2015-04-03,13200,13350,12900,13000,59374,-0.022556390977443663
2015-04-06,13000,13050,12700,12950,93530,-0.0038461538461538325
2015-04-07,13000,13000,12500,12800,70628,-0.01158301158301156
2015-04-08,13050,14700,13050,14700,660754,0.1484375
2015-04-09,14700,15050,14300,14700,338011,0.0
2015-04-10,14750,15200,14400,14750,196446,0.00340136054421758
2015-04-13,14900,15000,13700,13900,282048,-0.057627118644067776
2015-04-14,13800,14450,13800,14250,575581,0.02517985611510798
2015-04-15,14650,15150,14150,14450,403045,0.01403508771929829
2015-04-16,14500,14550,14000,14250,168368,-0.01384083044982698
2015-04-17,14250,15000,14150,15000,246627,0.05263157894736836
2015-04-20,15100,15250,14750,14900,162171,-0.00666666666666671
2015-04-21,14900,15050,14500,15000,142542,0.006711409395973256
2015-04-22,15000,15450,13750,14750,256825,-0.01666666666666672
2015-04-23,14850,15000,14100,14900,169803,0.01016949152542379
2015-04-24,15100,15450,14450,14750,155237,-0.010067114093959773
2015-04-27,14650,15000,14550,14950,149426,0.013559322033898313
2015-04-28,14800,15450,14650,15300,205393,0.02341137123745818
2015-04-29,15500,15500,14500,15000,392413,-0.019607843137254943
2015-04-30,14850,14900,13950,14200,1788215,-0.053333333333333344
2015-05-04,14300,14400,13900,14000,255402,-0.014084507042253502
2015-05-06,13700,14050,13250,13900,358891,-0.0071428571428571175
2015-05-07,13500,14150,13150,13800,307321,-0.007194244604316502
2015-05-08,14050,14300,13800,14000,233244,0.01449275362318847
2015-05-11,14050,14700,14050,14600,217004,0.04285714285714293
2015-05-12,14550,14650,14100,14350,236315,-0.017123287671232834
2015-05-13,14200,14300,13800,14000,261147,-0.024390243902439046
2015-05-14,14000,14250,13800,14000,130542,0.0
2015-05-15,14150,14550,14000,14550,148571,0.03928571428571437
2015-05-18,14650,14800,14250,14750,180687,0.013745704467353903
2015-05-19,14750,15650,14600,15550,538063,0.05423728813559325
2015-05-20,15650,17750,15650,16800,655504,0.08038585209003224
2015-05-21,16950,18100,16450,17800,472637,0.059523809523809534
2015-05-22,17850,18900,17500,17700,499267,-0.005617977528089901
2015-05-26,18000,18400,17600,18050,284087,0.019774011299435124
2015-05-27,17900,19300,17650,18500,451951,0.024930747922437657
2015-05-28,18500,19100,18300,18550,364649,0.002702702702702675
2015-05-29,18350,18700,17950,18400,259569,-0.008086253369272267
2015-06-01,18350,18950,18150,18450,128694,0.0027173913043478937
2015-06-02,18300,19100,18050,18500,242054,0.0027100271002709064
2015-06-03,18250,18350,17450,18300,324307,-0.010810810810810811
2015-06-04,18050,18450,17600,18200,373649,-0.005464480874316946
2015-06-05,18300,18350,17400,17400,170868,-0.04395604395604391
2015-06-08,17400,17850,17250,17600,188930,0.011494252873563315
2015-06-09,17750,17800,17450,17650,72796,0.0028409090909091717
2015-06-10,17750,17950,17150,17750,159087,0.0056657223796034994
2015-06-11,17800,18600,17450,17850,522522,0.005633802816901401
2015-06-12,18050,19100,17800,18300,266839,0.025210084033613356
2015-06-15,18150,18200,17550,17750,163046,-0.030054644808743203
2015-06-16,17500,17900,17050,17600,97744,-0.008450704225352101
2015-06-17,17500,18150,17050,17400,103241,-0.011363636363636354
2015-06-18,17250,18050,17050,17800,90915,0.02298850574712641
2015-06-19,17850,17850,17250,17700,86806,-0.005617977528089901
2015-06-22,17700,18950,17500,18300,382415,0.03389830508474567
2015-06-23,18300,18400,17800,18350,129183,0.002732240437158362
2015-06-24,18200,19000,18100,18850,181113,0.027247956403269713
2015-06-25,18850,19650,18150,19200,227728,0.018567639257294433
2015-06-26,19200,20450,18800,19800,185553,0.03125
2015-06-29,19200,19400,18450,18900,248837,-0.045454545454545414
2015-06-30,18750,19300,18300,19250,198912,0.0185185185185186
2015-07-01,19000,19050,17950,18000,393101,-0.06493506493506496
2015-07-02,18100,18100,17050,17350,382093,-0.036111111111111094
2015-07-03,17100,17850,17050,17850,208786,0.028818443804034644
2015-07-06,17750,17750,16900,17250,140270,-0.03361344537815125
2015-07-07,17250,17400,16800,17250,199748,0.0
2015-07-08,17700,17700,16650,16800,91020,-0.02608695652173909
2015-07-09,16850,17250,16300,17250,121462,0.02678571428571419
2015-07-10,17200,18150,16900,18100,188576,0.049275362318840665
2015-07-13,18200,18450,17300,18350,140186,0.013812154696132506
2015-07-14,18200,18850,17950,18650,124390,0.016348773841961872
2015-07-15,18650,19500,18550,19100,146593,0.024128686327077764
