Date,Open,High,Low,Close,Volume,Change
2015-01-02,3915,3967,3855,3945,1808622,0.0094677584442171
2015-01-05,3990,4020,3907,4020,1885008,0.019011406844106515
2015-01-06,4020,4095,3945,3975,2210459,-0.011194029850746245
2015-01-07,4027,4050,3952,3968,2192618,-0.001761006289308198
2015-01-08,3967,3982,3900,3915,1530708,-0.01335685483870963
2015-01-09,3960,4095,3915,3968,3328796,0.013537675606641209
2015-01-12,3990,3990,3922,3945,1832371,-0.005796370967741882
2015-01-13,3945,4230,3922,4088,8641143,0.03624841571609627
2015-01-14,4110,4177,4020,4110,2212661,0.005381604696673259
2015-01-15,4140,4140,4042,4058,1882621,-0.012652068126520644
2015-01-16,4042,4050,3900,3915,3235715,-0.03523903400689998
2015-01-19,3952,3960,3907,3915,1642945,0.0
2015-01-20,3907,3930,3682,3803,3348073,-0.028607918263090726
2015-01-21,3795,3877,3757,3780,1852794,-0.006047856955035513
2015-01-22,3772,4035,3750,3900,4149324,0.031746031746031855
2015-01-23,3855,3922,3817,3825,1675488,-0.019230769230769273
2015-01-26,3795,3825,3750,3758,1589250,-0.017516339869281028
2015-01-27,3757,3795,3742,3773,1207986,0.003991484832357672
2015-01-28,3772,3832,3750,3810,1602954,0.009806520010601671
2015-01-29,3810,3870,3772,3833,1235192,0.0060367454068241955
2015-01-30,3862,3930,3810,3870,1443394,0.009653013305504832
2015-02-02,3892,4057,3847,3960,3322363,0.023255813953488413
2015-02-03,4027,4042,3915,3945,1576008,-0.0037878787878787845
2015-02-04,3915,3960,3855,3915,2490055,-0.0076045627376425395
2015-02-05,3937,3937,3802,3818,2308670,-0.02477650063856962
2015-02-06,3765,3982,3765,3915,6509341,0.02540597171293868
2015-02-09,3960,4020,3892,3930,3710874,0.003831417624521105
2015-02-10,3952,3952,3817,3840,2380941,-0.022900763358778664
2015-02-11,3855,3907,3810,3900,1738188,0.015625
2015-02-12,3952,4125,3877,3975,7055899,0.019230769230769162
2015-02-13,4072,4567,3997,4568,20475390,0.14918238993710697
2015-02-16,4845,4905,4582,4650,17322572,0.01795096322241685
2015-02-17,4732,4777,4485,4725,7328669,0.016129032258064502
2015-02-23,4725,5355,4665,5250,16859226,0.11111111111111116
2015-02-24,5250,5317,5032,5310,8527144,0.011428571428571344
2015-02-25,5250,5294,5174,5213,3445012,-0.018267419962335163
2015-02-26,5250,5580,5220,5438,7256082,0.04316132745060419
2015-02-27,5437,5445,5310,5445,3650792,0.0012872379551305269
