Date,Open,High,Low,Close,Volume,Change
2015-01-02,47600,48900,47500,48100,65582,-0.008247422680412342
2015-01-05,47300,48950,46550,47500,113359,-0.012474012474012475
2015-01-06,46850,47800,46800,47250,54385,-0.0052631578947368585
2015-01-07,46950,47400,46350,46600,56152,-0.013756613756613745
2015-01-08,46200,47600,46200,47250,89812,0.013948497854077146
2015-01-09,48000,50800,47800,50300,184755,0.06455026455026447
2015-01-12,49500,49900,48150,48150,111678,-0.04274353876739567
2015-01-13,48550,48900,47450,47750,103951,-0.00830737279335414
2015-01-14,47800,49650,47600,49200,136359,0.030366492146596924
2015-01-15,48600,49150,47700,48400,109464,-0.016260162601625994
2015-01-16,48650,48650,47100,47450,71978,-0.01962809917355368
2015-01-19,48200,49600,47900,48900,100313,0.030558482613277205
2015-01-20,48900,49300,48500,48500,72951,-0.008179959100204526
2015-01-21,48600,49400,48500,49350,91776,0.017525773195876226
2015-01-22,49800,49800,48850,49500,98097,0.003039513677811634
2015-01-23,50800,52900,50400,52400,188387,0.05858585858585852
2015-01-26,51900,52400,50500,51200,163799,-0.022900763358778664
2015-01-27,51900,52900,51600,52800,99804,0.03125
2015-01-28,51800,53100,51800,52600,102463,-0.0037878787878787845
2015-01-29,52200,52500,50100,51700,134110,-0.017110266159695797
2015-01-30,51900,53000,51700,52000,181526,0.005802707930367523
2015-02-02,51100,52200,50700,51100,97247,-0.017307692307692357
2015-02-03,51500,51700,50700,50700,115143,-0.007827788649706457
2015-02-04,51300,52300,51000,52000,108585,0.02564102564102555
2015-02-05,51700,52300,50400,51500,112516,-0.009615384615384581
2015-02-06,51200,52600,51200,52600,118918,0.021359223300970953
2015-02-09,52200,52900,51700,51900,55257,-0.013307984790874472
2015-02-10,52400,52600,51200,52200,78585,0.005780346820809301
2015-02-11,52600,52900,51500,52100,78096,-0.0019157088122605526
2015-02-12,52800,53500,51600,53500,96990,0.026871401151631558
2015-02-13,53500,53900,51700,52800,124232,-0.013084112149532756
2015-02-16,52300,52900,51900,52500,67823,-0.005681818181818232
2015-02-17,52000,52500,51400,51700,124891,-0.015238095238095273
2015-02-23,51400,52500,50700,52300,106043,0.011605415860735047
2015-02-24,51700,52000,51300,51700,81132,-0.01147227533460804
2015-02-25,52000,54900,51600,53700,144593,0.03868471953578334
2015-02-26,54300,54600,53000,53300,85194,-0.007448789571694592
2015-02-27,52900,54900,52900,54600,134100,0.024390243902439046
2015-03-02,54100,54600,52800,52800,128016,-0.03296703296703296
2015-03-03,52600,53300,51900,52800,88573,0.0
2015-03-04,52600,53400,52100,52100,106094,-0.013257575757575801
2015-03-05,51600,52400,51200,51200,98070,-0.017274472168905985
2015-03-06,51300,53100,51300,52900,195047,0.033203125
2015-03-09,52200,53100,51900,52500,141389,-0.007561436672967825
2015-03-10,52300,53200,52300,52600,129444,0.0019047619047618536
2015-03-11,51300,52000,50100,51000,184929,-0.03041825095057038
2015-03-12,51000,52500,50800,51600,173630,0.0117647058823529
2015-03-13,52200,52600,51800,52200,63920,0.011627906976744207
2015-03-16,52400,52400,51000,51300,83323,-0.017241379310344862
2015-03-17,51700,55500,51600,55500,214762,0.08187134502923987
2015-03-18,56600,56700,54700,55700,177910,0.003603603603603567
2015-03-19,56800,57800,55700,56300,150993,0.010771992818671361
2015-03-20,56400,56700,54800,55700,131979,-0.010657193605683846
2015-03-23,56200,59100,56000,57900,256477,0.039497307001795434
2015-03-24,58300,58500,57400,58000,240490,0.0017271157167531026
2015-03-25,57500,59400,57300,59300,165491,0.022413793103448265
2015-03-26,59000,59500,57500,58100,144395,-0.0202360876897133
2015-03-27,57900,59400,57900,58700,106597,0.010327022375215211
2015-03-30,58700,62400,58500,61900,196134,0.054514480408858645
2015-03-31,62000,65000,61100,62900,201326,0.016155088852988664
2015-04-01,62100,63300,61500,62200,113443,-0.011128775834658211
2015-04-02,61800,63200,61300,62200,93015,0.0
2015-04-03,63000,65800,62300,65700,112339,0.0562700964630225
2015-04-06,68100,68100,64600,65400,118939,-0.004566210045662156
2015-04-07,65400,67000,64100,64900,166143,-0.007645259938837912
2015-04-08,64800,68200,64300,67400,189490,0.03852080123266566
2015-04-09,67300,67800,65100,67000,275130,-0.005934718100890191
2015-04-10,66600,72000,66600,71600,227507,0.06865671641791038
2015-04-13,71900,74000,70500,72000,241748,0.005586592178770999
2015-04-14,71900,72300,69700,71500,246519,-0.00694444444444442
2015-04-15,70700,72200,69800,71700,399364,0.002797202797202747
2015-04-16,71100,71800,69100,71000,258870,-0.009762900976290068
2015-04-17,70000,71800,69700,71500,178750,0.007042253521126751
2015-04-20,69900,71100,69200,70500,151921,-0.013986013986013957
2015-04-21,71500,71600,70200,70800,161438,0.004255319148936065
2015-04-22,70900,74300,69800,71500,285734,0.009887005649717562
2015-04-23,71700,73600,70400,73200,203083,0.023776223776223793
2015-04-24,73000,73900,68800,70600,233998,-0.03551912568306015
2015-04-27,69900,71900,69800,70200,129802,-0.005665722379603388
2015-04-28,70200,72600,70200,71700,138260,0.02136752136752129
2015-04-29,72500,72700,69000,69700,173354,-0.02789400278940024
2015-04-30,69800,70300,67800,69000,170838,-0.010043041606886627
2015-05-04,69800,69800,67100,67400,168586,-0.023188405797101463
2015-05-06,66700,66900,63000,65300,257288,-0.03115727002967361
2015-05-07,64300,65800,63300,64900,99894,-0.006125574272588086
2015-05-08,65200,66200,64000,65100,121272,0.0030816640986133237
2015-05-11,66900,67500,65900,66200,204591,0.016897081413210335
2015-05-12,65800,66700,64900,65500,79384,-0.010574018126888185
2015-05-13,64800,67600,64800,65900,104070,0.006106870229007688
2015-05-14,65100,66900,65100,66200,72955,0.004552352048558417
2015-05-15,66900,67200,63600,64400,112958,-0.027190332326283984
2015-05-18,64400,66400,64400,66200,134347,0.02795031055900621
2015-05-19,65600,67000,65000,65500,110354,-0.010574018126888185
2015-05-20,65200,68100,65200,68100,155610,0.03969465648854964
2015-05-21,67800,68200,66200,66400,73829,-0.02496328928046987
2015-05-22,66600,69700,66600,69600,133198,0.04819277108433728
2015-05-26,68600,69600,66900,67400,134428,-0.031609195402298895
2015-05-27,65800,67200,63500,64500,142229,-0.04302670623145399
2015-05-28,64500,67400,64500,67000,119816,0.03875968992248069
2015-05-29,65500,67800,65400,66400,149093,-0.008955223880596996
2015-06-01,64700,66100,63100,65000,139304,-0.02108433734939763
2015-06-02,64600,66500,63100,63500,151692,-0.023076923076923106
2015-06-03,63500,65200,63200,64400,108683,0.014173228346456623
2015-06-04,64400,65300,63200,65000,133154,0.009316770186335477
2015-06-05,64300,65500,63700,65200,121973,0.003076923076922977
2015-06-08,64000,67500,63800,67200,98279,0.030674846625766916
2015-06-09,67200,67300,65600,67000,94655,-0.0029761904761904656
2015-06-10,67600,68000,64800,64800,134895,-0.032835820895522394
2015-06-11,65700,66200,62700,65100,183742,0.004629629629629539
2015-06-12,65100,65800,62200,63300,112164,-0.027649769585253448
2015-06-15,62900,64600,61300,61900,79235,-0.02211690363349128
2015-06-16,61400,62500,59600,60500,134357,-0.022617124394184174
2015-06-17,60900,61500,59600,61400,117943,0.014876033057851235
2015-06-18,61600,62000,60100,61700,134337,0.004885993485342022
2015-06-19,62400,64600,62100,62800,126152,0.017828200972447306
2015-06-22,62800,63900,62500,63600,67970,0.01273885350318471
2015-06-23,64100,68600,63700,64900,218526,0.020440251572326984
2015-06-24,65400,65400,63700,63800,103199,-0.016949152542372836
2015-06-25,63500,66700,63500,65500,172648,0.026645768025078453
2015-06-26,65900,67400,65000,66600,122080,0.016793893129771087
2015-06-29,65300,65700,63200,63300,103190,-0.0495495495495496
2015-06-30,63000,64300,61800,63700,156001,0.006319115323854652
2015-07-01,63100,64600,62500,64100,84107,0.006279434850863463
2015-07-02,64000,64500,62100,62400,148430,-0.026521060842433664
2015-07-03,62400,63900,62000,63700,65926,0.02083333333333326
2015-07-06,62200,62700,59300,61200,159352,-0.039246467817896424
2015-07-07,61300,62000,59400,60200,173256,-0.016339869281045805
2015-07-08,60600,61100,58500,59600,156448,-0.009966777408637828
2015-07-09,59300,61700,57900,61500,152038,0.03187919463087252
2015-07-10,61200,61300,59600,61100,122825,-0.006504065040650375
2015-07-13,60600,63500,60400,63000,179273,0.03109656301145658
2015-07-14,63700,64900,63300,63900,199247,0.014285714285714235
2015-07-15,64000,66100,63100,63900,225465,0.0
2015-07-16,63500,65400,63400,65300,199177,0.021909233176838905
2015-07-17,66100,66600,65000,65500,193946,0.003062787136294043
2015-07-20,64700,66200,64500,64700,90823,-0.012213740458015265
2015-07-21,64700,65700,64300,65100,104035,0.0061823802163833985
2015-07-22,64300,65100,62300,63900,123172,-0.018433179723502335
2015-07-23,62900,64900,62400,64400,66595,0.00782472613458518
2015-07-24,64900,64900,62500,62500,74562,-0.029503105590062084
2015-07-27,61600,61800,60000,61100,115886,-0.022399999999999975
2015-07-28,61400,61400,58800,60200,142941,-0.014729950900163713
2015-07-29,60100,60800,59100,59500,104753,-0.011627906976744207
2015-07-30,59500,61500,59500,60700,195890,0.020168067226890685
2015-07-31,61200,62200,59800,62200,105717,0.02471169686985175
2015-08-03,62200,62500,60700,61800,64693,-0.006430868167202619
2015-08-04,62300,62400,61000,61800,85335,0.0
2015-08-05,61300,64200,61300,63800,205618,0.032362459546925626
2015-08-06,70000,74600,65300,67300,826828,0.054858934169278895
2015-08-07,67200,67300,64400,66200,251337,-0.01634472511144136
2015-08-10,66300,69200,66300,68000,204883,0.027190332326284095
2015-08-11,68200,68800,65200,65200,166491,-0.04117647058823526
2015-08-12,65100,65300,61600,63200,204347,-0.030674846625766916
2015-08-13,63200,65900,61800,64900,156105,0.02689873417721511
2015-08-17,66300,66300,64100,64600,69857,-0.0046224961479198745
2015-08-18,65500,66000,64600,65100,123480,0.007739938080495445
2015-08-19,66300,66300,63800,64100,139717,-0.015360983102918557
2015-08-20,64000,67000,63300,66700,230635,0.040561622464898583
2015-08-21,65900,65900,63600,64500,215358,-0.032983508245877036
2015-08-24,63500,63900,61100,63800,232005,-0.010852713178294615
2015-08-25,64100,66000,62200,65000,172107,0.018808777429467183
2015-08-26,65000,67700,63000,67300,172406,0.03538461538461535
2015-08-27,67300,68500,66200,67800,178617,0.007429420505200568
2015-08-28,67900,70800,67900,70100,166783,0.03392330383480835
2015-08-31,69100,71000,68200,69800,279230,-0.004279600570613384
2015-09-01,68700,69800,67600,68800,149117,-0.014326647564469885
2015-09-02,67500,68400,66000,67300,165101,-0.021802325581395388
2015-09-03,67000,67400,64700,65800,174319,-0.022288261515601815
2015-09-04,65100,66300,64100,64600,137946,-0.018237082066869248
2015-09-07,64600,65500,62200,62700,137676,-0.02941176470588236
2015-09-08,63400,63400,60100,60700,159048,-0.03189792663476876
2015-09-09,61400,63100,61300,62600,155996,0.0313014827018121
2015-09-10,61400,65100,60800,65100,228833,0.039936102236421744
2015-09-11,64000,65300,63100,63900,139425,-0.018433179723502335
2015-09-14,64100,64600,63200,64000,117079,0.0015649452269170805
2015-09-15,64000,64000,61600,62000,177782,-0.03125
2015-09-16,62600,63000,62000,62700,138681,0.011290322580645107
2015-09-17,63500,63500,62300,62400,127452,-0.004784688995215336
2015-09-18,62200,62800,60200,61000,320585,-0.022435897435897467
2015-09-21,60500,61600,60200,61200,78692,0.003278688524590123
2015-09-22,61300,61700,60700,60700,77813,-0.008169934640522847
2015-09-23,60100,60400,59300,59300,125320,-0.023064250411861664
2015-09-24,59700,60700,59600,60100,89815,0.013490725126475533
2015-09-25,60300,61300,59700,61200,82685,0.01830282861896837
2015-09-30,61000,61200,58900,61100,165400,-0.0016339869281045694
2015-10-01,60800,63900,60800,63100,203190,0.032733224222585955
2015-10-02,62700,62700,61000,61700,123117,-0.022187004754358197
2015-10-05,62100,62100,61100,61200,81578,-0.008103727714748765
2015-10-06,61800,62000,60900,61300,77631,0.0016339869281045694
2015-10-07,60800,61500,60600,61400,51942,0.0016313213703098572
2015-10-08,61600,61700,59200,60500,151794,-0.014657980456026065
2015-10-12,60500,62000,60500,61600,138474,0.018181818181818077
2015-10-13,61600,61900,60400,61000,77649,-0.009740259740259716
2015-10-14,60900,61000,59100,59100,100236,-0.031147540983606503
2015-10-15,59100,60800,58600,60400,106244,0.021996615905245376
2015-10-16,60600,61000,60100,60400,110781,0.0
2015-10-19,60400,61000,59900,60400,57857,0.0
2015-10-20,60600,62000,60200,62000,96945,0.026490066225165476
2015-10-21,61500,62400,61400,62000,86671,0.0
2015-10-22,61200,62200,60300,60600,74875,-0.022580645161290325
2015-10-23,61400,63400,60800,60900,141790,0.004950495049504955
2015-10-26,61800,63400,61700,63200,80612,0.03776683087027921
2015-10-27,63100,63100,61500,61900,72394,-0.020569620253164556
2015-10-28,62400,62500,60600,62100,50723,0.003231017770597644
2015-10-29,63400,63700,60600,60600,73043,-0.024154589371980673
2015-10-30,61200,61900,60500,61000,79967,0.0066006600660066805
2015-11-02,60500,60600,57200,58100,277408,-0.04754098360655734
2015-11-03,58200,59500,58200,59000,99318,0.015490533562822817
2015-11-04,58500,59900,58000,59600,87275,0.01016949152542379
2015-11-05,59400,59400,58000,58700,73745,-0.015100671140939603
2015-11-06,58500,58800,56500,57200,176608,-0.02555366269165249
2015-11-09,56900,57000,55700,56100,101919,-0.019230769230769273
2015-11-10,55800,55900,54400,55100,100974,-0.017825311942959
2015-11-11,54000,55800,54000,55300,95053,0.003629764065335772
2015-11-12,54800,55600,54100,55100,84733,-0.003616636528028905
2015-11-13,54100,55300,53700,54900,90635,-0.003629764065335772
2015-11-16,53700,54400,53100,53400,110266,-0.02732240437158473
2015-11-17,53500,54300,52800,53700,96992,0.00561797752808979
2015-11-18,53800,53900,52900,53500,90408,-0.003724394785847296
2015-11-19,54100,54600,53300,54200,72027,0.013084112149532645
2015-11-20,54400,54800,54000,54700,64831,0.009225092250922495
