Date,Open,High,Low,Close,Volume,Change
2015-01-02,66400,67700,65600,66500,10595,-0.014814814814814836
2015-01-05,66200,66500,64600,65600,16970,-0.013533834586466176
2015-01-06,65600,65800,62700,63400,21453,-0.03353658536585369
2015-01-07,62400,63000,59200,59700,47669,-0.05835962145110407
2015-01-08,59800,60600,59000,59900,18319,0.003350083752093891
2015-01-09,60200,60500,59600,59900,12995,0.0
2015-01-12,59900,61800,59700,60400,15824,0.008347245409014992
2015-01-13,61500,61500,60100,60700,15013,0.004966887417218624
2015-01-14,61200,62000,60700,61300,10272,0.009884678747940745
2015-01-15,60600,62600,60400,62100,11078,0.013050570962479524
2015-01-16,62100,62700,60500,61800,14130,-0.004830917874396157
2015-01-19,61900,62500,60500,61600,6236,-0.003236245954692518
2015-01-20,61500,67000,61500,66500,25073,0.07954545454545459
2015-01-21,66500,66700,63800,66000,19163,-0.007518796992481258
2015-01-22,66000,66400,64100,64900,12841,-0.01666666666666672
2015-01-23,65900,67500,64300,66100,16597,0.018489984591679498
2015-01-26,65300,66900,62700,64500,16005,-0.024205748865355536
2015-01-27,65200,65200,62100,62200,26468,-0.03565891472868221
2015-01-28,62800,65000,62400,64400,17413,0.03536977491961424
2015-01-29,64800,65000,62500,64200,24935,-0.0031055900621117516
2015-01-30,64200,65500,62900,64700,22142,0.007788161993769416
2015-02-02,65000,66500,62500,63700,26369,-0.015455950540958274
2015-02-03,64200,66300,62600,65700,30313,0.031397174254317095
2015-02-04,65700,67400,65000,65400,15503,-0.004566210045662156
2015-02-05,64700,66800,64200,65700,15896,0.004587155963302836
2015-02-06,64800,65900,63600,63600,13607,-0.03196347031963476
2015-02-09,63600,64300,62200,63100,12833,-0.00786163522012584
2015-02-10,63100,65500,62300,64700,15447,0.02535657686212356
2015-02-11,65800,66000,64100,65000,9650,0.004636785162287493
2015-02-12,65000,66200,64400,64400,13356,-0.009230769230769265
2015-02-13,64400,65800,63600,64100,9675,-0.004658385093167738
2015-02-16,63500,64500,62300,62500,16238,-0.0249609984399376
2015-02-17,62100,65100,62100,64600,13053,0.033600000000000074
2015-02-23,65700,65900,65000,65400,11656,0.01238390092879249
