Date,Open,High,Low,Close,Volume,Change
2015-01-02,42350,42950,42200,42700,637596,0.0
2015-01-05,42500,42650,41600,42000,1123739,-0.016393442622950838
2015-01-06,41500,42400,41400,41850,1290400,-0.0035714285714285587
2015-01-07,42100,43500,42050,43150,1336557,0.031063321385901954
2015-01-08,42800,43250,41700,41800,1481866,-0.03128621089223638
2015-01-09,41750,42450,41700,41750,1004930,-0.0011961722488038617
2015-01-12,41700,42250,41400,41750,835448,0.0
2015-01-13,41650,41700,40700,40850,1565927,-0.021556886227544925
2015-01-14,41050,41150,39400,40000,2093539,-0.020807833537331732
2015-01-15,39750,40350,39200,39850,1835262,-0.003750000000000031
2015-01-16,39750,40050,38750,39150,1631957,-0.017565872020075313
2015-01-19,39250,39950,39100,39300,916297,0.003831417624521105
2015-01-20,39850,42100,39850,41700,2571126,0.06106870229007644
2015-01-21,42000,42250,40850,41500,1556237,-0.004796163069544335
2015-01-22,41800,43250,41700,43250,2255375,0.04216867469879526
2015-01-23,43400,44150,42950,43150,1573831,-0.0023121387283236983
2015-01-26,43100,43100,42250,42700,722055,-0.010428736964078755
2015-01-27,42350,43550,41800,42150,2122124,-0.012880562060889944
2015-01-28,42200,43150,42050,42850,1076619,0.016607354685646447
2015-01-29,43300,43350,42600,42600,912348,-0.005834305717619559
2015-01-30,42750,43750,42700,43200,1055899,0.014084507042253502
2015-02-02,42900,43500,42450,43500,764851,0.00694444444444442
2015-02-03,43500,43700,41950,42300,1871123,-0.02758620689655178
2015-02-04,42450,43000,41850,42750,1166439,0.010638297872340496
2015-02-05,42750,43000,42100,42450,850392,-0.007017543859649145
2015-02-06,42150,43000,40800,41900,1634543,-0.012956419316843326
2015-02-09,41900,42700,41250,42050,1076028,0.0035799522673030104
2015-02-10,43150,43600,42550,42550,1332114,0.01189060642092743
2015-02-11,42650,44350,42300,43500,3230700,0.02232667450058745
2015-02-12,43500,45200,42950,44900,2286349,0.03218390804597693
2015-02-13,45200,46050,44700,45900,1636650,0.022271714922049046
2015-02-16,45700,45850,44750,45350,844579,-0.011982570806100212
2015-02-17,45650,45650,44400,44400,847265,-0.02094818081587657
2015-02-23,45350,45350,44600,45050,765852,0.014639639639639546
2015-02-24,45550,45600,44500,44550,872067,-0.011098779134295245
2015-02-25,45900,46100,45200,45550,1037223,0.022446689113355678
2015-02-26,46000,46100,44650,45900,1197203,0.007683863885839637
2015-02-27,46100,46200,44700,44700,1291977,-0.02614379084967322
2015-03-02,45300,45350,43950,44350,1238440,-0.007829977628635354
2015-03-03,44750,44800,43950,44600,1156725,0.005636978579481422
2015-03-04,45000,45450,44500,45250,1047516,0.014573991031390232
2015-03-05,45250,45250,43850,44400,1262426,-0.018784530386740328
2015-03-06,44900,44950,44250,44700,1059924,0.006756756756756799
2015-03-09,45350,45350,44000,44850,1102076,0.003355704697986628
2015-03-10,44850,45150,43950,43950,794206,-0.02006688963210701
2015-03-11,43250,43950,42700,43700,1594400,-0.005688282138794132
2015-03-12,43200,43500,42200,42200,1981753,-0.034324942791762014
2015-03-13,42400,43900,42350,43850,2171920,0.0390995260663507
2015-03-16,43400,43900,42550,43450,1414130,-0.009122006841505104
2015-03-17,43700,44600,43550,44500,1155692,0.024165707710011475
2015-03-18,44650,45500,44000,44750,1056660,0.00561797752808979
2015-03-19,44650,45800,44550,45600,1515759,0.018994413407821265
2015-03-20,45100,45950,44900,45150,896684,-0.009868421052631526
2015-03-23,45250,45450,44750,45200,486210,0.001107419712070845
2015-03-24,45400,45800,44800,45800,611052,0.01327433628318575
2015-03-25,45550,45950,45100,45500,554199,-0.0065502183406113135
2015-03-26,45000,46000,44950,45900,872739,0.00879120879120876
2015-03-27,45200,45450,44600,45000,1074061,-0.019607843137254943
2015-03-30,44900,46000,44750,45600,938777,0.01333333333333342
2015-03-31,45800,46200,44900,46000,798494,0.00877192982456143
2015-04-01,46000,46500,45600,45950,794505,-0.0010869565217391797
2015-04-02,45950,47000,45850,46300,867306,0.007616974972796564
2015-04-03,46600,46900,45900,46650,350372,0.0075593952483801186
2015-04-06,46700,46700,45700,45750,472390,-0.019292604501607746
2015-04-07,46250,46400,45050,45350,781736,-0.008743169398907069
2015-04-08,44850,45000,43600,43700,1948686,-0.03638368246968027
2015-04-09,44000,44400,43000,43100,1308196,-0.013729977116704761
2015-04-10,43200,43950,43200,43650,1348731,0.012761020881670637
2015-04-13,43000,43950,42800,43300,909897,-0.008018327605956443
2015-04-14,43250,44000,42950,43900,1299456,0.01385681293302543
2015-04-15,43900,44900,43600,43800,1758769,-0.002277904328018221
2015-04-16,44150,46000,43800,46000,1827980,0.05022831050228316
2015-04-17,46400,47600,46000,47550,2429743,0.033695652173913127
2015-04-20,47400,48000,46000,46250,1403791,-0.02733964248159837
2015-04-21,46400,46550,45350,46050,965311,-0.00432432432432428
2015-04-22,45700,46250,45300,45500,1131683,-0.011943539630836053
2015-04-23,46000,46400,45500,45800,985579,0.00659340659340657
2015-04-24,46700,47650,45650,46850,1555639,0.022925764192139653
2015-04-27,47250,47300,46050,47000,841702,0.0032017075773747017
2015-04-28,47500,48500,46600,47950,1700373,0.0202127659574467
2015-04-29,48000,48900,46950,47700,925056,-0.005213764337851923
2015-04-30,47350,47600,46550,46850,895578,-0.017819706498951815
2015-05-04,46850,48200,46750,47950,991374,0.023479188900747072
2015-05-06,47850,47900,46500,46550,1002476,-0.029197080291970767
2015-05-07,46400,47300,45850,46250,679675,-0.0064446831364124435
2015-05-08,46250,46650,45500,45800,846748,-0.009729729729729741
2015-05-11,46250,47300,45900,46800,1046627,0.02183406113537112
2015-05-12,46800,47300,45350,47100,1429882,0.0064102564102563875
2015-05-13,47400,47400,46250,47200,1183888,0.002123142250530785
2015-05-14,46850,47200,46500,46800,786048,-0.008474576271186418
2015-05-15,47050,47250,46100,46800,675930,0.0
2015-05-18,47000,47200,45900,46700,698912,-0.002136752136752129
2015-05-19,46250,46700,46000,46100,559866,-0.012847965738758016
2015-05-20,46500,48000,46200,47900,1091430,0.0390455531453362
2015-05-21,47900,48650,47100,47450,921140,-0.009394572025052228
2015-05-22,47800,48500,47500,48500,834322,0.02212855637513167
2015-05-26,48050,48450,47000,47000,890284,-0.030927835051546393
2015-05-27,46500,47250,45650,45750,1182850,-0.02659574468085102
2015-05-28,45850,46750,45700,45700,1041765,-0.0010928961748634114
2015-05-29,45700,46350,45700,46200,1047784,0.010940919037199182
2015-06-01,46300,46700,45200,45500,1272257,-0.015151515151515138
2015-06-02,45950,46150,45250,45850,1382784,0.007692307692307665
2015-06-03,45850,46700,45000,45300,890978,-0.01199563794983638
2015-06-04,44800,45250,44100,44500,1133192,-0.017660044150110354
2015-06-05,44500,45250,44150,44800,786751,0.006741573033707926
2015-06-08,44400,45100,44350,44800,583672,0.0
2015-06-09,45000,45100,44450,44700,724961,-0.0022321428571429047
2015-06-10,44500,44700,43400,43700,1553767,-0.022371364653243853
2015-06-11,43750,44200,43000,43850,1251599,0.003432494279176135
2015-06-12,44000,44350,43150,43500,945269,-0.007981755986317007
2015-06-15,43000,44650,42600,43800,1266926,0.006896551724137945
2015-06-16,43800,44350,40800,43000,3933484,-0.0182648401826484
2015-06-17,42950,42950,41800,42700,1077422,-0.006976744186046546
2015-06-18,42750,42900,42000,42450,1216574,-0.005854800936768156
2015-06-19,42750,44600,42550,44100,1244026,0.03886925795053009
2015-06-22,46000,46550,45550,46200,1999926,0.04761904761904767
2015-06-23,46950,47650,45850,46050,1333199,-0.0032467532467532756
2015-06-24,46500,46700,45450,45450,724346,-0.013029315960912058
2015-06-25,45100,45700,44550,45100,684339,-0.007700770077007646
2015-06-26,45100,45400,44700,45200,528062,0.0022172949002217113
2015-06-29,44700,45250,44000,44800,659408,-0.008849557522123908
2015-06-30,45000,46150,44950,45800,902335,0.022321428571428603
2015-07-01,46200,46650,45850,46350,706855,0.012008733624454093
2015-07-02,46300,46900,46250,46600,800572,0.005393743257820827
2015-07-03,46850,47100,46250,46900,641125,0.006437768240343367
2015-07-06,46700,47300,46450,47000,1026470,0.002132196162046851
2015-07-07,46650,47000,45800,46550,931642,-0.009574468085106425
2015-07-08,46950,47600,45850,47250,1054521,0.015037593984962516
2015-07-09,47200,48350,47200,48050,1981662,0.01693121693121702
2015-07-10,48100,48250,47300,47400,822930,-0.013527575442247697
2015-07-13,47500,48750,47400,48000,831013,0.012658227848101333
2015-07-14,47650,49000,47550,49000,1070820,0.02083333333333326
2015-07-15,48750,49050,48200,49050,687053,0.0010204081632652073
2015-07-16,49300,49400,48400,48900,488493,-0.003058103975535187
2015-07-17,49000,49200,48500,49050,540005,0.0030674846625766694
2015-07-20,49100,50000,48850,49900,672296,0.017329255861366022
2015-07-21,50400,50400,49550,50400,691866,0.01002004008016022
2015-07-22,50200,50200,48550,48650,898191,-0.03472222222222221
2015-07-23,48400,49750,47800,49750,677605,0.02261048304213764
2015-07-24,48800,49200,48000,48150,659600,-0.032160804020100464
2015-07-27,47600,48350,47000,47650,895221,-0.010384215991692591
2015-07-28,47700,48450,46800,48200,894713,0.011542497376705096
2015-07-29,47700,48500,47200,48500,613734,0.006224066390041472
2015-07-30,49250,49300,48250,48600,935264,0.0020618556701030855
2015-07-31,49300,50900,49000,50900,1890287,0.0473251028806585
2015-08-03,50500,52500,50500,52200,1192632,0.025540275049115824
2015-08-04,51500,52100,50600,51700,928220,-0.009578544061302652
2015-08-05,51400,51900,49800,51600,1690110,-0.0019342359767892114
2015-08-06,51800,53100,50200,51100,2059980,-0.009689922480620172
2015-08-07,51100,52000,50600,51000,1006043,-0.00195694716242667
