Date,Open,High,Low,Close,Volume,Change
2015-01-02,52100,52600,51400,51600,217902,-0.020872865275142316
2015-01-05,51100,52000,50100,50500,428480,-0.02131782945736438
2015-01-06,49800,50500,49150,50300,247064,-0.003960396039603964
2015-01-07,49900,50400,48850,49500,257037,-0.015904572564612307
2015-01-08,49600,50300,48800,49200,416912,-0.0060606060606061
2015-01-09,49600,50800,49500,49900,519902,0.014227642276422703
2015-01-12,49300,50700,49150,50500,184445,0.012024048096192397
2015-01-13,50800,50800,50100,50300,301107,-0.003960396039603964
2015-01-14,50100,50300,49200,49450,280127,-0.016898608349900646
2015-01-15,49700,50800,49650,50700,259087,0.025278058645096024
2015-01-16,50500,50900,49050,50600,299746,-0.0019723865877712132
2015-01-19,50900,51400,50400,51100,173679,0.009881422924901129
2015-01-20,51200,51800,50700,51200,166001,0.001956947162426559
2015-01-21,51300,51700,50800,51200,223903,0.0
2015-01-22,52100,52100,51000,51000,508773,-0.00390625
2015-01-23,51700,51800,50900,51400,424437,0.007843137254901933
2015-01-26,51500,52100,51100,51100,492414,-0.005836575875486361
2015-01-27,51800,53100,51500,52900,481250,0.03522504892367917
2015-01-28,52400,53800,52100,53000,487745,0.001890359168241984
2015-01-29,53000,54800,52500,54000,604104,0.018867924528301883
2015-01-30,54600,55200,51300,52700,911473,-0.024074074074074026
2015-02-02,53600,53600,51300,51900,514678,-0.015180265654648917
2015-02-03,51900,52000,49300,49450,1238967,-0.047206165703275516
2015-02-04,49850,49900,49350,49550,542148,0.002022244691607611
2015-02-05,49650,49700,49100,49600,455915,0.0010090817356205317
2015-02-06,49350,49850,49050,49050,413496,-0.011088709677419373
2015-02-09,48750,49600,48600,49100,339122,0.0010193679918450993
2015-02-10,49350,49750,48650,49450,305656,0.007128309572301372
2015-02-11,49900,49900,49450,49800,408310,0.00707785642062686
2015-02-12,49300,49800,48200,48950,572864,-0.017068273092369468
2015-02-13,49000,49250,48550,48800,253919,-0.003064351378958108
2015-02-16,48500,48950,48150,48200,282199,-0.012295081967213073
2015-02-17,48250,48500,48000,48000,488827,-0.004149377593360981
2015-02-23,48450,48500,47950,48300,505434,0.006250000000000089
2015-02-24,48100,48450,48000,48350,446331,0.0010351966873705098
