Date,Open,High,Low,Close,Volume,Change
2015-01-02,24100,24800,24100,24550,131539,0.004089979550102152
2015-01-05,24300,24650,23850,24200,153271,-0.014256619144602856
2015-01-06,24150,24450,23550,24300,135286,0.004132231404958775
2015-01-07,24300,24300,23300,23550,173492,-0.030864197530864224
2015-01-08,23500,23800,23050,23350,188256,-0.00849256900212314
2015-01-09,23600,24150,23600,23900,100011,0.023554603854389677
2015-01-12,23800,24300,23750,23900,47796,0.0
2015-01-13,23900,25700,23800,24550,324314,0.027196652719665204
2015-01-14,24650,25350,24200,24500,135354,-0.0020366598778004397
2015-01-15,24350,25000,24100,24750,108445,0.010204081632652962
2015-01-16,24550,25250,24450,25200,141069,0.018181818181818077
2015-01-19,25300,25850,25150,25550,167973,0.01388888888888884
2015-01-20,25600,25900,24700,25100,177001,-0.017612524461839585
2015-01-21,25450,25450,24650,24950,88563,-0.005976095617529875
2015-01-22,25400,25450,24600,25350,151030,0.01603206412825653
2015-01-23,25550,25700,25100,25150,87975,-0.007889546351084853
2015-01-26,25100,25300,24600,25100,67302,-0.001988071570576566
2015-01-27,25300,25450,24900,25200,103792,0.003984063745019917
2015-01-28,25000,25400,24600,24850,86684,-0.01388888888888884
2015-01-29,24850,25800,24600,25700,224021,0.03420523138832987
2015-01-30,25750,25750,24800,25200,137897,-0.01945525291828798
2015-02-02,24900,24950,24300,24450,113019,-0.029761904761904767
2015-02-03,24400,24400,23700,23950,174512,-0.020449897750511203
2015-02-04,24050,24500,24050,24400,149544,0.018789144050104456
2015-02-05,24400,25500,24150,25350,135197,0.03893442622950816
2015-02-06,25100,25300,24600,25000,62389,-0.013806706114398382
2015-02-09,24800,25450,24550,25250,118427,0.010000000000000009
2015-02-10,25300,25400,24250,24250,69375,-0.03960396039603964
2015-02-11,24350,24950,23900,24850,83884,0.024742268041237025
2015-02-12,24850,25000,24200,24800,79226,-0.002012072434607659
2015-02-13,24950,25450,24600,25400,114083,0.024193548387096753
2015-02-16,25300,25500,25100,25350,48114,-0.0019685039370078705
2015-02-17,25350,25400,24450,25050,109844,-0.011834319526627168
2015-02-23,24800,25050,24250,24250,115083,-0.031936127744510934
2015-02-24,24250,24700,24050,24400,110935,0.006185567010309256
2015-02-25,24450,24550,23950,24400,98772,0.0
2015-02-26,24350,24700,24150,24600,77333,0.008196721311475308
2015-02-27,24450,24650,23400,23700,160304,-0.03658536585365857
2015-03-02,23850,23850,23250,23350,130177,-0.014767932489451518
2015-03-03,23300,24150,23300,24000,81099,0.027837259100642386
