Date,Open,High,Low,Close,Volume,Change
2015-01-02,13604,13780,13382,13517,46493,-0.01615838125045488
2015-01-05,13426,13736,13426,13739,13430,0.0164237626692314
2015-01-06,13558,13870,13558,13694,12995,-0.0032753475507678598
2015-01-07,13470,13915,13470,13916,11420,0.016211479480064295
2015-01-08,13959,14003,13736,13916,14681,0.0
2015-01-09,14004,14004,13780,13828,14614,-0.006323656223052643
2015-01-12,14048,14093,13825,13871,8077,0.003109632629447523
2015-01-13,14048,14048,13648,13649,10211,-0.016004613942758317
2015-01-14,13648,14093,13648,13828,4534,0.013114513883800916
2015-01-15,13870,13959,13692,13784,7143,-0.0031819496673416436
2015-01-16,13959,14670,13648,14362,29207,0.041932675565873545
2015-01-19,14359,14359,13648,13649,44240,-0.04964489625400359
2015-01-20,13648,14270,13648,13828,15361,0.013114513883800916
2015-01-21,14181,14582,13870,14538,22885,0.0513450969048308
2015-01-22,14537,14582,14093,14228,19812,-0.021323428256981747
2015-01-23,14226,14493,14181,14272,10547,0.0030924936744447518
2015-01-26,14270,14270,13825,13828,11639,-0.03110986547085204
2015-01-27,13825,14004,13514,13828,28317,0.0
2015-01-28,13736,13825,13247,13472,28362,-0.02574486549030952
2015-01-29,13470,13604,13291,13382,14325,-0.006680522565320701
2015-01-30,13426,13604,13159,13338,20886,-0.003287998804364034
2015-02-02,13291,13336,13070,13116,24227,-0.016644174538911427
2015-02-03,13291,13514,13026,13161,21327,0.0034309240622141246
2015-02-04,13291,13336,13114,13295,15799,0.010181597143074317
2015-02-05,13426,13870,13026,13784,47393,0.036780744640842356
2015-02-06,13692,13915,13382,13517,26910,-0.019370284387695835
2015-02-09,13514,13870,13291,13784,39547,0.019752903750832385
2015-02-10,13825,13870,13114,13205,64018,-0.04200522344747537
2015-02-11,13291,13336,13159,13250,23479,0.0034078000757289395
2015-02-12,13159,13336,12981,13027,39591,-0.01683018867924524
2015-02-13,13159,13247,12847,13116,49510,0.006831964381668776
2015-02-16,13247,13648,13114,13426,46571,0.02363525465080807
2015-02-17,13558,13558,13291,13426,29837,0.0
2015-02-23,13648,13736,13336,13561,30450,0.01005511693728578
2015-02-24,13736,13780,13558,13561,19219,0.0
2015-02-25,13692,13692,13203,13517,57507,-0.0032445984809379436
2015-02-26,13514,13558,13291,13382,17342,-0.00998742324480284
2015-02-27,13558,13558,13247,13472,21799,0.00672545209983566
2015-03-02,13514,13514,13291,13472,20393,0.0
2015-03-03,13470,13514,13247,13382,26043,-0.006680522565320701
2015-03-04,13426,13604,13291,13382,29411,0.0
2015-03-05,13382,13558,13203,13338,34248,-0.003287998804364034
2015-03-06,13159,13336,13159,13338,39453,0.0
2015-03-09,13336,14226,13336,14228,111892,0.0667266456740141
2015-03-10,14359,14804,14048,14583,102936,0.024950801236997444
2015-03-11,14315,15292,14270,15161,154077,0.03963519166152363
2015-03-12,15160,17427,15160,17429,483942,0.1495943539344371
2015-03-13,17961,20005,17961,18986,908801,0.08933386883929084
2015-03-16,19294,19961,18272,19429,506702,0.023332982197408647
2015-03-17,19516,20717,19161,19918,382593,0.025168562458181
2015-03-18,20005,21028,19472,20409,393105,0.024651069384476365
2015-03-19,23073,23430,22362,23431,1543464,0.14807192905090893
2015-03-20,24897,26942,24008,26943,669534,0.1498869019674789
2015-03-23,0,0,0,26943,0,0.0
2015-03-24,26942,30898,25786,25832,892062,-0.04123520023753846
2015-03-25,26497,27609,25830,27566,621758,0.0671260452152369
2015-03-26,26053,26631,24096,25344,264219,-0.08060654429369518
2015-03-27,25430,29121,25385,29122,834028,0.14906881313131315
2015-03-30,28498,32677,27297,30501,659201,0.047352516997458904
2015-03-31,0,0,0,30501,0,0.0
2015-04-01,29210,31921,28409,31923,191466,0.046621422248450894
2015-04-02,31566,35568,31566,32902,165850,0.030667543777213924
