Date,Open,High,Low,Close,Volume,Change
2015-01-02,39150,39700,38650,39350,79182,-0.008816120906801062
2015-01-05,38950,40300,38800,39800,103874,0.011435832274459878
2015-01-06,39400,40200,38350,38650,118123,-0.028894472361809087
2015-01-07,38450,39000,38150,38450,71361,-0.005174644243208237
2015-01-08,38000,38000,35550,36000,472199,-0.06371911573472044
2015-01-09,36500,36700,35650,35900,189093,-0.002777777777777768
2015-01-12,36100,36700,35750,36100,170494,0.0055710306406684396
2015-01-13,35850,36100,35400,35750,108620,-0.00969529085872578
2015-01-14,35600,36600,35600,35900,89823,0.00419580419580412
2015-01-15,35900,37100,35700,37050,106733,0.03203342618384397
2015-01-16,36750,37000,35500,36100,161242,-0.02564102564102566
2015-01-19,36150,36150,35150,35550,121167,-0.015235457063711877
2015-01-20,35550,35600,34050,34900,185063,-0.01828410689170179
2015-01-21,34900,36000,34400,35450,126229,0.015759312320916985
2015-01-22,35550,35900,34350,34900,110348,-0.015514809590973178
2015-01-23,34750,35000,34050,34400,120089,-0.014326647564469885
2015-01-26,34800,36400,34400,35950,160034,0.04505813953488369
2015-01-27,36000,36200,35000,35650,78028,-0.008344923504867818
2015-01-28,35650,35800,35050,35500,76477,-0.0042075736325385416
2015-01-29,35200,35900,35150,35800,99568,0.008450704225352101
2015-01-30,35550,38150,35550,38150,242700,0.06564245810055858
2015-02-02,38000,38100,37050,37800,127907,-0.00917431192660545
2015-02-03,37750,38800,37100,38400,150627,0.015873015873015817
2015-02-04,38850,38850,38050,38050,60466,-0.00911458333333337
2015-02-05,38350,38900,38050,38850,75055,0.021024967148488782
2015-02-06,38200,38900,37800,38200,73828,-0.016731016731016735
2015-02-09,38650,38650,37200,37650,149657,-0.014397905759162333
2015-02-10,39500,39900,38250,39000,357412,0.03585657370517925
2015-02-11,39100,40050,39100,39450,266276,0.011538461538461497
2015-02-12,39500,40900,39500,40350,181721,0.02281368821292773
2015-02-13,40700,40950,39700,40400,96295,0.0012391573729864103
2015-02-16,40400,40750,39300,39550,70385,-0.02103960396039606
2015-02-17,39050,41100,39050,40250,104478,0.017699115044247815
2015-02-23,40350,41500,40300,41300,104790,0.026086956521739202
2015-02-24,41050,42000,40850,41800,133066,0.012106537530266248
2015-02-25,41800,42150,41250,41800,97293,0.0
2015-02-26,41800,41800,39800,39850,120040,-0.046650717703349276
2015-02-27,39600,41250,39600,40950,84295,0.027603513174403904
2015-03-02,40750,41250,38500,38550,140969,-0.05860805860805862
2015-03-03,38300,39200,38300,38750,64935,0.005188067444876765
2015-03-04,38750,39200,38300,38450,60101,-0.007741935483870921
2015-03-05,38450,38600,37800,37850,57343,-0.015604681404421283
2015-03-06,37800,39350,37750,39050,90475,0.031704095112285335
2015-03-09,38600,39050,38450,38900,82460,-0.003841229193341844
2015-03-10,38400,39050,37600,38150,99919,-0.019280205655527016
2015-03-11,37750,37950,36900,36900,131847,-0.032765399737876844
2015-03-12,36900,38600,36900,37750,116019,0.023035230352303593
2015-03-13,38350,39200,38000,39050,58430,0.03443708609271523
2015-03-16,39050,39550,38300,39350,74854,0.007682458386683688
2015-03-17,39650,39650,38950,39150,70300,-0.0050825921219822545
2015-03-18,38800,39350,38450,38450,51772,-0.017879948914431676
2015-03-19,38300,38400,37350,37600,101800,-0.022106631989596837
2015-03-20,37400,38400,37400,38000,93415,0.010638297872340496
2015-03-23,38050,38200,37700,37950,58971,-0.001315789473684159
2015-03-24,38350,38350,37550,38200,55911,0.006587615283267567
2015-03-25,38200,38800,38200,38600,57693,0.010471204188481575
2015-03-26,38600,40000,38300,39750,134566,0.029792746113989743
2015-03-27,39400,40250,39400,39600,132266,-0.0037735849056603765
2015-03-30,39600,42000,39550,41900,204687,0.05808080808080818
2015-03-31,42000,42600,40800,41800,212338,-0.0023866348448687846
2015-04-01,41800,43700,41200,41750,178179,-0.0011961722488038617
2015-04-02,41800,44150,41300,44150,173597,0.057485029940119725
2015-04-03,44200,44200,42700,43350,130655,-0.01812004530011324
2015-04-06,43500,43750,41900,41900,118513,-0.03344867358708192
2015-04-07,41900,43150,41700,42900,158306,0.023866348448687402
2015-04-08,42500,42900,41000,41700,186784,-0.027972027972028024
2015-04-09,41400,43200,41200,41200,207799,-0.011990407673860948
2015-04-10,41500,42450,40950,41800,129101,0.014563106796116498
2015-04-13,41800,42300,39850,40800,189433,-0.02392344497607657
2015-04-14,40800,41300,40150,41000,144233,0.004901960784313708
2015-04-15,40400,41250,40100,40450,131728,-0.013414634146341475
2015-04-16,40500,40650,39550,39600,155617,-0.021013597033374576
2015-04-17,39550,40700,39550,40450,105096,0.02146464646464641
2015-04-20,40500,40750,39750,39750,134683,-0.017305315203955507
2015-04-21,40400,41150,39800,40900,128908,0.028930817610062887
2015-04-22,41400,41400,39150,40100,186623,-0.019559902200488977
2015-04-23,40100,41900,39900,41750,160755,0.041147132169575995
2015-04-24,41050,42000,40050,40400,126301,-0.03233532934131733
2015-04-27,40500,41200,40250,40900,86425,0.012376237623762387
2015-04-28,40800,42500,40700,42150,133967,0.030562347188264116
2015-04-29,42200,42250,41150,42100,78373,-0.0011862396204033177
2015-04-30,41800,42350,41050,41200,79584,-0.02137767220902609
2015-05-04,40650,41100,39500,40600,108830,-0.014563106796116498
2015-05-06,40600,40900,39300,39750,93394,-0.020935960591133007
2015-05-07,39500,39750,38150,38600,109253,-0.028930817610062887
2015-05-08,38650,41450,38650,40300,158193,0.04404145077720201
2015-05-11,40750,41450,40050,41150,66599,0.021091811414392092
2015-05-12,40700,41600,40350,41450,63244,0.007290400972053357
2015-05-13,41200,41350,39800,40000,105438,-0.0349819059107358
2015-05-14,39600,40300,39000,39150,148547,-0.02124999999999999
2015-05-15,39250,41050,39250,40750,117586,0.040868454661558085
2015-05-18,41350,41400,39300,39550,156591,-0.02944785276073625
2015-05-19,39150,39600,38500,38500,167579,-0.026548672566371723
2015-05-20,38200,39050,38100,38100,146164,-0.010389610389610393
2015-05-21,38500,38600,37150,37600,210806,-0.013123359580052507
2015-05-22,37750,38450,37500,37800,153592,0.005319148936170137
2015-05-26,38000,38250,36750,37050,130354,-0.019841269841269882
2015-05-27,36900,37800,36500,37700,110860,0.01754385964912286
2015-05-28,37300,38250,36900,37250,110645,-0.011936339522546469
2015-05-29,36850,38050,36550,36650,127876,-0.016107382550335614
2015-06-01,36650,36650,35550,36150,92783,-0.013642564802182844
2015-06-02,36150,36450,35500,35500,94115,-0.017980636237897696
2015-06-03,35450,35500,34100,34450,140234,-0.029577464788732355
2015-06-04,34200,36100,34100,35350,172487,0.026124818577648812
2015-06-05,35050,36200,34050,34200,214922,-0.032531824611032545
2015-06-08,34300,37500,34250,37050,230753,0.08333333333333326
2015-06-09,37100,37800,36350,37400,124344,0.009446693657219951
2015-06-10,37050,38600,37050,38450,184015,0.02807486631016043
2015-06-11,38450,39000,38050,38300,185696,-0.0039011703511053764
2015-06-12,38500,39450,38300,38750,86313,0.011749347258485532
2015-06-15,38750,39550,38350,38650,106451,-0.002580645161290307
2015-06-16,38950,39950,38650,39850,116537,0.031047865459249646
2015-06-17,39500,39550,37700,38100,143073,-0.04391468005018817
2015-06-18,38800,38800,37150,37250,133043,-0.022309711286089273
2015-06-19,37400,37900,36550,37550,140304,0.008053691275167862
2015-06-22,36850,39850,36850,39650,134982,0.055925432756325
2015-06-23,38900,39500,38200,38250,95368,-0.035308953341740223
2015-06-24,38000,38600,38000,38550,69390,0.007843137254901933
2015-06-25,38500,38500,37400,38000,111122,-0.014267185473411104
2015-06-26,38500,38500,37450,37600,57719,-0.010526315789473717
2015-06-29,37450,38700,37000,37800,106060,0.005319148936170137
2015-06-30,38000,38650,36950,38150,101698,0.0092592592592593
2015-07-01,38800,39000,38150,38950,69826,0.02096985583224109
2015-07-02,38750,39800,38350,39750,96169,0.020539152759948553
2015-07-03,39850,43500,39750,42300,351711,0.0641509433962264
2015-07-06,42200,42900,41400,41550,116718,-0.01773049645390068
2015-07-07,42150,43300,41200,42700,155599,0.02767749699157651
2015-07-08,42900,43150,40500,42000,159590,-0.016393442622950838
2015-07-09,42250,42500,40700,42050,90931,0.0011904761904761862
2015-07-10,41550,43000,41150,41500,61365,-0.013079667063020217
2015-07-13,41500,42850,41050,42800,73849,0.031325301204819356
2015-07-14,42900,43050,41400,41400,109189,-0.032710280373831724
2015-07-15,41500,42900,40950,42600,103922,0.02898550724637672
2015-07-16,42800,43500,41750,42600,109788,0.0
2015-07-17,43050,43400,41700,42600,136461,0.0
2015-07-20,43100,45800,42900,44950,218310,0.055164319248826255
2015-07-21,45350,46900,44950,45750,174277,0.017797552836484876
2015-07-22,46150,47400,44600,46400,149899,0.014207650273224015
2015-07-23,47400,49800,46800,48250,204414,0.039870689655172376
2015-07-24,48350,51000,48300,50900,160782,0.05492227979274622
2015-07-27,51700,51700,46800,49000,180360,-0.037328094302554016
2015-07-28,48450,48500,46750,47250,127776,-0.0357142857142857
2015-07-29,47700,51200,47700,50300,113278,0.06455026455026447
2015-07-30,50600,52300,49100,49500,107513,-0.015904572564612307
2015-07-31,48750,52000,48700,52000,132833,0.05050505050505061
2015-08-03,52000,52000,48000,49750,184242,-0.043269230769230727
2015-08-04,49050,50900,48050,50700,130630,0.019095477386934734
2015-08-05,50000,51000,48650,50200,127764,-0.009861932938856066
2015-08-06,50600,53400,49550,52900,125754,0.05378486055776888
2015-08-07,52500,52700,50200,51700,125668,-0.022684310018903586
2015-08-10,51900,55700,50500,54000,138172,0.044487427466150864
2015-08-11,54500,55600,53100,54000,84569,0.0
2015-08-12,54900,66600,54900,56300,654376,0.042592592592592515
2015-08-13,58500,61200,56100,57300,334662,0.017761989342806483
2015-08-17,58200,68400,56300,64000,531170,0.1169284467713787
2015-08-18,63400,66400,61400,63600,640110,-0.006249999999999978
2015-08-19,63600,65900,58100,61400,274371,-0.03459119496855345
2015-08-20,60500,64000,60500,60500,222763,-0.014657980456026065
2015-08-21,57000,62500,56600,61900,267950,0.023140495867768562
2015-08-24,62500,62700,55300,56600,315591,-0.08562197092084012
2015-08-25,57600,59600,55300,58800,200025,0.03886925795053009
2015-08-26,58300,59500,57000,57800,190580,-0.017006802721088454
2015-08-27,58400,62000,58000,61700,239579,0.06747404844290661
2015-08-28,62400,62800,60100,60600,193905,-0.017828200972447306
2015-08-31,60700,62800,59500,62800,169549,0.03630363036303641
2015-09-01,62200,64600,58300,58400,287975,-0.07006369426751591
2015-09-02,57500,59900,56800,59100,184008,0.011986301369863117
2015-09-03,59200,60000,58200,59500,133926,0.006768189509306355
2015-09-04,59000,60000,55800,56400,142783,-0.05210084033613449
2015-09-07,56600,59900,55900,59000,118648,0.046099290780141855
2015-09-08,59100,60700,58600,58900,117447,-0.0016949152542372614
2015-09-09,60300,61400,58900,60000,132700,0.018675721561969505
2015-09-10,60000,62200,59300,62200,124424,0.036666666666666625
2015-09-11,61100,61400,59500,61400,101915,-0.012861736334405127
2015-09-14,61500,61500,56200,56500,257956,-0.07980456026058635
2015-09-15,56500,57400,55500,56700,114808,0.003539823008849474
2015-09-16,57100,57200,54500,55000,237339,-0.029982363315696703
2015-09-17,55800,56000,54200,55000,124891,0.0
2015-09-18,55300,55700,53000,54800,396202,-0.0036363636363636598
2015-09-21,54200,58000,53600,57700,237829,0.05291970802919699
2015-09-22,58100,58100,56500,57100,86654,-0.010398613518197597
2015-09-23,57000,57500,56000,56000,62025,-0.019264448336252182
2015-09-24,56300,57800,55800,57100,83768,0.019642857142857073
2015-09-25,57600,58200,55300,56200,117649,-0.015761821366024553
2015-09-30,55200,55700,54200,55200,80220,-0.017793594306049876
2015-10-01,55000,56000,54600,55700,60082,0.009057971014492683
2015-10-02,55500,56200,54800,55300,66022,-0.007181328545781018
2015-10-05,57000,59500,56700,58600,207283,0.05967450271247743
2015-10-06,68000,70000,59600,61000,1105503,0.04095563139931735
