Date,Open,High,Low,Close,Volume,Change
2015-01-02,38700,41950,38000,40500,45854,0.03979460847240057
2015-01-05,40200,41200,39650,41000,51424,0.012345679012345734
2015-01-06,40500,41800,40400,40850,41514,-0.003658536585365857
2015-01-07,40350,41200,39850,40550,25908,-0.007343941248470043
2015-01-08,40600,43050,40600,42750,112349,0.054254007398273796
2015-01-09,42950,44400,42100,43050,53587,0.007017543859649145
2015-01-12,43150,45900,42700,43500,111008,0.010452961672473782
2015-01-13,43550,47300,43550,45700,253035,0.05057471264367819
2015-01-14,45400,48000,44500,46600,165358,0.01969365426695835
2015-01-15,46900,46900,45050,46550,123658,-0.0010729613733905241
2015-01-16,46550,47200,45350,47050,101356,0.01074113856068748
2015-01-19,46850,48050,46300,46950,110559,-0.002125398512221044
2015-01-20,46950,47800,46450,47200,39925,0.005324813631522929
2015-01-21,47400,48600,47200,47700,46733,0.010593220338983134
2015-01-22,48000,49050,47000,48250,77372,0.011530398322851187
2015-01-23,48900,48900,47600,47650,26454,-0.012435233160621784
2015-01-26,47300,48300,46900,47100,32660,-0.011542497376705096
2015-01-27,46900,48550,46350,47600,67181,0.010615711252653925
2015-01-28,48100,50900,47000,49800,105500,0.04621848739495804
2015-01-29,50300,51100,48600,51100,80324,0.026104417670682833
2015-01-30,51300,51500,49400,50200,67493,-0.017612524461839585
2015-02-02,50300,50900,49000,49600,38552,-0.01195219123505975
2015-02-03,49600,49800,48500,49050,55380,-0.011088709677419373
2015-02-04,49400,51000,49200,50200,45374,0.023445463812436396
2015-02-05,50300,52000,49250,49750,56195,-0.008964143426294813
2015-02-06,50000,50000,48500,48900,20559,-0.0170854271356784
2015-02-09,49400,50400,48050,49700,42863,0.01635991820040905
2015-02-10,49350,51500,49000,50900,44176,0.024144869215291687
2015-02-11,50900,50900,49000,49100,42544,-0.035363457760314354
2015-02-12,48650,49550,48650,49200,41144,0.0020366598778003286
2015-02-13,48750,49650,47400,48550,66134,-0.013211382113821113
2015-02-16,48200,49200,47550,47800,55840,-0.015447991761071034
2015-02-17,47500,48600,47200,48450,19860,0.013598326359832713
2015-02-23,47650,48450,47150,47200,55806,-0.02579979360165119
2015-02-24,47200,51900,47200,51700,99573,0.09533898305084754
2015-02-25,51900,55600,51300,53600,75490,0.03675048355899424
2015-02-26,53600,54100,51500,52900,48748,-0.013059701492537323
2015-02-27,53900,55800,52100,52500,58538,-0.007561436672967825
2015-03-02,52900,54900,52000,54200,48640,0.0323809523809524
2015-03-03,55700,55700,52000,52100,45690,-0.03874538745387457
2015-03-04,52300,53500,51100,53000,42252,0.017274472168905985
2015-03-05,52300,52400,50500,51100,57490,-0.03584905660377358
2015-03-06,51200,51500,49850,50700,37108,-0.007827788649706457
2015-03-09,50600,51700,49050,51200,48449,0.009861932938856066
2015-03-10,50600,51300,49300,49600,46099,-0.03125
2015-03-11,49100,50800,48950,49400,28041,-0.0040322580645161255
2015-03-12,50700,51200,49400,50900,33090,0.030364372469635637
2015-03-13,51000,51800,49600,50300,43076,-0.011787819253438081
2015-03-16,49950,51200,49600,50600,37531,0.005964214711729587
2015-03-17,50500,51000,49250,49250,42424,-0.02667984189723316
2015-03-18,48950,49300,47550,47800,76203,-0.029441624365482255
2015-03-19,48000,48350,47000,47750,46572,-0.0010460251046024993
2015-03-20,47950,50800,47750,50700,81776,0.06178010471204187
2015-03-23,50700,52200,49500,51000,55362,0.00591715976331364
2015-03-24,52000,52000,50000,50700,42129,-0.00588235294117645
2015-03-25,50700,51800,49900,51100,30745,0.007889546351084853
2015-03-26,50900,52000,49500,49700,45640,-0.0273972602739726
2015-03-27,49450,50100,48150,49400,56560,-0.006036217303822977
2015-03-30,48950,51100,48950,50900,36255,0.030364372469635637
2015-03-31,51900,53400,50900,52700,78978,0.035363457760314354
2015-04-01,52000,55600,51500,55200,88495,0.04743833017077792
2015-04-02,55200,57800,54200,56100,67741,0.016304347826086918
2015-04-03,56100,62200,55200,58600,70293,0.04456327985739761
2015-04-06,59300,60400,56300,57800,66361,-0.013651877133105783
2015-04-07,57800,59700,57100,58000,84347,0.0034602076124568004
2015-04-08,57900,59100,56500,58200,47949,0.0034482758620688614
