Date,Open,High,Low,Close,Volume,Change
2015-01-02,9440,9660,9410,9510,147601,-0.017561983471074405
2015-01-05,9480,9700,9450,9700,87763,0.019978969505783484
2015-01-06,9540,9600,9300,9360,336250,-0.035051546391752564
2015-01-07,9280,9400,9260,9310,166237,-0.005341880341880323
2015-01-08,9250,9430,9250,9350,142191,0.004296455424275036
2015-01-09,9360,9480,9310,9430,97672,0.00855614973262031
2015-01-12,9400,9500,9360,9380,38914,-0.005302226935312793
2015-01-13,9540,9540,9200,9230,159301,-0.015991471215351827
2015-01-14,9300,9390,9100,9190,170480,-0.004333694474539573
2015-01-15,9070,9350,9070,9330,87844,0.015233949945593128
2015-01-16,9330,9390,9170,9210,247875,-0.012861736334405127
2015-01-19,9430,9550,9320,9320,121199,0.011943539630836053
2015-01-20,9340,9460,9340,9370,60755,0.005364806866952732
2015-01-21,9390,9560,9340,9470,143663,0.01067235859124871
2015-01-22,9320,9450,9320,9400,217650,-0.007391763463569179
2015-01-23,9460,9560,9310,9490,120373,0.009574468085106425
2015-01-26,9540,9850,9410,9470,133712,-0.0021074815595363283
2015-01-27,9500,9600,9090,9190,152714,-0.029567053854276715
2015-01-28,9200,9390,9020,9350,146586,0.017410228509249226
2015-01-29,9130,9430,9130,9240,84307,-0.0117647058823529
2015-01-30,9320,9780,9290,9290,184129,0.005411255411255311
2015-02-02,9230,9380,8950,9020,165577,-0.0290635091496233
2015-02-03,9120,9160,8960,9120,136833,0.011086474501108556
2015-02-04,9140,9250,9050,9250,194250,0.014254385964912242
2015-02-05,9250,9370,9130,9280,122518,0.00324324324324321
2015-02-06,9290,9350,9180,9300,114148,0.0021551724137931494
2015-02-09,9260,9360,8980,9010,98551,-0.03118279569892468
2015-02-10,9010,9080,8820,8980,123456,-0.0033296337402886067
2015-02-11,9080,9360,9000,9270,115036,0.03229398663697114
2015-02-12,9380,9420,9170,9300,141223,0.003236245954692629
2015-02-13,9230,9440,9230,9340,84671,0.004301075268817289
2015-02-16,9250,9430,9030,9170,109234,-0.018201284796573902
2015-02-17,9240,9340,9050,9160,117907,-0.0010905125408942062
2015-02-23,9160,9230,8940,9030,228020,-0.014192139737991272
2015-02-24,8930,9040,8560,8680,407298,-0.03875968992248058
2015-02-25,8700,8720,8640,8710,195512,0.003456221198156584
2015-02-26,8720,8840,8600,8830,135314,0.013777267508610747
2015-02-27,8750,8780,8410,8570,248428,-0.029445073612684003
2015-03-02,8550,8570,8310,8420,205078,-0.017502917152858788
2015-03-03,8420,8630,8320,8570,126113,0.017814726840855055
2015-03-04,8420,8620,8390,8450,112714,-0.014002333722287097
2015-03-05,8410,8520,8330,8330,110770,-0.014201183431952646
2015-03-06,8340,8780,8330,8780,202007,0.054021608643457286
2015-03-09,8780,8780,8440,8470,81541,-0.03530751708428248
2015-03-10,8420,8560,8400,8490,102886,0.0023612750885477762
2015-03-11,8330,8650,8320,8600,135941,0.012956419316843437
2015-03-12,8510,8600,8260,8260,182593,-0.03953488372093028
