Date,Open,High,Low,Close,Volume,Change
2015-01-02,91983,101401,91669,98576,15245,0.07903148123823289
2015-01-05,97320,98890,95436,97948,18191,-0.006370719039117012
2015-01-06,97320,101087,94809,100460,19978,0.025646261281496274
2015-01-07,100773,101715,96692,97634,13394,-0.028130599243479937
2015-01-08,96064,101715,95122,99204,18089,0.016080463772865983
2015-01-09,100459,100459,97006,97948,5697,-0.012660779807265876
2015-01-12,95750,100459,95750,99518,14221,0.016028913300935255
2015-01-13,98262,102657,98262,100774,10043,0.012620832412227001
2015-01-14,101087,102343,100145,102344,11181,0.015579415325381651
2015-01-15,100459,101715,97320,99204,21592,-0.03068084108496838
2015-01-16,101087,104227,95750,96379,13919,-0.02847667432764811
2015-01-19,97320,97948,92611,95437,22481,-0.00977391340437228
2015-01-20,96064,100459,95436,99832,33029,0.046051321814390755
2015-01-21,100459,104541,100459,102030,55490,0.022016988540748406
2015-01-22,102657,106738,101401,103599,14391,0.015377830049985386
2015-01-23,103913,105482,101401,103913,11240,0.0030309172868463463
2015-01-26,104227,105168,102657,103599,8861,-0.0030217585865098817
2015-01-27,103599,106110,102657,104541,15559,0.009092751860539261
2015-01-28,104855,105168,97006,104541,18533,0.0
2015-01-29,103913,104227,101715,101716,9833,-0.027022890540553512
2015-01-30,101715,104541,101715,103913,14923,0.021599355067049464
2015-02-02,104227,106110,102657,104227,11968,0.0030217585865097707
2015-02-03,104227,106424,102657,106111,15534,0.018075930421100006
2015-02-04,104541,105796,101401,104227,17701,-0.017754992413604676
2015-02-05,103913,106738,103913,106425,13364,0.02108858549128345
2015-02-06,104855,106110,102657,102971,7167,-0.032454780361757085
2015-02-09,104227,104541,99204,99518,7964,-0.03353371337561062
2015-02-10,100145,103285,96692,103285,11906,0.037852448803231686
2015-02-11,103913,105482,102029,105483,11650,0.021280921721450463
2015-02-12,105796,106738,104541,106739,6560,0.01190713195491222
2015-02-13,105482,106738,104541,104855,5603,-0.017650530733846148
2015-02-16,104855,106424,102971,106425,4939,0.014973058032521136
