Date,Open,High,Low,Close,Volume,Change
2015-01-02,4450,4460,3970,4100,2924708,-0.07761529808773904
2015-01-05,4095,4095,3900,3935,2115393,-0.040243902439024426
2015-01-06,3870,3905,3780,3800,1483734,-0.03430749682337997
2015-01-07,3755,3840,3750,3770,702973,-0.007894736842105288
2015-01-08,3800,3835,3715,3715,828830,-0.01458885941644561
2015-01-09,3755,3815,3730,3795,721844,0.021534320323014722
2015-01-12,3810,3830,3735,3740,432321,-0.01449275362318836
2015-01-13,3725,3755,3615,3630,1058985,-0.02941176470588236
2015-01-14,3625,3650,3545,3560,925475,-0.019283746556473802
2015-01-15,3540,3735,3535,3670,697662,0.030898876404494402
2015-01-16,3675,3705,3540,3550,749861,-0.032697547683923744
2015-01-19,3600,3765,3575,3715,829868,0.04647887323943656
2015-01-20,3720,3795,3640,3650,705167,-0.01749663526244949
2015-01-21,3635,3645,3555,3565,619242,-0.023287671232876672
2015-01-22,3575,3710,3575,3620,853417,0.015427769985974837
2015-01-23,3695,3705,3535,3570,877062,-0.013812154696132617
2015-01-26,3550,3580,3500,3540,440474,-0.008403361344537785
2015-01-27,3560,3635,3555,3620,642696,0.02259887005649719
2015-01-28,3585,3925,3585,3885,1536613,0.07320441988950277
2015-01-29,3870,3980,3760,3835,1029359,-0.012870012870012881
2015-01-30,3890,3895,3750,3890,760612,0.014341590612777066
2015-02-02,3930,4070,3915,4010,1236705,0.03084832904884327
2015-02-03,4050,4065,3955,3980,723415,-0.007481296758104716
2015-02-04,4000,4090,3925,3935,791605,-0.011306532663316604
2015-02-05,3905,3920,3835,3905,507024,-0.007623888182973326
2015-02-06,3845,4015,3800,4005,718685,0.025608194622279035
2015-02-09,3965,4110,3875,3920,901679,-0.02122347066167296
2015-02-10,3970,4050,3920,3955,961061,0.008928571428571397
2015-02-11,3955,4010,3920,3985,546405,0.007585335018963413
2015-02-12,3990,3995,3920,3960,452873,-0.006273525721455453
2015-02-13,3965,4030,3895,3930,589619,-0.007575757575757569
2015-02-16,3930,4010,3915,3950,408651,0.0050890585241729624
2015-02-17,4010,4010,3930,4000,389105,0.012658227848101333
2015-02-23,4005,4340,4005,4205,1655502,0.05125000000000002
2015-02-24,4215,4230,4130,4135,768336,-0.01664684898929847
2015-02-25,4150,4300,4130,4290,1112481,0.037484885126964906
2015-02-26,4270,4530,4260,4505,1726385,0.05011655011655014
2015-02-27,4525,4810,4420,4745,2319095,0.05327413984461704
2015-03-02,4800,5450,4755,5430,5768480,0.14436248682824027
2015-03-03,5450,5710,5270,5360,5907600,-0.012891344383057057
2015-03-04,5470,5650,5400,5520,3320764,0.029850746268656803
2015-03-05,5630,5890,5500,5560,3627095,0.007246376811594235
2015-03-06,5630,5730,5560,5720,1758723,0.02877697841726623
2015-03-09,5770,5990,5720,5850,3392369,0.022727272727272707
2015-03-10,5890,5910,5360,5420,3005986,-0.07350427350427347
2015-03-11,5310,5600,5160,5580,2111942,0.029520295202952074
2015-03-12,5650,5750,5440,5440,1596677,-0.02508960573476704
2015-03-13,5560,5670,5470,5600,1162323,0.02941176470588225
2015-03-16,5560,5590,5210,5280,1813187,-0.05714285714285716
2015-03-17,5310,5530,5290,5500,1458420,0.04166666666666674
