Date,Open,High,Low,Close,Volume,Change
2015-01-02,8060,8100,7900,7950,614885,-0.04101326899879376
2015-01-05,7800,8100,7740,7750,646640,-0.02515723270440251
2015-01-06,7750,7790,7630,7670,915003,-0.010322580645161339
2015-01-07,7650,7730,7550,7660,735293,-0.0013037809647978849
2015-01-08,7610,7770,7610,7740,601504,0.010443864229765065
2015-01-09,7770,8030,7740,8000,1073743,0.03359173126614978
2015-01-12,7980,8040,7840,8000,1493100,0.0
2015-01-13,8000,8060,7760,7760,1508358,-0.030000000000000027
2015-01-14,7760,7880,7630,7760,1302141,0.0
2015-01-15,7720,8020,7720,7900,1643525,0.018041237113401998
2015-01-16,7860,7940,7600,7750,1028389,-0.01898734177215189
2015-01-19,7750,8090,7750,7950,822543,0.02580645161290329
2015-01-20,7950,8060,7950,7960,1206646,0.0012578616352201255
2015-01-21,7890,8000,7890,7960,1037044,0.0
2015-01-22,7960,8000,7790,7940,1388110,-0.002512562814070307
2015-01-23,7880,8000,7780,7820,2044519,-0.015113350125944613
2015-01-26,7820,7980,7810,7950,536825,0.01662404092071612
2015-01-27,7970,7970,7810,7820,572830,-0.01635220125786163
2015-01-28,7850,7940,7750,7910,438513,0.011508951406649537
2015-01-29,7840,7860,7710,7740,435875,-0.02149178255372941
2015-01-30,7830,7930,7730,7780,660548,0.0051679586563306845
2015-02-02,7710,7820,7660,7740,480504,-0.005141388174807249
2015-02-03,7740,7780,7630,7690,501600,-0.006459948320413411
2015-02-04,7690,7720,7640,7650,444906,-0.005201560468140465
2015-02-05,7660,7680,7530,7620,475501,-0.0039215686274509665
2015-02-06,7560,7690,7560,7670,435447,0.006561679790026309
2015-02-09,7660,7740,7640,7650,184706,-0.0026075619295958807
2015-02-10,7630,7700,7590,7700,417844,0.006535947712418277
2015-02-11,7650,7760,7640,7760,306661,0.007792207792207684
2015-02-12,7700,7760,7600,7710,345502,-0.006443298969072142
2015-02-13,7680,7780,7640,7700,308303,-0.0012970168612191912
2015-02-16,7640,7800,7640,7780,238130,0.010389610389610393
2015-02-17,7720,7800,7690,7780,274907,0.0
2015-02-23,7800,8190,7760,8180,1278021,0.05141388174807204
2015-02-24,8120,8170,7920,7970,866384,-0.025672371638141844
2015-02-25,8040,8100,7930,8050,515532,0.010037641154328814
2015-02-26,8050,8150,8020,8100,664021,0.006211180124223503
2015-02-27,8050,8190,7810,7810,860634,-0.03580246913580243
2015-03-02,7750,7920,7680,7820,599512,0.001280409731113874
2015-03-03,7760,8080,7760,7980,662592,0.020460358056265893
2015-03-04,7860,8060,7830,7840,444619,-0.01754385964912286
2015-03-05,7740,7890,7740,7890,335615,0.0063775510204082675
2015-03-06,7860,7900,7810,7850,349846,-0.005069708491761693
2015-03-09,7760,7900,7760,7830,284533,-0.002547770700636942
2015-03-10,7800,7970,7800,7930,446720,0.012771392081736943
2015-03-11,7880,7900,7630,7630,1072043,-0.03783102143757877
2015-03-12,7600,7770,7460,7580,1176941,-0.006553079947575369
2015-03-13,7650,7810,7600,7750,675534,0.02242744063324542
2015-03-16,7750,7810,7600,7600,381407,-0.01935483870967747
2015-03-17,7650,7860,7640,7850,476284,0.03289473684210531
2015-03-18,7850,8040,7790,7970,617201,0.015286624203821653
2015-03-19,7730,7770,7640,7660,19307964,-0.038895859473023875
2015-03-20,7670,7730,7440,7510,1274098,-0.019582245430809442
2015-03-23,7540,7690,7520,7640,1477619,0.017310252996005415
2015-03-24,7640,7680,7530,7530,641108,-0.014397905759162333
2015-03-25,7460,7610,7460,7550,387535,0.0026560424966799445
2015-03-26,7590,7600,7480,7490,594431,-0.007947019867549643
2015-03-27,7560,7570,7380,7430,666078,-0.008010680907877155
2015-03-30,7480,7480,7360,7380,401670,-0.006729475100942128
2015-03-31,7460,7480,7340,7370,559608,-0.0013550135501354532
2015-04-01,7370,7450,7350,7350,559430,-0.0027137042062415073
2015-04-02,7350,7430,7190,7390,400189,0.0054421768707482165
2015-04-03,7380,7460,7340,7430,417762,0.005412719891745521
2015-04-06,7490,7490,7270,7290,521951,-0.018842530282637937
2015-04-07,7370,7390,7280,7350,395766,0.008230452674897082
2015-04-08,7340,7400,7310,7370,314569,0.0027210884353741083
2015-04-09,7380,7400,7230,7230,614921,-0.018995929443690662
2015-04-10,7210,7390,7190,7360,555247,0.017980636237897585
2015-04-13,7300,7370,7260,7270,780464,-0.012228260869565188
2015-04-14,7290,7450,7260,7260,1293127,-0.0013755158184318717
2015-04-15,7300,7400,7290,7300,1321293,0.005509641873278293
2015-04-16,7340,7420,7330,7350,856741,0.006849315068493178
2015-04-17,7360,7450,7270,7280,953061,-0.00952380952380949
2015-04-20,7300,7370,7270,7280,878092,0.0
2015-04-21,7300,7450,7260,7350,1067441,0.009615384615384581
2015-04-22,7330,7550,7330,7460,1084283,0.014965986394557929
2015-04-23,7490,7770,7480,7660,1632412,0.02680965147453085
2015-04-24,7670,7800,7630,7700,1973364,0.005221932114882533
2015-04-27,7690,7780,7600,7760,759522,0.007792207792207684
2015-04-28,7800,7980,7790,7850,1310341,0.011597938144329856
