Date,Open,High,Low,Close,Volume,Change
2015-01-02,11850,11900,11200,11350,1246322,-0.03813559322033899
2015-01-05,11200,11450,10950,11400,1280258,0.004405286343612369
2015-01-06,11200,11350,11050,11050,900084,-0.030701754385964897
2015-01-07,11000,11400,11000,11200,856164,0.013574660633484115
2015-01-08,11300,11400,11250,11350,862475,0.013392857142857206
2015-01-09,11450,11700,11400,11500,1161775,0.013215859030837107
2015-01-12,11500,11700,11450,11550,616089,0.004347826086956497
2015-01-13,11550,11600,11250,11300,890303,-0.02164502164502169
2015-01-14,11350,11400,11100,11150,603111,-0.013274336283185861
2015-01-15,11200,11350,11150,11300,514052,0.013452914798206317
2015-01-16,11200,11250,10900,10900,900194,-0.03539823008849563
2015-01-19,11100,11550,11050,11500,1036364,0.05504587155963292
2015-01-20,11500,11650,11350,11400,781292,-0.008695652173912993
2015-01-21,11350,11400,11150,11250,866030,-0.013157894736842146
2015-01-22,11550,11950,11500,11950,2020729,0.06222222222222218
2015-01-23,12450,12550,11750,11800,2213300,-0.012552301255230103
2015-01-26,11800,11950,11600,11900,889003,0.008474576271186418
2015-01-27,11900,12500,11900,12500,1537048,0.050420168067226934
2015-01-28,12300,12550,12300,12500,984137,0.0
2015-01-29,12300,12500,12100,12400,955127,-0.008000000000000007
2015-01-30,12650,12700,12250,12300,725671,-0.008064516129032251
2015-02-02,12550,12950,12350,12450,1436043,0.012195121951219523
2015-02-03,12750,12850,12450,12500,1129125,0.004016064257028162
2015-02-04,12800,12850,12600,12650,1120471,0.01200000000000001
2015-02-05,12500,12550,12450,12550,793085,-0.007905138339920903
2015-02-06,12650,12700,12450,12650,690435,0.007968127490039834
2015-02-09,12750,13050,12650,13050,1435815,0.031620553359683834
2015-02-10,13150,13650,13100,13200,2160343,0.011494252873563315
2015-02-11,13300,13500,13000,13100,1021382,-0.007575757575757569
2015-02-12,13050,13100,12700,12750,850643,-0.026717557251908386
2015-02-13,12950,13200,12950,13200,930160,0.03529411764705892
2015-02-16,13400,13700,13200,13250,1512410,0.0037878787878788955
2015-02-17,13200,13350,13050,13200,692742,-0.0037735849056603765
2015-02-23,13300,13400,13100,13100,683051,-0.007575757575757569
2015-02-24,13000,13350,12900,13250,830663,0.011450381679389388
2015-02-25,13500,13700,13350,13600,1752579,0.026415094339622636
2015-02-26,13750,14150,13550,14150,2324757,0.040441176470588314
2015-02-27,14100,14400,14000,14100,1471646,-0.0035335689045936647
2015-03-02,14250,14900,14200,14750,4277815,0.046099290780141855
2015-03-03,14800,15100,14350,14750,2411222,0.0
2015-03-04,14850,15250,14750,14750,1823048,0.0
2015-03-05,14800,14900,14500,14650,1144698,-0.006779661016949157
2015-03-06,14900,16650,14850,16000,8861796,0.0921501706484642
2015-03-09,16250,16450,15900,16150,2933969,0.009374999999999911
2015-03-10,16250,16300,15400,15650,2419959,-0.03095975232198145
2015-03-11,15200,16100,15200,15850,1813327,0.012779552715654896
2015-03-12,15900,15950,15150,15150,2714420,-0.04416403785488954
2015-03-13,15400,15550,15000,15150,1417598,0.0
2015-03-16,14900,14950,14300,14400,2381231,-0.04950495049504955
2015-03-17,14500,14900,14300,14800,1652548,0.02777777777777768
2015-03-18,14800,15100,14600,15000,1670172,0.013513513513513598
2015-03-19,15300,15600,15200,15400,1542099,0.026666666666666616
2015-03-20,15300,15450,14900,15400,1018551,0.0
2015-03-23,15600,15750,15400,15400,906954,0.0
2015-03-24,15450,15800,15300,15500,727084,0.006493506493506551
2015-03-25,15550,15650,14750,14800,1193213,-0.04516129032258065
2015-03-26,14850,15250,14800,14950,1077663,0.010135135135135087
2015-03-27,15300,15350,14850,14900,630713,-0.0033444816053511683
2015-03-30,14900,14950,14450,14550,946343,-0.023489932885906062
