Date,Open,High,Low,Close,Volume,Change
2015-01-02,41950,42100,40700,40950,422447,-0.027315914489311144
2015-01-05,40950,41350,40000,41100,398187,0.00366300366300365
2015-01-06,40300,40800,39500,39500,577210,-0.038929440389294356
2015-01-07,39050,39600,38950,39050,410578,-0.011392405063291089
2015-01-08,39200,39550,39050,39050,318714,0.0
2015-01-09,39650,40100,39500,39700,484030,0.016645326504481472
2015-01-12,39650,40150,39350,39350,318897,-0.008816120906801062
2015-01-13,40500,40550,39050,39100,630124,-0.006353240152477735
2015-01-14,39250,39250,38800,38950,366251,-0.0038363171355498826
2015-01-15,39150,39200,38050,38100,554009,-0.02182284980744542
2015-01-16,38000,38100,36150,36400,919096,-0.044619422572178435
2015-01-19,37200,38150,36950,37900,914561,0.041208791208791284
2015-01-20,37750,39800,37750,39150,879815,0.03298153034300788
2015-01-21,39350,39450,38550,38950,376344,-0.005108556832694733
2015-01-22,39600,40550,39250,40300,740640,0.03465982028241332
2015-01-23,40800,41650,39300,41200,1011508,0.022332506203474045
2015-01-26,41500,42300,41250,42300,776008,0.02669902912621369
2015-01-27,42650,42850,41600,42400,580779,0.0023640661938533203
2015-01-28,41900,44200,41850,44100,964618,0.04009433962264142
2015-01-29,43850,44400,43100,44150,641197,0.0011337868480725266
2015-01-30,44450,44500,43500,43650,463814,-0.011325028312570762
2015-02-02,43950,45500,43600,44300,852880,0.014891179839633395
2015-02-03,45150,45150,42850,42950,611637,-0.030474040632054167
2015-02-04,44000,44450,43600,43600,419725,0.015133876600698537
2015-02-05,43300,43750,43050,43650,356565,0.0011467889908256534
2015-02-06,43650,43950,42550,42850,358107,-0.018327605956471982
2015-02-09,42450,44500,42450,44050,493788,0.028004667444574194
2015-02-10,44100,44600,43700,44100,346353,0.0011350737797957144
2015-02-11,44400,44450,43750,43900,380539,-0.0045351473922902175
2015-02-12,43700,43900,42100,42300,486435,-0.036446469248291535
2015-02-13,42450,43050,42350,42700,397833,0.009456264775413725
2015-02-16,43050,44800,43050,44100,564913,0.032786885245901676
2015-02-17,44600,45350,44200,45300,666745,0.027210884353741527
2015-02-23,46100,46900,46000,46700,752936,0.030905077262693093
2015-02-24,47000,47200,46350,46750,498248,0.0010706638115631772
2015-02-25,46750,48500,46750,48450,876706,0.036363636363636376
2015-02-26,48500,50100,47950,50000,1178320,0.031991744066047545
2015-02-27,50200,50500,49150,49400,648501,-0.01200000000000001
2015-03-02,50400,54200,50300,53900,1752873,0.09109311740890691
2015-03-03,54000,54700,51800,53000,921261,-0.016697588126159513
2015-03-04,52600,53900,51800,52900,755406,-0.0018867924528301883
2015-03-05,52700,54400,52400,53800,703241,0.017013232514177634
2015-03-06,53500,53800,52100,52900,611393,-0.016728624535315983
2015-03-09,52300,54100,52300,52700,765064,-0.003780718336483968
2015-03-10,53200,53300,50100,50700,711493,-0.0379506641366224
2015-03-11,49550,51000,49200,49900,766675,-0.015779092702169595
2015-03-12,49900,52000,49500,49500,913088,-0.008016032064128265
2015-03-13,50800,51100,49650,49650,479385,0.003030303030302939
2015-03-16,49750,49900,47600,47850,757083,-0.03625377643504535
2015-03-17,48000,50700,47850,50400,868887,0.053291536050156685
2015-03-18,50600,51500,49350,49800,741951,-0.011904761904761862
2015-03-19,51100,51500,50200,51500,635665,0.034136546184738936
2015-03-20,51600,51700,50000,50600,432518,-0.01747572815533982
2015-03-23,50800,51900,50500,51300,426562,0.01383399209486158
2015-03-24,51300,52100,50500,51700,470516,0.007797270955165692
2015-03-25,51500,52300,50800,51000,379620,-0.013539651837524147
2015-03-26,49950,50600,49450,49700,485005,-0.025490196078431393
2015-03-27,51000,51600,48800,49050,611589,-0.013078470824949728
2015-03-30,49550,50400,49450,50100,352871,0.021406727828746197
2015-03-31,50900,51000,50000,50400,321737,0.0059880239520957446
2015-04-01,49900,50600,48800,49200,527325,-0.023809523809523836
2015-04-02,49400,49600,48200,49200,385018,0.0
2015-04-03,50200,51100,49850,50800,576582,0.03252032520325199
2015-04-06,51700,55000,51200,54900,1731614,0.08070866141732291
2015-04-07,55400,56200,54300,55300,1086238,0.007285974499089187
2015-04-08,55800,56200,55100,56000,738739,0.012658227848101333
2015-04-09,55800,56000,54800,55600,578260,-0.0071428571428571175
2015-04-10,55600,57000,54500,55400,975119,-0.003597122302158251
2015-04-13,56500,58900,55800,58500,1155971,0.05595667870036092
2015-04-14,58400,58800,56900,58100,739436,-0.006837606837606813
2015-04-15,58800,59300,57800,58300,547399,0.0034423407917383297
2015-04-16,58800,59000,57800,58900,500069,0.010291595197255532
2015-04-17,59100,59300,57100,57300,663914,-0.02716468590831922
2015-04-20,56200,57900,56200,57200,552834,-0.0017452006980802626
2015-04-21,57700,58200,57100,57100,475206,-0.0017482517482517723
2015-04-22,58100,59400,56200,57300,701305,0.003502626970227629
2015-04-23,57500,58000,55900,56000,851913,-0.022687609075043635
2015-04-24,55900,57600,54700,55000,1287087,-0.017857142857142905
2015-04-27,55000,55300,52400,52900,1575739,-0.038181818181818206
2015-04-28,53000,53500,52200,53500,703145,0.011342155009451904
2015-04-29,53600,54000,51200,51800,965650,-0.03177570093457949
2015-04-30,51200,52100,50200,51900,668815,0.0019305019305020377
2015-05-04,52300,52400,51400,52000,320900,0.0019267822736031004
2015-05-06,51300,52000,51000,51300,473102,-0.013461538461538414
2015-05-07,51000,52800,50800,52800,477940,0.029239766081871288
2015-05-08,52600,52800,51700,52300,416355,-0.009469696969697017
2015-05-11,52700,53300,52000,52800,446553,0.009560229445506607
2015-05-12,52800,52900,52100,52200,228696,-0.011363636363636354
2015-05-13,52200,52800,52100,52400,259915,0.003831417624521105
2015-05-14,52200,53400,51700,52500,351143,0.001908396946564972
2015-05-15,53100,53400,50100,50100,863503,-0.04571428571428571
2015-05-18,50200,50500,48800,49100,774813,-0.019960079840319334
2015-05-19,49100,49250,48400,48550,732083,-0.011201629327902252
2015-05-20,48600,49450,48500,48950,514108,0.008238928939237944
2015-05-21,48650,48900,46850,46850,1041148,-0.04290091930541373
2015-05-22,47300,48350,47000,48000,638387,0.0245464247598719
2015-05-26,47700,47800,45000,45150,1577873,-0.059374999999999956
2015-05-27,45000,45850,44200,45450,1088210,0.006644518272425293
2015-05-28,45450,45650,44700,44700,796586,-0.01650165016501648
2015-05-29,44600,45250,44050,44250,768928,-0.010067114093959773
2015-06-01,43600,44100,43000,43850,515062,-0.009039548022598876
2015-06-02,43850,44450,42800,43000,589936,-0.019384264538198415
2015-06-03,43000,45150,42850,44800,662670,0.041860465116279055
2015-06-04,44800,44850,43350,43550,755759,-0.0279017857142857
2015-06-05,43650,45700,43450,45100,819370,0.03559127439724463
2015-06-08,45200,45550,44500,44750,549374,-0.0077605321507761005
2015-06-09,45500,46400,45100,45100,803192,0.007821229050279266
2015-06-10,45600,45700,44550,45400,569191,0.006651884700665134
2015-06-11,45700,46000,43900,45150,897522,-0.005506607929515406
2015-06-12,45150,46200,43700,43700,885289,-0.032115171650055396
2015-06-15,43650,44250,42850,43450,541540,-0.005720823798627039
2015-06-16,43200,43750,40950,41600,970619,-0.04257767548906788
2015-06-17,41600,42200,41300,41700,594926,0.0024038461538462563
2015-06-18,42050,42450,40950,41050,661074,-0.015587529976019199
2015-06-19,41250,41400,40200,40550,787059,-0.01218026796589522
2015-06-22,40500,41600,40500,41450,512595,0.022194821208384674
2015-06-23,41900,42500,41550,42500,593727,0.02533172496984326
2015-06-24,42950,43050,42000,42750,723625,0.00588235294117645
2015-06-25,42500,43050,41950,42300,690060,-0.010526315789473717
2015-06-26,41850,42100,41200,41400,575912,-0.021276595744680882
