Date,Open,High,Low,Close,Volume,Change
2015-01-02,18800,19100,18750,18950,109531,0.0
2015-01-05,19050,19100,18700,18850,62859,-0.00527704485488123
2015-01-06,18650,19000,18500,18700,127385,-0.007957559681697646
2015-01-07,18750,18750,18050,18100,179874,-0.03208556149732622
2015-01-08,18100,18400,18050,18400,66410,0.016574585635359185
2015-01-09,18450,18450,18000,18150,194929,-0.013586956521739135
2015-01-12,18000,18250,18000,18150,49192,0.0
2015-01-13,18050,19050,18050,18300,171763,0.008264462809917328
2015-01-14,18300,18350,17750,17800,182755,-0.02732240437158473
2015-01-15,17700,18000,17600,17750,146346,-0.002808988764044895
2015-01-16,17750,17950,17500,17600,120664,-0.008450704225352101
2015-01-19,17800,17900,17550,17800,149191,0.011363636363636465
2015-01-20,17800,17850,17550,17600,90659,-0.011235955056179803
2015-01-21,17600,17650,17300,17400,114184,-0.011363636363636354
2015-01-22,17400,17650,17300,17350,141252,-0.002873563218390829
2015-01-23,17500,17550,17300,17450,85234,0.0057636887608070175
2015-01-26,17450,17650,17350,17500,124238,0.002865329512893977
2015-01-27,17500,17850,17450,17550,118419,0.0028571428571428914
2015-01-28,17650,18450,17600,17800,402872,0.014245014245014342
2015-01-29,17800,17850,17400,17550,194220,-0.014044943820224698
2015-01-30,17600,17600,17200,17300,192572,-0.014245014245014231
2015-02-02,17250,17550,17100,17500,154499,0.011560693641618602
2015-02-03,17500,17500,17100,17300,260024,-0.011428571428571455
2015-02-04,17300,17450,17200,17400,125109,0.005780346820809301
2015-02-05,17400,17500,17100,17200,118625,-0.011494252873563204
2015-02-06,17200,17300,16900,17100,238769,-0.005813953488372103
2015-02-09,17050,17100,16850,16950,137387,-0.00877192982456143
2015-02-10,17000,17600,16950,17600,392075,0.03834808259587019
2015-02-11,17750,17900,17550,17800,285634,0.011363636363636465
2015-02-12,17650,17700,17400,17550,116968,-0.014044943820224698
2015-02-13,17900,18650,17900,18400,719257,0.04843304843304841
2015-02-16,18600,19050,18400,18650,409955,0.013586956521739024
2015-02-17,18650,18650,18100,18250,157773,-0.02144772117962468
2015-02-23,18450,18850,18450,18750,272399,0.027397260273972712
2015-02-24,18600,18700,18450,18700,112939,-0.002666666666666706
2015-02-25,18550,18700,18200,18300,198134,-0.021390374331550777
2015-02-26,18300,18600,18050,18350,256566,0.002732240437158362
2015-02-27,18400,18800,18300,18600,309672,0.013623978201634968
2015-03-02,18750,18750,18350,18450,149206,-0.008064516129032251
2015-03-03,18350,18650,18300,18600,230563,0.008130081300812941
2015-03-04,18600,18700,18350,18500,157681,-0.005376344086021501
2015-03-05,18550,18900,18500,18550,253353,0.002702702702702675
2015-03-06,18600,18650,18000,18050,311906,-0.02695417789757415
2015-03-09,18050,18150,17800,17900,206872,-0.008310249307479256
2015-03-10,18000,18300,17850,18050,325667,0.008379888268156499
2015-03-11,18100,18100,17750,17850,237288,-0.011080332409972304
2015-03-12,17950,18550,17850,18450,292967,0.03361344537815136
2015-03-13,18550,18900,18450,18500,315047,0.0027100271002709064
2015-03-16,18700,18800,18450,18600,163249,0.00540540540540535
2015-03-17,18800,18800,18400,18550,129659,-0.0026881720430107503
2015-03-18,18700,18700,18300,18600,234793,0.0026954177897573484
2015-03-19,18650,18700,18250,18350,231924,-0.013440860215053752
2015-03-20,18350,18700,18050,18450,421203,0.005449591280654031
2015-03-23,18550,18650,18400,18500,167611,0.0027100271002709064
2015-03-24,18550,19200,18500,19100,294384,0.03243243243243232
2015-03-25,19050,19650,19050,19400,338325,0.015706806282722585
2015-03-26,19400,19450,19150,19150,137617,-0.012886597938144284
2015-03-27,19150,19250,18800,19050,151574,-0.005221932114882533
2015-03-30,19050,19550,19000,19550,179510,0.026246719160105014
2015-03-31,19800,19800,19200,19550,358824,0.0
2015-04-01,19350,19700,19250,19450,139948,-0.005115089514066473
2015-04-02,19450,19550,19250,19250,60141,-0.010282776349614386
2015-04-03,19250,19400,18950,19250,170763,0.0
2015-04-06,19150,19250,18950,19000,131709,-0.012987012987012991
2015-04-07,19150,19600,19000,19600,148867,0.03157894736842115
2015-04-08,19550,19600,19150,19200,205814,-0.020408163265306145
2015-04-09,19150,19250,18700,18950,243089,-0.01302083333333337
2015-04-10,18950,19000,18550,18650,362623,-0.0158311345646438
2015-04-13,18800,19350,18750,19100,307922,0.024128686327077764
2015-04-14,19000,19600,19000,19550,255746,0.023560209424083878
2015-04-15,19550,19750,19100,19300,253610,-0.012787723785166238
2015-04-16,19150,19200,18600,18800,414222,-0.025906735751295318
2015-04-17,18800,19000,18600,18750,191917,-0.0026595744680850686
2015-04-20,18700,18700,18350,18450,255018,-0.016000000000000014
2015-04-21,18650,19050,18500,19000,240884,0.02981029810298108
2015-04-22,18900,19250,18200,18500,307825,-0.02631578947368418
2015-04-23,18600,18750,18300,18600,223109,0.00540540540540535
2015-04-24,18450,18600,18250,18400,174372,-0.010752688172043001
2015-04-27,18500,18650,18350,18450,146119,0.0027173913043478937
2015-04-28,18450,18550,18300,18450,96684,0.0
2015-04-29,18500,18900,18450,18900,244945,0.024390243902439046
2015-04-30,18800,19000,18750,18950,160977,0.002645502645502562
2015-05-04,19050,19050,18650,18850,174101,-0.00527704485488123
2015-05-06,18850,18950,18600,18900,250788,0.0026525198938991412
2015-05-07,18900,18900,18450,18600,137017,-0.015873015873015928
2015-05-08,18600,18700,18400,18550,223467,-0.0026881720430107503
2015-05-11,18600,19250,18500,19200,242702,0.03504043126684642
2015-05-12,19200,19350,19000,19200,189769,0.0
2015-05-13,19650,20700,19600,20300,1139803,0.05729166666666674
2015-05-14,20400,22500,20350,22050,1568399,0.0862068965517242
2015-05-15,21850,22250,21500,21950,765762,-0.0045351473922902175
2015-05-18,21950,22500,21700,22100,511111,0.006833712984054774
2015-05-19,22300,22500,21500,21800,313317,-0.013574660633484115
2015-05-20,21800,21800,21100,21200,521947,-0.02752293577981646
2015-05-21,21450,21550,21000,21250,293357,0.002358490566037652
2015-05-22,21250,21350,20800,21100,388749,-0.007058823529411784
2015-05-26,21050,21100,20450,20550,431318,-0.026066350710900466
2015-05-27,20500,21050,20100,21000,341999,0.021897810218978186
2015-05-28,21050,21100,20150,20400,427241,-0.02857142857142858
2015-05-29,20500,20550,19850,19850,308696,-0.026960784313725505
2015-06-01,19750,20150,19750,20050,224985,0.010075566750629816
2015-06-02,20150,20150,18850,19150,523857,-0.04488778054862841
2015-06-03,19150,19600,18950,19100,353991,-0.0026109660574412663
2015-06-04,19150,19600,19100,19500,346800,0.020942408376963373
2015-06-05,19550,20150,19250,20000,403629,0.02564102564102555
2015-06-08,20000,20100,19150,19550,369053,-0.022499999999999964
2015-06-09,19550,19850,19400,19800,170643,0.01278772378516635
2015-06-10,19900,20050,19450,19700,254054,-0.005050505050505083
2015-06-11,19900,20400,19750,20400,396824,0.035532994923857864
2015-06-12,20500,20700,20150,20400,354253,0.0
2015-06-15,20450,21100,20150,20400,324177,0.0
2015-06-16,20650,20800,20150,20400,404490,0.0
2015-06-17,20350,21400,20250,20550,416001,0.007352941176470562
2015-06-18,20950,20950,20250,20400,245180,-0.007299270072992692
2015-06-19,20300,21100,20300,20950,227671,0.026960784313725394
2015-06-22,21400,21450,20200,20300,265750,-0.031026252983293534
2015-06-23,20400,21150,20400,21050,429416,0.03694581280788167
2015-06-24,21150,21400,21000,21100,165926,0.002375296912114022
2015-06-25,21100,21350,20800,21200,135048,0.004739336492890933
2015-06-26,21300,21400,20900,21000,177434,-0.009433962264150941
2015-06-29,20500,21250,20350,20950,233229,-0.0023809523809523725
2015-06-30,21000,21200,20550,21100,230032,0.007159904534606243
2015-07-01,20950,21200,20600,20650,141854,-0.021327014218009532
2015-07-02,20600,20850,20100,20700,348468,0.002421307506053294
2015-07-03,20900,21000,20300,20700,147954,0.0
2015-07-06,20600,20750,20250,20250,166930,-0.021739130434782594
2015-07-07,20550,20600,20100,20350,167286,0.004938271604938205
2015-07-08,20350,20350,19650,19950,190532,-0.019656019656019708
2015-07-09,19700,20050,19350,19600,192034,-0.01754385964912286
2015-07-10,19650,20150,19650,20150,164887,0.028061224489795977
2015-07-13,20100,20450,19750,20300,160114,0.007444168734491274
2015-07-14,20450,20850,20300,20800,184393,0.024630541871921263
2015-07-15,20900,21100,20550,21100,171681,0.014423076923076872
2015-07-16,21250,21850,21000,21300,401896,0.009478672985782088
2015-07-17,21100,22050,21100,21750,759809,0.021126760563380254
2015-07-20,21800,23000,21700,22600,597362,0.03908045977011487
2015-07-21,22800,25000,22300,24050,1035096,0.06415929203539816
2015-07-22,23700,23700,22950,23250,300071,-0.033264033264033266
2015-07-23,23450,24000,22600,23900,444514,0.027956989247311936
2015-07-24,23700,23900,23000,23250,259215,-0.027196652719665315
2015-07-27,23300,24250,23000,23650,322979,0.017204301075268713
2015-07-28,23100,23350,22400,22850,334628,-0.03382663847780132
2015-07-29,22900,24400,22850,23800,456195,0.04157549234135671
2015-07-30,23800,24950,23700,24000,365548,0.008403361344537785
2015-07-31,23900,24400,23050,24150,343996,0.006250000000000089
2015-08-03,24250,25250,23850,24200,407172,0.0020703933747412417
2015-08-04,24400,24500,23700,23750,330098,-0.018595041322314043
2015-08-05,23800,25400,23800,24700,614556,0.040000000000000036
2015-08-06,24700,25850,24300,25650,508423,0.03846153846153855
2015-08-07,25700,26400,25450,25650,339041,0.0
2015-08-10,25550,26650,25550,26350,600730,0.02729044834308003
2015-08-11,26900,27050,25950,26200,719566,-0.005692599620493399
2015-08-12,26050,26050,24400,25150,531343,-0.040076335877862634
2015-08-13,25150,25600,24700,25450,264332,0.011928429423459175
2015-08-17,25850,25850,24750,25250,260644,-0.007858546168958758
2015-08-18,25100,25200,23950,24550,446442,-0.027722772277227747
2015-08-19,24750,26350,24600,25200,1540352,0.026476578411405383
2015-08-20,25400,26300,25350,25600,808577,0.015873015873015817
2015-08-21,24400,25250,24000,24600,531059,-0.0390625
2015-08-24,24300,25000,23600,23850,430425,-0.030487804878048808
2015-08-25,24000,24300,23250,24000,488898,0.0062893081761006275
2015-08-26,24000,26800,23600,25500,903709,0.0625
2015-08-27,26000,28500,25800,27500,1312349,0.07843137254901955
2015-08-28,28000,28100,26700,28000,1039120,0.018181818181818077
2015-08-31,27950,28050,26700,27300,1967862,-0.025000000000000022
2015-09-01,27350,27550,26150,26150,798355,-0.042124542124542086
2015-09-02,25500,26600,25150,26350,969683,0.007648183556405286
2015-09-03,26350,26850,25900,25900,472234,-0.017077798861480087
2015-09-04,25750,26350,24550,24700,459014,-0.04633204633204635
2015-09-07,24800,25400,24250,25050,370598,0.014170040485830038
2015-09-08,25150,25650,24150,24300,344018,-0.029940119760479056
2015-09-09,24650,25200,24450,25000,389238,0.028806584362139898
2015-09-10,24800,25450,24450,25450,418849,0.018000000000000016
2015-09-11,25150,25300,24700,25000,417588,-0.017681728880157177
2015-09-14,25100,25400,24350,24350,266148,-0.026000000000000023
2015-09-15,24550,26250,24400,25950,559075,0.06570841889117052
2015-09-16,26250,26500,25500,25750,663011,-0.0077071290944122905
2015-09-17,26100,26650,25700,25850,875602,0.003883495145631022
