Date,Open,High,Low,Close,Volume,Change
2015-01-02,123000,124500,121500,123500,58528,0.004065040650406582
2015-01-05,123000,124000,120500,121500,74317,-0.01619433198380571
2015-01-06,121000,121000,111000,116000,307784,-0.04526748971193417
2015-01-07,114000,118000,114000,117000,80952,0.008620689655172376
2015-01-08,117000,120500,117000,118500,98174,0.012820512820512775
2015-01-09,119000,120500,118000,120000,62640,0.012658227848101333
2015-01-12,120000,120500,117500,119000,71115,-0.008333333333333304
2015-01-13,118000,119000,116500,118000,75066,-0.008403361344537785
2015-01-14,121000,123500,120000,122000,185053,0.03389830508474567
2015-01-15,121000,123500,120500,121500,60223,-0.004098360655737654
2015-01-16,121500,122000,118500,120000,82894,-0.012345679012345734
2015-01-19,120500,122500,119500,120500,56236,0.004166666666666652
2015-01-20,121000,123000,121000,122000,66874,0.012448132780082943
2015-01-21,122500,122500,116500,118500,112218,-0.02868852459016391
2015-01-22,118000,118000,115000,117500,116732,-0.008438818565400852
2015-01-23,118000,120500,117500,118500,70071,0.008510638297872353
2015-01-26,119500,120500,117500,119500,55370,0.00843881856540074
2015-01-27,120500,121500,120000,120000,43517,0.004184100418409997
2015-01-28,120000,121000,118000,119500,39571,-0.004166666666666652
2015-01-29,118500,125000,118000,120500,184863,0.008368200836819994
2015-01-30,121500,122500,119000,119500,77835,-0.008298755186721962
2015-02-02,120000,124000,120000,122000,80436,0.02092050209205021
2015-02-03,122000,125000,122000,124000,111777,0.016393442622950838
2015-02-04,125000,134000,124500,132500,358475,0.06854838709677424
2015-02-05,131500,134000,129500,132500,129142,0.0
2015-02-06,131000,132500,129500,131000,116924,-0.01132075471698113
2015-02-09,132000,132500,128500,131000,108421,0.0
2015-02-10,133000,135500,129000,130000,94136,-0.007633587786259555
2015-02-11,132000,135500,130500,130500,139102,0.0038461538461538325
2015-02-12,131500,133000,128000,129000,109842,-0.011494252873563204
2015-02-13,129000,132500,128000,132500,82378,0.027131782945736482
2015-02-16,131500,132000,126500,128000,125179,-0.03396226415094339
2015-02-17,128500,130500,127000,129000,51003,0.0078125
2015-02-23,130000,132000,129500,129500,46683,0.003875968992248069
2015-02-24,129000,131500,128000,130500,45393,0.007722007722007707
2015-02-25,131000,134500,129500,134000,105145,0.026819923371647514
2015-02-26,134500,136000,132500,134000,100500,0.0
2015-02-27,134500,136000,131000,134000,69501,0.0
2015-03-02,133000,135500,132500,133500,64759,-0.003731343283582045
2015-03-03,132500,138500,131000,137500,155951,0.029962546816479474
2015-03-04,136000,138000,134500,137000,91335,-0.0036363636363636598
2015-03-05,135000,137000,134000,134500,50493,-0.018248175182481785
2015-03-06,134000,139500,134000,139500,118967,0.037174721189590976
2015-03-09,139500,147000,138500,146000,197621,0.04659498207885315
2015-03-10,145000,147500,142000,147000,179416,0.006849315068493178
2015-03-11,144500,146500,141000,142000,113211,-0.03401360544217691
2015-03-12,142000,142500,138000,138500,158352,-0.02464788732394363
2015-03-13,140000,140000,137500,138500,53138,0.0
2015-03-16,139500,141500,135000,136500,122414,-0.014440433212996373
2015-03-17,137500,144000,137000,143000,141458,0.04761904761904767
2015-03-18,146000,149000,144000,144500,161685,0.010489510489510412
2015-03-19,146000,149000,145000,147500,138177,0.02076124567474058
2015-03-20,146500,148000,143500,145500,57385,-0.013559322033898313
2015-03-23,146000,148000,142500,144000,110260,-0.010309278350515427
2015-03-24,144000,147500,144000,145500,54025,0.01041666666666674
2015-03-25,144500,150000,144000,149000,116217,0.02405498281786933
2015-03-26,149000,149000,144500,146000,64556,-0.020134228187919434
2015-03-27,147500,151000,146500,148500,113062,0.017123287671232834
2015-03-30,148000,152000,146500,150000,85414,0.010101010101010166
2015-03-31,150500,151000,147500,149000,69003,-0.00666666666666671
2015-04-01,150500,152500,149000,149500,89024,0.003355704697986628
2015-04-02,149500,154000,149500,151000,112611,0.010033444816053505
2015-04-03,151500,153500,149000,151000,95428,0.0
2015-04-06,150000,151000,147000,148500,85357,-0.01655629139072845
2015-04-07,147500,150000,142500,145500,135792,-0.02020202020202022
2015-04-08,144000,146500,141000,146000,123456,0.0034364261168384758
2015-04-09,143000,146000,143000,144500,118917,-0.010273972602739767
2015-04-10,144000,150500,144000,148500,99505,0.02768166089965396
2015-04-13,147500,149500,143000,147000,123237,-0.010101010101010055
2015-04-14,145000,153000,145000,151500,127088,0.030612244897959107
2015-04-15,154500,156000,151000,152500,101017,0.0066006600660066805
2015-04-16,157000,159000,153500,156500,116960,0.026229508196721207
2015-04-17,157000,158000,154000,154500,128267,-0.012779552715655007
2015-04-20,155000,155500,149000,150500,83154,-0.02588996763754048
2015-04-21,149500,150000,145500,146500,115895,-0.02657807308970095
2015-04-22,146000,148500,145500,147000,69098,0.0034129692832765013
2015-04-23,147000,153500,146500,153000,90073,0.04081632653061229
2015-04-24,153000,153000,147500,149500,77177,-0.022875816993464082
2015-04-27,150000,153000,149000,150000,75263,0.0033444816053511683
2015-04-28,150000,153000,148500,149000,74573,-0.00666666666666671
2015-04-29,150500,151000,143500,147000,74308,-0.01342281879194629
2015-04-30,146000,147500,143500,146000,73206,-0.006802721088435382
2015-05-04,148000,152000,146000,150000,64294,0.027397260273972712
2015-05-06,151500,152000,143000,146000,92967,-0.026666666666666616
2015-05-07,145000,145500,140500,144000,60944,-0.013698630136986356
2015-05-08,144000,145500,143000,143500,43709,-0.00347222222222221
2015-05-11,143000,144000,139500,141500,112248,-0.013937282229965153
2015-05-12,141500,145000,141000,143500,41040,0.014134275618374659
2015-05-13,142000,155500,142000,154000,126568,0.07317073170731714
2015-05-14,153000,168500,153000,166000,196734,0.07792207792207795
2015-05-15,166500,177000,162500,166500,128287,0.003012048192771122
2015-05-18,165000,168500,161000,163000,86823,-0.02102102102102099
2015-05-19,161500,165000,159000,163000,82802,0.0
2015-05-20,161000,164500,158500,163500,83218,0.0030674846625766694
2015-05-21,162000,169000,162000,164500,87074,0.006116207951070374
2015-05-22,164500,165000,157500,163500,71218,-0.006079027355623046
2015-05-26,162000,162500,155000,155500,90457,-0.04892966360856266
2015-05-27,154000,157500,152000,156000,71918,0.003215434083601254
2015-05-28,155000,160000,153500,158000,111578,0.012820512820512775
2015-05-29,156000,161000,151500,153000,93540,-0.03164556962025311
