Date,Open,High,Low,Close,Volume,Change
2015-01-02,57188,58028,54576,54577,340032,0.0068999870855857015
2015-01-05,53643,55976,52524,55603,221207,0.018799127837733742
2015-01-06,54576,55602,53550,53737,165438,-0.03355934032336383
2015-01-07,52804,54483,52151,53457,231802,-0.005210562554664344
2015-01-08,53457,56629,52897,56443,291150,0.05585797931047387
2015-01-09,56908,58121,55789,56629,227450,0.003295359920627794
2015-01-12,55976,57748,54576,56536,191247,-0.0016422680958519953
2015-01-13,57375,57375,55882,56722,128379,0.0032899391538134815
2015-01-14,56908,58401,56162,57469,220084,0.013169493318289094
2015-01-15,57002,57468,55602,55603,194647,-0.032469679305364596
2015-01-16,54856,56629,53737,55696,158368,0.0016725716238332744
2015-01-19,55602,57188,55602,56163,121416,0.008384803217466263
2015-01-20,56442,58401,55789,56536,221541,0.006641383116998689
2015-01-21,57095,57468,54949,55043,148664,-0.02640795245507288
2015-01-22,54763,56349,54576,56069,148898,0.01863997238522619
2015-01-23,56815,56815,55229,55323,113324,-0.013305034867752252
2015-01-26,55043,56255,55043,55789,72079,0.008423259765377944
2015-01-27,56255,57655,55509,57655,201049,0.03344745379913605
2015-01-28,57375,59054,57002,58588,197260,0.016182464660480456
2015-01-29,58121,59987,57655,59148,248842,0.009558271318358624
2015-01-30,59987,61760,59894,60641,255133,0.02524176641644682
2015-02-02,61293,61946,60080,60174,187368,-0.00770106033871476
2015-02-03,60267,60640,58121,58682,188769,-0.02479476185728058
2015-02-04,59148,59707,58028,58682,130757,0.0
2015-02-05,59054,59054,57562,57655,109384,-0.017501107665042093
2015-02-06,57935,58494,57188,58215,113611,0.00971294770618325
2015-02-09,58681,58681,55322,55883,164292,-0.04005840419135964
2015-02-10,56629,57188,56069,56722,103032,0.015013510369879857
2015-02-11,55976,58588,55976,57842,120066,0.019745425055534005
2015-02-12,57841,59148,57282,58961,134533,0.0193458040869956
2015-02-13,59241,59707,58028,58308,100311,-0.011075117450518146
2015-02-16,58308,60080,57002,59801,152409,0.025605405776222723
2015-02-17,59801,60454,58588,59708,101070,-0.0015551579405026494
2015-02-23,59521,61760,59241,61480,197322,0.02967776512360154
2015-02-24,61293,62973,61013,62320,167749,0.013662979830839195
2015-02-25,62879,63812,62226,62973,150640,0.010478177150192503
2015-02-26,64372,66424,63439,66145,310040,0.05037079383227727
2015-02-27,66145,66518,65118,65865,149215,-0.004233124196840299
2015-03-02,65398,65678,63346,64839,182306,-0.015577317239808708
2015-03-03,64465,65771,63532,63999,134326,-0.01295516587239165
2015-03-04,63999,64652,62506,63253,187066,-0.011656432131752048
2015-03-05,62693,63812,62040,62973,94870,-0.004426667509841442
2015-03-06,63346,63439,61853,62227,112575,-0.011846346847061429
2015-03-09,62133,64185,61666,63626,126235,0.022482202259469286
2015-03-10,64185,64559,62133,62133,124310,-0.02346525005500899
2015-03-11,61200,61666,59614,59708,204774,-0.03902917934109085
2015-03-12,58774,59707,56349,56349,460573,-0.05625711797414079
2015-03-13,55976,61573,53083,60081,930334,0.06623010168769627
2015-03-16,60920,63346,60080,62227,218770,0.03571844676353586
2015-03-17,61573,62973,60640,62133,168084,-0.0015105982933453221
2015-03-18,62226,62506,59427,59708,141924,-0.03902917934109085
2015-03-19,59707,61573,59614,60454,150302,0.012494138138942956
2015-03-20,61293,65305,60920,64372,344647,0.06480960730472751
2015-03-23,65398,68104,65305,67078,339909,0.042036910457962984
2015-03-24,66424,68663,64559,66425,261537,-0.009734935448284077
2015-03-25,66424,66611,62973,63160,341676,-0.04915318027850957
2015-03-26,62693,64652,61293,61854,304381,-0.020677644078530677
2015-03-27,62133,66611,60547,64932,489800,0.0497623435832768
2015-03-30,64745,66891,61666,66518,303601,0.024425552886096158
2015-03-31,67637,73235,67637,72489,551235,0.08976517634324543
2015-04-01,73235,75754,71929,72209,318960,-0.003862655023520789
2015-04-02,72675,76034,71276,73702,278862,0.020676093007796714
2015-04-03,72768,75567,71835,73702,211255,0.0
2015-04-06,74634,79299,74634,77900,306672,0.05695910558736528
2015-04-07,78832,79859,74354,75754,261271,-0.027548138639281183
2015-04-08,76873,79579,76127,76501,250400,0.009860865432848476
2015-04-09,76967,79299,76220,78366,184746,0.024378766290636733
2015-04-10,79299,79765,76593,76874,180323,-0.019038868897225836
2015-04-13,79112,79299,76967,77434,162149,0.007284647605172001
2015-04-14,77526,78366,74634,75288,176820,-0.02771392411602136
2015-04-15,74914,79206,73421,77807,246019,0.03345818722771221
2015-04-16,77806,79019,76873,77434,110090,-0.0047939131440616345
2015-04-17,78739,80978,77620,78740,206932,0.01686597618617136
2015-04-20,78646,78646,76127,77154,147240,-0.020142240284480528
2015-04-21,77526,81165,76127,80885,233557,0.04835782979495562
2015-04-22,81071,81911,75101,77620,274700,-0.040365951659763866
2015-04-23,77993,78553,73235,74821,436299,-0.0360602937387271
2015-04-24,73795,74728,68850,69410,595912,-0.0723192686545221
2015-04-27,68757,71742,68757,68851,402794,-0.008053594582913104
2015-04-28,69503,71182,68943,69877,268457,0.014901744346487389
2015-04-29,70716,70996,66051,66985,413054,-0.04138700860082711
2015-04-30,62506,72209,61107,71276,1196600,0.06405911771292083
2015-05-04,71276,71649,67171,67918,244806,-0.047112632583197755
2015-05-06,67264,69596,65025,66985,162736,-0.013737153626431908
2015-05-07,66424,68570,65585,67824,119265,0.01252519220721049
2015-05-08,67357,68477,64279,67265,301864,-0.00824192026421322
2015-05-11,66331,69503,66331,68197,121175,0.013855645580911347
2015-05-12,68197,68384,65305,65305,164967,-0.042406557473202655
2015-05-13,64745,68290,64745,66798,149726,0.022861955439859027
2015-05-14,66518,67077,64185,65772,265488,-0.015359741309620034
2015-05-15,66611,66704,64185,64279,164169,-0.02269962902146805
2015-05-18,65771,69690,64932,69504,407752,0.08128626767684621
2015-05-19,69037,69596,67637,69130,155290,-0.00538098526703501
2015-05-20,69037,71182,67824,68291,127157,-0.012136554317951687
2015-05-21,68197,73515,68010,72116,490623,0.056010308825467536
2015-05-22,73048,73981,70063,71090,166612,-0.014227078595596021
2015-05-26,70343,71742,69317,69504,107841,-0.02230974820649878
2015-05-27,68570,71649,68570,71463,144117,0.02818542817679548
2015-05-28,70903,72115,69783,71463,118681,0.0
2015-05-29,71369,72768,70063,72769,146110,0.018275191357765452
2015-06-01,73608,77153,71835,76874,319720,0.05641138396844814
2015-06-02,76500,78459,74634,75194,198173,-0.021853942815516336
2015-06-03,76314,77713,75101,75568,183799,0.0049738011011517536
2015-06-04,76500,76967,73701,74541,143117,-0.01359040863857719
2015-06-05,74728,75101,72582,74262,150370,-0.0037429065883205492
2015-06-08,74168,79019,73048,77900,337794,0.04898871562845053
2015-06-09,79900,82600,78600,80300,235316,0.030808729139923052
2015-06-10,82200,82200,77300,78100,154415,-0.0273972602739726
2015-06-11,78200,81300,77300,81300,141675,0.04097311139564663
2015-06-12,80400,81900,79000,79700,129940,-0.019680196801967975
2015-06-15,79800,82600,78000,82200,137120,0.031367628607277265
2015-06-16,81800,82300,79200,80600,102466,-0.019464720194647178
2015-06-17,81200,81500,78700,80800,77358,0.002481389578163684
2015-06-18,82100,84900,80200,80200,181504,-0.007425742574257432
2015-06-19,81000,82800,79700,81500,92103,0.016209476309226867
2015-06-22,81300,82600,80600,80700,71719,-0.009815950920245453
2015-06-23,83700,83700,80200,80700,135433,0.0
2015-06-24,81000,81000,78000,79800,182553,-0.01115241635687736
2015-06-25,80400,80400,78400,79300,146807,-0.006265664160400974
2015-06-26,79000,79000,77000,77400,298101,-0.023959646910466592
2015-06-29,75600,77600,75600,75600,181025,-0.023255813953488413
2015-06-30,75200,75700,73900,75500,330053,-0.001322751322751281
2015-07-01,74600,78300,72900,77200,427705,0.02251655629139071
2015-07-02,77900,81500,76300,81000,397507,0.04922279792746109
2015-07-03,81000,81600,79800,81400,129890,0.004938271604938205
2015-07-06,80200,81000,76400,77500,167420,-0.04791154791154795
2015-07-07,78100,79800,77000,77800,116025,0.003870967741935516
2015-07-08,78900,78900,76300,76500,105659,-0.016709511568123392
2015-07-09,76400,78000,72800,77000,148003,0.006535947712418277
2015-07-10,77700,80800,76000,78600,173299,0.020779220779220786
2015-07-13,79100,84400,77500,83400,253619,0.06106870229007644
2015-07-14,84300,88100,84100,86900,389301,0.04196642685851315
2015-07-15,87300,87900,85100,86200,131889,-0.008055235903337121
2015-07-16,85600,89000,84800,87200,182801,0.011600928074245953
2015-07-17,86800,88500,83500,84100,144650,-0.03555045871559637
2015-07-20,84200,84900,80500,82000,167260,-0.024970273483947647
2015-07-21,82500,85500,81100,85400,163192,0.04146341463414638
2015-07-22,85200,86800,83900,86000,119105,0.007025761124121788
2015-07-23,85600,87800,83700,86700,119339,0.008139534883720989
2015-07-24,86100,87500,83400,84000,85617,-0.03114186851211076
