Date,Open,High,Low,Close,Volume,Change
2015-01-02,63700,65000,63600,64500,276336,0.015748031496062964
2015-01-05,64800,65800,62900,65200,310192,0.010852713178294504
2015-01-06,64400,65100,63100,63400,272456,-0.027607361963190136
2015-01-07,63300,63900,63000,63400,293495,0.0
2015-01-08,64100,65500,63800,65100,422177,0.02681388012618302
2015-01-09,66300,68700,66100,67700,707733,0.03993855606758823
2015-01-12,67100,68200,67100,67800,206545,0.001477104874446189
2015-01-13,69800,69800,67900,68800,513808,0.014749262536873253
2015-01-14,68700,68900,67300,67600,208038,-0.01744186046511631
2015-01-15,66900,67000,65700,66600,292772,-0.014792899408283988
2015-01-16,66600,66800,65600,66500,200034,-0.0015015015015015232
2015-01-19,67100,68000,67000,67200,227541,0.010526315789473717
2015-01-20,67200,68000,67000,67000,176791,-0.0029761904761904656
2015-01-21,67100,67600,65800,66200,196498,-0.011940298507462699
2015-01-22,66700,67500,65800,66400,254630,0.0030211480362538623
2015-01-23,67800,68400,66000,66500,230026,0.001506024096385561
2015-01-26,66100,66100,63500,64100,551556,-0.03609022556390973
2015-01-27,64600,64800,63500,64300,360008,0.0031201248049921304
2015-01-28,64100,65600,64000,65300,305204,0.015552099533437058
2015-01-29,65300,66000,64500,65300,236519,0.0
2015-01-30,67800,68000,65800,65900,808021,0.009188361408882129
2015-02-02,66300,67400,66300,67100,345765,0.018209408194233667
2015-02-03,67900,68000,66500,67000,287417,-0.0014903129657227732
2015-02-04,67700,68500,67500,67900,347863,0.013432835820895495
2015-02-05,68000,68000,66400,66600,230595,-0.019145802650957333
2015-02-06,67300,67400,66000,67000,234766,0.006006006006006093
2015-02-09,66700,67000,64600,65000,426665,-0.02985074626865669
2015-02-10,65100,65800,64700,65000,229165,0.0
2015-02-11,65300,66700,64900,66400,299318,0.021538461538461506
2015-02-12,66800,67300,65700,67200,311483,0.012048192771084265
2015-02-13,67000,67300,65900,66500,151249,-0.01041666666666663
2015-02-16,66600,66900,65900,66400,168521,-0.0015037593984962294
2015-02-17,66400,66400,65500,66100,184624,-0.004518072289156572
2015-02-23,66100,66500,65300,65700,268934,-0.006051437216338829
2015-02-24,65400,66200,65300,66000,212232,0.004566210045662045
2015-02-25,66500,67900,66400,67400,396398,0.021212121212121238
2015-02-26,67400,69100,66900,68900,521924,0.022255192878338326
2015-02-27,68900,69000,67000,67000,416399,-0.027576197387518153
2015-03-02,67900,70400,67700,70000,772952,0.04477611940298498
2015-03-03,71200,72700,70000,72000,892499,0.02857142857142847
2015-03-04,71600,72000,70200,70300,455434,-0.023611111111111138
2015-03-05,70800,72100,70400,71000,257227,0.009957325746799528
2015-03-06,71200,71500,70300,70800,243186,-0.0028169014084507005
2015-03-09,70500,70800,68800,69300,481313,-0.021186440677966156
2015-03-10,69600,70500,68200,69800,455081,0.00721500721500723
2015-03-11,70300,71600,70000,71100,660600,0.018624641833810962
2015-03-12,70900,71000,68600,68700,661722,-0.03375527426160341
