Date,Open,High,Low,Close,Volume,Change
2015-01-02,104467,105375,101741,101743,261452,-0.026084542635065322
2015-01-05,100833,101287,97200,97655,453040,-0.040179668380134315
2015-01-06,95383,95383,93112,93112,553359,-0.04652091546771797
2015-01-07,92203,96291,92203,93112,438027,0.0
2015-01-08,93112,94474,90295,90297,659978,-0.030232408282498513
2015-01-09,92203,93566,90841,91295,407301,0.011052415916364966
2015-01-12,91295,92203,90750,90842,237419,-0.004961936579221171
2015-01-13,90841,92203,90114,90842,283249,0.0
2015-01-14,91295,91749,89024,89569,482165,-0.014013341846282557
2015-01-15,88297,90295,87843,87844,374785,-0.01925889537674863
2015-01-16,87207,88115,86207,86300,305081,-0.01757661308683578
2015-01-19,87207,94474,87207,94021,517709,0.08946697566628048
2015-01-20,94474,99017,92657,93112,403944,-0.009668052881802947
2015-01-21,92657,93112,90841,92204,242150,-0.009751696881175387
2015-01-22,93566,97200,93566,95384,302922,0.03448874235391086
2015-01-23,99470,99925,92203,93567,475510,-0.01904931644720287
2015-01-26,92657,95383,91295,94021,219964,0.004852138040120968
2015-01-27,94929,98108,94474,96292,271473,0.024154178321864173
2015-01-28,95836,105829,95383,104468,674517,0.08490840360569929
2015-01-29,102650,105375,100833,104013,442096,-0.004355400696864131
2015-01-30,106284,106738,100379,102651,462103,-0.013094517031524866
2015-02-02,105829,109009,105375,108101,619501,0.053092517364662806
2015-02-03,110372,111734,107192,109918,389906,0.016808355149350973
2015-02-04,113551,119001,108101,108101,879892,-0.01653050455794325
2015-02-05,107646,109917,105829,107193,412414,-0.008399552270561772
2015-02-06,108555,109463,107192,109010,196381,0.01695073372328415
2015-02-09,108101,114459,107646,112189,454205,0.029162462159434854
2015-02-10,112642,116276,109009,109464,424583,-0.02428936883295152
2015-02-11,109917,114005,109917,111735,264980,0.02074654680991017
2015-02-12,113097,115822,111280,114006,522914,0.02032487582225806
2015-02-13,113551,113551,107192,108101,714567,-0.051795519534059586
2015-02-16,109463,110372,105829,106739,286214,-0.012599328405842658
2015-02-17,108101,110372,107192,108556,285318,0.01702283139246208
2015-02-23,109009,110372,106738,107648,265746,-0.008364346512399146
2015-02-24,107192,107646,100833,101288,782878,-0.0590814506539834
2015-02-25,101741,105375,101287,104013,453847,0.02690348313719304
2015-02-26,104921,110372,104467,110372,705014,0.06113658869564387
2015-02-27,109463,111280,108555,109010,337719,-0.012340086253760041
2015-03-02,109463,115822,109463,114915,510415,0.054169342262177844
2015-03-03,115822,117185,113551,114915,308957,0.0
2015-03-04,114459,119456,114459,117640,574968,0.023713179306443788
2015-03-05,117639,120818,116730,117640,335202,0.0
2015-03-06,118093,119456,115368,118548,296440,0.007718463107786455
2015-03-09,117185,118547,115822,116732,197579,-0.015318689475992797
2015-03-10,117185,119910,116730,119002,301593,0.01944625295548774
2015-03-11,116276,117185,112642,113098,426803,-0.04961261155274699
2015-03-12,113551,114913,109463,109464,462614,-0.03213142584307416
2015-03-13,110372,113097,109917,111281,224682,0.016599064532631713
2015-03-16,109463,110372,105829,106284,329236,-0.0449043412622101
2015-03-17,107192,111734,107192,111735,314977,0.051287117534153825
2015-03-18,111734,112189,109009,109010,245534,-0.024388061037275643
2015-03-19,113097,115822,112642,115368,374760,0.05832492431886993
2015-03-20,115368,116730,112642,116732,288520,0.011823035850495822
2015-03-23,117639,117639,114913,115823,235359,-0.0077870678134530635
2015-03-24,115822,116276,113097,114006,222168,-0.01568773041623861
2015-03-25,114459,114913,110372,110372,213586,-0.03187551532375488
2015-03-26,110825,112642,109917,111735,173382,0.01234914652266883
2015-03-27,113097,113551,110372,111735,172725,0.0
2015-03-30,112189,112189,109917,111281,148709,-0.004063185215017695
2015-03-31,111734,112642,109917,110827,180169,-0.004079762043834978
2015-04-01,111734,112189,108101,108556,278071,-0.020491396500852632
2015-04-02,109009,109463,106738,108556,248432,0.0
2015-04-03,108101,113551,107192,113098,311456,0.04184015623272774
2015-04-06,112642,114913,111280,113552,232289,0.004014217758050442
2015-04-07,116730,118547,115368,117185,513692,0.03199415245878545
2015-04-08,117185,125814,116276,124907,1070460,0.0658958057771899
2015-04-09,124452,128540,122181,127632,732007,0.021816231276069464
2015-04-10,127178,128540,125814,128087,375846,0.0035649366929924042
2015-04-13,129902,133990,129902,133537,523354,0.04254920483733704
2015-04-14,133536,135807,130357,134445,452099,0.006799613590240838
2015-04-15,135353,135807,132173,134900,268309,0.0033842835360184953
2015-04-16,137624,139441,133990,135809,423369,0.006738324684951724
2015-04-17,134445,135353,127631,130357,632079,-0.04014461486352161
2015-04-20,126269,129902,124906,129904,491511,-0.003475072301449056
2015-04-21,131719,134899,131265,131720,295040,0.013979554132282246
2015-04-22,130811,134899,130357,134445,437242,0.02068782265411473
2015-04-23,135807,136262,128540,133083,383378,-0.010130536650674982
2015-04-24,132173,134445,128085,130357,335849,-0.020483457691816365
2015-04-27,130357,133536,130357,133083,268662,0.020911803738963064
2015-04-28,133990,139895,133536,139442,740354,0.04778221110134284
2015-04-29,138533,138986,130357,132174,773739,-0.052122029230791345
2015-04-30,130811,131265,125814,127178,420039,-0.03779865934298732
2015-05-04,129448,131265,128540,128995,155978,0.014287062227743785
2015-05-06,128085,130357,127631,128995,120619,0.0
