Date,Open,High,Low,Close,Volume,Change
2015-01-02,169000,170500,167000,169000,458014,0.0
2015-01-05,171000,171000,166000,168000,454073,-0.00591715976331364
2015-01-06,166500,167000,164000,164500,635059,-0.02083333333333337
2015-01-07,163000,171500,163000,170000,511006,0.033434650455927084
2015-01-08,172500,178000,171000,178000,902742,0.04705882352941182
2015-01-09,180000,182500,177500,180000,717579,0.011235955056179803
2015-01-12,178000,179500,175500,177500,684147,-0.01388888888888884
2015-01-13,181500,181500,178000,179500,713861,0.011267605633802802
2015-01-14,181000,182500,176500,177500,392613,-0.011142061281337101
2015-01-15,178000,178000,173500,174500,378944,-0.016901408450704203
2015-01-16,172000,174000,169000,171000,584513,-0.02005730659025784
2015-01-19,172500,173500,171000,172500,317800,0.00877192982456143
2015-01-20,173000,174500,172000,173500,230296,0.005797101449275255
2015-01-21,172500,176000,168500,171500,487848,-0.011527377521613813
2015-01-22,171500,174000,164500,168000,934624,-0.020408163265306145
2015-01-23,170500,171000,167000,168000,808652,0.0
2015-01-26,165500,166500,163500,164500,1025813,-0.02083333333333337
2015-01-27,166000,166000,161000,164000,807357,-0.003039513677811523
2015-01-28,164500,166000,163000,165500,575233,0.009146341463414531
2015-01-29,165500,168500,164500,167000,415472,0.009063444108761365
2015-01-30,168500,171000,167000,169500,708694,0.014970059880239583
2015-02-02,170000,171000,168500,171000,434084,0.008849557522123908
2015-02-03,169000,169500,165500,166000,704421,-0.0292397660818714
2015-02-04,166500,168000,165500,166500,827022,0.003012048192771122
2015-02-05,166000,167500,165500,166000,381546,-0.0030030030030030463
2015-02-06,166000,167000,161000,163500,1051919,-0.015060240963855387
2015-02-09,162000,162500,156000,157500,865369,-0.03669724770642202
2015-02-10,157000,160000,156000,156500,543125,-0.006349206349206327
2015-02-11,157500,158000,155000,157000,590973,0.0031948881789136685
2015-02-12,158000,158000,155000,155000,545256,-0.01273885350318471
2015-02-13,156000,160500,156000,158000,565464,0.019354838709677358
2015-02-16,159000,160000,157500,158000,305310,0.0
2015-02-17,158000,163500,158000,162500,616701,0.028481012658227778
2015-02-23,166000,167000,160500,162000,661014,-0.003076923076923088
2015-02-24,164000,164500,161500,162500,450646,0.0030864197530864335
2015-02-25,163500,164500,162500,164000,502056,0.009230769230769154
2015-02-26,164500,164500,162000,163500,472204,-0.0030487804878048808
2015-02-27,163000,164000,160000,160500,668860,-0.01834862385321101
2015-03-02,162000,162500,160000,161500,478539,0.006230529595015577
2015-03-03,162500,168500,161500,166500,735321,0.030959752321981338
2015-03-04,167500,169000,163000,163500,635636,-0.018018018018018056
2015-03-05,163000,169000,163000,167500,481426,0.024464831804281273
2015-03-06,169000,173500,168000,173000,930838,0.032835820895522394
2015-03-09,172500,173000,169000,169000,616415,-0.023121387283236983
2015-03-10,171000,173500,170000,173000,657344,0.023668639053254337
2015-03-11,171000,178500,170000,176500,1126499,0.020231213872832443
2015-03-12,177500,177500,172000,172000,839816,-0.025495750708215303
2015-03-13,173500,174500,170000,172000,497175,0.0
2015-03-16,172500,177000,172000,175500,794357,0.02034883720930236
2015-03-17,178000,182000,177000,182000,1193025,0.03703703703703698
2015-03-18,183000,186000,182000,182000,868610,0.0
2015-03-19,186000,187000,180500,184000,772519,0.01098901098901095
2015-03-20,185000,185500,179000,181000,798518,-0.016304347826086918
2015-03-23,182000,182500,176500,179000,650348,-0.011049723756906049
2015-03-24,178500,178500,173000,175000,868581,-0.022346368715083775
2015-03-25,173500,174500,170000,170000,894773,-0.02857142857142858
2015-03-26,168500,172000,167500,169000,630097,-0.00588235294117645
2015-03-27,170000,171000,167000,167500,556195,-0.00887573964497046
2015-03-30,168500,170000,166500,167000,400470,-0.0029850746268657025
2015-03-31,170000,172500,167500,168500,545852,0.008982035928143617
2015-04-01,167500,168000,163000,164000,687942,-0.02670623145400597
2015-04-02,165500,168000,164000,164000,499028,0.0
2015-04-03,166500,167500,165500,166000,406857,0.012195121951219523
2015-04-06,166500,166500,162000,162000,567728,-0.02409638554216864
2015-04-07,162500,164000,160500,161500,493303,-0.0030864197530864335
2015-04-08,162500,163500,161000,161000,582165,-0.003095975232198178
2015-04-09,161000,164500,161000,161500,552693,0.0031055900621117516
2015-04-10,162500,168500,162500,167500,897568,0.037151702786377694
2015-04-13,169000,169500,166500,167000,874056,-0.0029850746268657025
2015-04-14,167500,171500,166000,171000,855013,0.0239520958083832
2015-04-15,173500,173500,169500,170000,582563,-0.005847953216374324
2015-04-16,170500,171000,167000,169000,642025,-0.00588235294117645
2015-04-17,168000,171000,168000,170000,582544,0.00591715976331364
2015-04-20,168000,174500,168000,174500,953611,0.026470588235294024
2015-04-21,174000,175000,170000,171000,753660,-0.02005730659025784
2015-04-22,170000,172000,169000,170000,828845,-0.005847953216374324
2015-04-23,172000,176500,170000,175500,1216380,0.032352941176470695
2015-04-24,178000,180000,176500,177500,1211753,0.01139601139601143
2015-04-27,179500,181000,175000,176000,748451,-0.008450704225352101
2015-04-28,176500,177000,170500,172500,740146,-0.019886363636363646
2015-04-29,171500,172000,168500,171000,601241,-0.008695652173912993
2015-04-30,170500,171000,169000,169000,427815,-0.011695906432748537
2015-05-04,170000,173000,169000,172000,380816,0.01775147928994092
2015-05-06,171500,175000,170500,171500,503864,-0.0029069767441860517
2015-05-07,170500,174000,170000,173000,402405,0.008746355685131268
2015-05-08,172500,175000,172000,173000,468895,0.0
2015-05-11,175000,175500,169500,169500,436637,-0.020231213872832332
2015-05-12,170000,170500,168000,169000,458718,-0.002949852507374673
2015-05-13,169000,170000,164500,166000,757632,-0.017751479289940808
