Date,Open,High,Low,Close,Volume,Change
2015-01-02,139500,140500,135500,139000,8314,0.007246376811594235
2015-01-05,137000,137500,135000,137000,9489,-0.014388489208633115
2015-01-06,137000,138500,133000,134000,14779,-0.021897810218978075
2015-01-07,134000,136000,130500,132500,16988,-0.011194029850746245
2015-01-08,132000,134000,131000,133000,13563,0.0037735849056603765
2015-01-09,132500,134000,131500,132000,19693,-0.007518796992481258
2015-01-12,132000,133000,130500,131000,30028,-0.007575757575757569
2015-01-13,131000,134000,130000,132000,19568,0.007633587786259444
2015-01-14,132000,133500,127000,129500,26799,-0.018939393939393923
2015-01-15,129500,131000,127500,129000,13016,-0.0038610038610038533
2015-01-16,127500,129000,124500,125500,24757,-0.027131782945736482
2015-01-19,127000,128000,125500,127000,5512,0.01195219123505975
2015-01-20,126500,127000,124500,126000,15965,-0.007874015748031482
2015-01-21,126000,126000,123500,124500,7996,-0.011904761904761862
2015-01-22,123500,125500,120500,122500,21184,-0.016064257028112428
2015-01-23,122500,123000,120000,121500,19434,-0.008163265306122436
2015-01-26,121500,122000,119000,121000,20557,-0.004115226337448541
2015-01-27,121000,122500,119500,121500,31575,0.004132231404958775
2015-01-28,121000,125000,120000,125000,39912,0.028806584362139898
2015-01-29,125000,126000,121500,122500,68846,-0.020000000000000018
2015-01-30,123500,124500,117500,120000,99768,-0.020408163265306145
2015-02-02,120000,121500,119000,120000,36333,0.0
2015-02-03,121000,121000,117500,119500,47218,-0.004166666666666652
2015-02-04,120000,123500,118500,120500,76979,0.008368200836819994
2015-02-05,121000,121000,119000,120000,46457,-0.004149377593360981
2015-02-06,120500,120500,118000,119500,35285,-0.004166666666666652
2015-02-09,120000,121000,117500,118000,42186,-0.012552301255230103
2015-02-10,118500,125000,117500,122500,150990,0.03813559322033888
2015-02-11,124500,130000,123500,126000,151374,0.02857142857142847
2015-02-12,130000,132500,123000,125000,96448,-0.007936507936507908
2015-02-13,126000,129500,123000,126000,67795,0.008000000000000007
2015-02-16,126500,129000,124000,126000,65964,0.0
2015-02-17,125000,129500,124500,128500,67508,0.01984126984126977
2015-02-23,129500,130500,125500,128500,59135,0.0
2015-02-24,129000,129000,124000,126500,211428,-0.015564202334630295
2015-02-25,127000,132500,126500,131500,87249,0.03952569169960474
2015-02-26,132000,135500,131000,134500,48342,0.02281368821292773
2015-02-27,133000,137500,133000,134000,43218,-0.0037174721189591198
2015-03-02,134000,135000,130500,133000,43876,-0.007462686567164201
2015-03-03,134000,136500,133000,135000,34589,0.015037593984962516
2015-03-04,135000,136500,134500,134500,23610,-0.0037037037037036535
2015-03-05,134500,137000,134000,135000,28848,0.0037174721189590088
2015-03-06,136000,136500,131500,133000,31910,-0.014814814814814836
2015-03-09,133500,134500,132500,132500,27910,-0.003759398496240629
2015-03-10,133000,133500,127000,130500,47650,-0.015094339622641506
2015-03-11,130000,131000,128500,129000,37479,-0.011494252873563204
2015-03-12,128500,131000,125500,128500,61500,-0.003875968992248069
2015-03-13,129000,133500,128500,132000,60168,0.027237354085603016
2015-03-16,133500,133500,128500,132000,30538,0.0
2015-03-17,132500,133000,129000,132500,53287,0.0037878787878788955
2015-03-18,133000,134500,131500,133000,84606,0.0037735849056603765
2015-03-19,133000,134500,130000,133000,68714,0.0
2015-03-20,133000,133000,128000,131500,118104,-0.011278195488721776
2015-03-23,132000,133500,130500,131000,71552,-0.0038022813688213253
2015-03-24,130000,132000,129500,131500,17044,0.003816793893129722
2015-03-25,131500,131500,129000,129500,33374,-0.01520912547528519
2015-03-26,129000,129000,126000,127000,51345,-0.019305019305019266
2015-03-27,127000,128500,126000,127000,15831,0.0
2015-03-30,127000,129000,126000,127000,18108,0.0
2015-03-31,128000,130000,128000,128000,30464,0.007874015748031482
2015-04-01,128000,131000,127000,129500,22713,0.01171875
2015-04-02,129500,132000,129000,130000,29201,0.0038610038610038533
2015-04-03,130000,131000,128500,129500,17631,-0.0038461538461538325
2015-04-06,130000,130500,129000,129500,19852,0.0
2015-04-07,129000,130500,127000,128500,31268,-0.007722007722007707
2015-04-08,128500,129000,124500,126000,69581,-0.01945525291828798
2015-04-09,125500,126000,122500,125500,44805,-0.003968253968253954
2015-04-10,124500,126000,122500,125000,49675,-0.003984063745019917
2015-04-13,126000,126000,122500,123500,54909,-0.01200000000000001
2015-04-14,123500,137000,123000,136000,177187,0.10121457489878538
2015-04-15,139000,142000,134000,136000,78745,0.0
2015-04-16,136000,140500,135000,136500,67922,0.003676470588235281
2015-04-17,136500,141000,136000,138500,54675,0.0146520146520146
2015-04-20,137500,147000,136500,141000,81762,0.018050541516245522
2015-04-21,141500,145000,139500,141500,36019,0.0035460992907800915
2015-04-22,142000,145000,138000,140000,42084,-0.010600706713780883
2015-04-23,139000,142000,137000,140500,39893,0.0035714285714285587
2015-04-24,139500,143000,137000,140000,48154,-0.003558718861209953
2015-04-27,141500,143000,137500,141000,37083,0.0071428571428571175
2015-04-28,143000,144500,141000,141500,30964,0.0035460992907800915
2015-04-29,141000,141500,136000,136000,40950,-0.03886925795053009
2015-04-30,137000,137000,132000,135000,31454,-0.007352941176470562
2015-05-04,133500,135000,127000,134500,73455,-0.0037037037037036535
2015-05-06,132000,133000,128500,130000,54489,-0.03345724907063197
2015-05-07,129000,130000,126500,129500,34185,-0.0038461538461538325
2015-05-08,128500,132000,127000,131000,17274,0.01158301158301156
2015-05-11,130500,131500,128500,130500,45857,-0.003816793893129722
2015-05-12,131000,133000,129000,130000,38653,-0.003831417624521105
2015-05-13,129000,130500,128000,129000,59323,-0.007692307692307665
2015-05-14,130000,135500,129000,132000,99377,0.023255813953488413
2015-05-15,133000,134000,129500,132000,49523,0.0
2015-05-18,132500,132500,129500,132000,33193,0.0
2015-05-19,131500,132000,129500,131000,25279,-0.007575757575757569
2015-05-20,130000,130500,126000,128500,77530,-0.01908396946564883
2015-05-21,127500,128000,124000,124500,78838,-0.0311284046692607
2015-05-22,124500,128000,123000,127500,21905,0.024096385542168752
2015-05-26,128000,128000,125000,126000,35417,-0.0117647058823529
2015-05-27,126000,129500,123000,129500,63051,0.02777777777777768
2015-05-28,130000,130500,125000,126500,53922,-0.02316602316602312
2015-05-29,127500,127500,125500,126000,29162,-0.0039525691699604515
2015-06-01,125500,128000,124500,127000,22936,0.007936507936507908
2015-06-02,127000,127500,123500,124000,39946,-0.023622047244094446
2015-06-03,125000,130500,125000,128000,45463,0.032258064516129004
2015-06-04,131500,133000,126500,127500,36919,-0.00390625
2015-06-05,128000,128000,125000,126500,28249,-0.007843137254901933
2015-06-08,128000,129500,125000,126500,36822,0.0
2015-06-09,126500,127000,125000,126000,25406,-0.0039525691699604515
2015-06-10,126000,126500,122500,125000,31778,-0.007936507936507908
2015-06-11,125000,126000,123000,124000,26752,-0.008000000000000007
2015-06-12,125000,125000,121000,122500,34199,-0.012096774193548376
2015-06-15,121500,125000,120000,124500,43177,0.01632653061224487
2015-06-16,124500,126500,121000,125500,35852,0.008032128514056325
2015-06-17,125000,126000,122500,125000,36066,-0.003984063745019917
2015-06-18,127000,127000,122500,125000,43361,0.0
2015-06-19,126000,126000,121000,121500,55228,-0.028000000000000025
2015-06-22,121500,122500,120000,121000,26210,-0.004115226337448541
2015-06-23,121500,123000,120500,122500,21524,0.012396694214876103
2015-06-24,122500,123000,121000,122500,13741,0.0
2015-06-25,122500,122500,121000,121500,23866,-0.008163265306122436
2015-06-26,123000,125500,121000,124500,28423,0.024691358024691468
2015-06-29,123000,126500,122000,125000,26471,0.004016064257028162
2015-06-30,126000,126000,122500,122500,20498,-0.020000000000000018
2015-07-01,122000,123000,121000,122500,38821,0.0
2015-07-02,123000,123000,120000,120000,33503,-0.020408163265306145
2015-07-03,120000,121000,117500,119000,32975,-0.008333333333333304
2015-07-06,119000,119500,116500,118000,21448,-0.008403361344537785
2015-07-07,117500,117500,114500,116000,35307,-0.016949152542372836
2015-07-08,114500,116500,112500,114000,56555,-0.017241379310344862
2015-07-09,112000,112500,108000,110000,68147,-0.03508771929824561
2015-07-10,109000,113000,107500,107500,49604,-0.022727272727272707
2015-07-13,108500,112000,108500,111000,61842,0.032558139534883734
2015-07-14,112000,114000,111000,111000,41052,0.0
2015-07-15,111500,113000,110000,110500,49264,-0.0045045045045044585
2015-07-16,110500,113500,110000,111500,64026,0.009049773755656076
2015-07-17,112500,114500,108500,110500,51316,-0.008968609865470878
2015-07-20,111000,113500,109500,112000,55531,0.013574660633484115
2015-07-21,114000,123000,113500,119000,160879,0.0625
2015-07-22,118500,119000,116000,117500,54963,-0.012605042016806678
2015-07-23,117000,123500,117000,123500,68243,0.051063829787234116
2015-07-24,123500,125500,122000,123500,52097,0.0
2015-07-27,121000,125000,120500,124500,42401,0.00809716599190291
2015-07-28,124500,124500,121500,122500,55072,-0.016064257028112428
2015-07-29,123000,123500,120000,121000,40063,-0.01224489795918371
2015-07-30,120000,123000,119500,121000,25365,0.0
2015-07-31,121000,123500,118500,122500,36738,0.012396694214876103
2015-08-03,122500,130000,122500,128500,52551,0.048979591836734615
2015-08-04,129000,130500,127000,129000,51638,0.0038910505836575737
2015-08-05,126000,132500,124000,130000,55055,0.007751937984496138
2015-08-06,129500,130000,125500,125500,35938,-0.0346153846153846
2015-08-07,124500,127500,122500,126500,21434,0.007968127490039834
2015-08-10,124500,130000,123000,128000,30052,0.011857707509881354
2015-08-11,128000,129500,125500,126500,9190,-0.01171875
2015-08-12,124500,128000,123000,128000,32922,0.011857707509881354
2015-08-13,126000,128500,124500,128000,30585,0.0
2015-08-17,127500,128000,123000,126500,38864,-0.01171875
2015-08-18,125000,126000,123500,125500,26241,-0.007905138339920903
