Date,Open,High,Low,Close,Volume,Change
2015-01-02,91700,94800,91500,94800,307891,0.03719912472647713
2015-01-05,96000,98000,94100,96700,482786,0.020042194092827037
2015-01-06,95800,98200,95100,97400,424840,0.007238883143743546
2015-01-07,98000,103000,98000,103000,889464,0.05749486652977409
2015-01-08,103500,106500,102000,105000,487805,0.01941747572815533
2015-01-09,106000,107000,102500,104000,327893,-0.00952380952380949
2015-01-12,105000,108000,100500,100500,523164,-0.033653846153846145
2015-01-13,100000,104000,98500,102000,326437,0.014925373134328401
2015-01-14,101500,102000,99000,100000,391106,-0.019607843137254943
2015-01-15,100500,103000,100000,101500,188224,0.014999999999999902
2015-01-16,101500,104000,99800,101500,333129,0.0
2015-01-19,100500,104500,99100,104500,420893,0.029556650246305383
2015-01-20,104500,106000,102500,104000,323097,-0.004784688995215336
2015-01-21,104000,106500,103500,105000,246014,0.009615384615384581
2015-01-22,106000,106500,103500,104500,216530,-0.004761904761904745
2015-01-23,105500,106000,102000,104500,255573,0.0
2015-01-26,105000,106000,104000,106000,270282,0.014354066985645897
2015-01-27,107500,107500,104500,105000,190910,-0.009433962264150941
2015-01-28,105000,106500,103500,105000,255928,0.0
2015-01-29,105000,106500,102000,103500,354001,-0.014285714285714235
2015-01-30,99500,103500,96000,102000,946264,-0.01449275362318836
2015-02-02,104000,104000,100000,101500,238810,-0.004901960784313708
2015-02-03,106000,108500,104500,105500,881874,0.039408866995073843
2015-02-04,106000,106500,103500,103500,251923,-0.018957345971563955
2015-02-05,103500,105500,103000,103500,254632,0.0
2015-02-06,103500,104000,100000,100000,326866,-0.033816425120772986
2015-02-09,101500,103000,100000,100000,190697,0.0
2015-02-10,100500,101000,97800,98800,237533,-0.01200000000000001
2015-02-11,99300,102500,99300,102500,239280,0.037449392712550544
2015-02-12,106000,107000,104000,106500,788332,0.039024390243902474
2015-02-13,106500,106500,104500,105500,336175,-0.009389671361502372
2015-02-16,106500,106500,104000,105500,212757,0.0
2015-02-17,105000,106000,104500,105000,188033,-0.004739336492891044
2015-02-23,105000,105500,103500,104000,248813,-0.00952380952380949
2015-02-24,103500,104000,101500,103500,258097,-0.004807692307692291
2015-02-25,103500,104000,101500,102000,170864,-0.01449275362318836
2015-02-26,101500,102000,98900,101000,421894,-0.009803921568627416
2015-02-27,100000,100000,98500,99000,422591,-0.01980198019801982
2015-03-02,97000,98100,94600,95000,753519,-0.04040404040404044
2015-03-03,95700,96600,94000,94800,527449,-0.002105263157894721
2015-03-04,94700,97100,94700,97100,318180,0.024261603375527407
2015-03-05,96000,97900,96000,97200,172933,0.001029866117404632
2015-03-06,97000,97600,96400,97600,218106,0.004115226337448652
2015-03-09,97000,97500,96000,96300,219057,-0.013319672131147486
2015-03-10,96500,97000,94600,95000,234739,-0.01349948078920038
2015-03-11,94400,94500,92000,92100,351437,-0.030526315789473735
2015-03-12,92800,93600,90700,90700,267174,-0.015200868621064068
2015-03-13,91300,92400,91100,92000,190018,0.014332965821389099
2015-03-16,92000,95500,91300,94500,286188,0.02717391304347827
2015-03-17,94900,95400,93200,94500,367355,0.0
2015-03-18,95000,95200,93300,93300,258986,-0.012698412698412653
2015-03-19,93800,95400,93800,94600,260118,0.013933547695605508
2015-03-20,95300,98500,95300,98500,382809,0.04122621564482021
2015-03-23,99700,99900,97700,98000,291307,-0.005076142131979711
2015-03-24,102000,102500,97800,99800,838266,0.01836734693877551
2015-03-25,100000,100500,98100,98500,319420,-0.013026052104208374
2015-03-26,97500,98400,96000,96500,232726,-0.02030456852791873
2015-03-27,96200,98000,96200,98000,180469,0.015544041450777257
2015-03-30,98900,100500,98400,99300,249063,0.013265306122449028
2015-03-31,100000,100500,96700,97900,283487,-0.014098690835850913
2015-04-01,99200,99200,96800,97700,203554,-0.002042900919305368
2015-04-02,98000,98400,96700,97800,157946,0.0010235414534287557
2015-04-03,97800,99800,97000,99300,197399,0.015337423312883347
2015-04-06,99900,101000,99500,100000,293806,0.007049345417925457
2015-04-07,100000,100500,97900,98000,225263,-0.020000000000000018
2015-04-08,98000,98300,96000,96000,318031,-0.020408163265306145
2015-04-09,96200,96500,94500,95400,396173,-0.006249999999999978
2015-04-10,95900,98600,95500,98600,441974,0.03354297693920327
2015-04-13,110000,113000,106500,113000,1444840,0.1460446247464504
2015-04-14,120000,128500,117500,121500,3093554,0.0752212389380531
2015-04-15,122000,123500,119000,121000,688605,-0.004115226337448541
2015-04-16,122000,124000,119500,123000,509201,0.016528925619834656
2015-04-17,121000,123500,119000,119000,471087,-0.03252032520325199
2015-04-20,117500,121500,117000,120500,376811,0.012605042016806678
2015-04-21,121500,122000,118000,120000,303390,-0.004149377593360981
2015-04-22,120000,124000,118000,123500,557305,0.029166666666666563
2015-04-23,124000,126000,121000,125500,514089,0.0161943319838056
2015-04-24,126000,128000,124500,127000,432516,0.01195219123505975
2015-04-27,127000,127000,121500,123000,462349,-0.03149606299212604
2015-04-28,123000,125000,119000,124000,406791,0.008130081300812941
2015-04-29,124500,125000,106000,111000,2327229,-0.10483870967741937
2015-04-30,109500,113000,107000,107000,1010436,-0.036036036036036
2015-05-04,108500,110000,107500,107500,498847,0.004672897196261738
2015-05-06,106000,108500,105500,108500,272294,0.009302325581395321
2015-05-07,107500,108000,104000,107000,249894,-0.01382488479262678
2015-05-08,106500,110500,106000,109000,243638,0.01869158878504673
2015-05-11,110000,110500,106000,108000,291086,-0.00917431192660545
2015-05-12,108000,110000,106500,106500,162730,-0.01388888888888884
2015-05-13,106000,107500,104500,107000,230680,0.0046948356807512415
2015-05-14,107000,112000,107000,108500,315659,0.014018691588784993
2015-05-15,110000,112000,108000,111000,229204,0.02304147465437789
2015-05-18,112000,115500,111000,115000,352167,0.03603603603603611
2015-05-19,116500,117000,113000,113500,215063,-0.013043478260869601
2015-05-20,113500,114500,109000,110500,268771,-0.026431718061673992
2015-05-21,110500,111000,106500,109500,296434,-0.009049773755656076
2015-05-22,109000,111000,108500,111000,197426,0.013698630136986356
2015-05-26,116500,119500,112500,113000,565006,0.018018018018018056
2015-05-27,113500,116500,112000,115000,347848,0.017699115044247815
2015-05-28,118500,126000,117000,123500,1024615,0.07391304347826089
2015-05-29,122500,123000,119000,119500,478906,-0.03238866396761131
2015-06-01,116000,119000,112000,118500,739551,-0.008368200836820106
2015-06-02,114500,116500,112500,114000,754370,-0.03797468354430378
2015-06-03,110500,115500,110000,114000,487146,0.0
2015-06-04,114000,114500,108500,111000,634700,-0.02631578947368418
2015-06-05,110000,112500,108000,109500,365301,-0.013513513513513487
2015-06-08,111000,111500,109000,111000,255745,0.013698630136986356
2015-06-09,111000,111000,107500,108000,339137,-0.027027027027026973
2015-06-10,108000,108500,105000,105500,392345,-0.02314814814814814
2015-06-11,106500,107500,104500,106000,475056,0.004739336492890933
2015-06-12,107000,110500,106500,109000,481939,0.028301886792452935
2015-06-15,107000,108000,103000,104500,506332,-0.041284403669724745
2015-06-16,103000,108500,103000,106500,321341,0.019138755980861344
2015-06-17,107000,109000,107000,109000,213598,0.023474178403755763
2015-06-18,109000,109000,104500,104500,315918,-0.041284403669724745
2015-06-19,100500,108500,99500,105500,664224,0.009569377990430672
2015-06-22,108500,113500,108500,110500,541036,0.04739336492891
2015-06-23,114000,119500,112000,119000,742747,0.07692307692307687
2015-06-24,117500,119000,115500,118000,288065,-0.008403361344537785
2015-06-25,119000,119000,113000,113000,252305,-0.0423728813559322
2015-06-26,114000,116500,111500,116500,210117,0.030973451327433565
2015-06-29,113500,117000,112000,112500,289145,-0.03433476394849788
2015-06-30,111000,114000,111000,111500,310723,-0.008888888888888835
2015-07-01,115000,120500,115000,119000,616373,0.06726457399103136
2015-07-02,121500,128500,121500,126000,706379,0.05882352941176472
2015-07-03,131500,135000,128000,128500,655898,0.01984126984126977
2015-07-06,127500,133500,125500,129500,435988,0.0077821011673151474
2015-07-07,133000,133000,116500,119500,763372,-0.07722007722007718
2015-07-08,119000,124000,118000,121000,507589,0.012552301255230214
2015-07-09,118000,120500,114000,117500,630084,-0.02892561983471076
2015-07-10,124000,134000,121500,128000,2517938,0.08936170212765959
2015-07-13,140500,143000,128500,131000,3139617,0.0234375
2015-07-14,133000,136000,129000,135000,1292140,0.03053435114503822
2015-07-15,133500,136500,132000,135500,656161,0.0037037037037037646
2015-07-16,134500,135500,130500,131500,607295,-0.029520295202952074
2015-07-17,132000,134500,126000,129500,545151,-0.01520912547528519
2015-07-20,129500,132000,128500,130000,299829,0.0038610038610038533
2015-07-21,132000,132500,129000,130500,254974,0.0038461538461538325
2015-07-22,131500,134000,129500,133000,378178,0.019157088122605304
2015-07-23,134000,135000,132000,133000,292037,0.0
2015-07-24,133000,133500,129500,129500,222724,-0.02631578947368418
2015-07-27,129000,133000,129000,131500,317552,0.015444015444015413
2015-07-28,132000,133500,129500,133500,327562,0.015209125475285079
2015-07-29,134000,135000,132000,134000,288338,0.0037453183520599342
2015-07-30,134000,134000,130500,131000,255149,-0.02238805970149249
2015-07-31,131000,131500,125000,126000,352867,-0.03816793893129766
2015-08-03,126500,141500,126500,137000,871484,0.08730158730158721
2015-08-04,136500,138500,135000,136500,279219,-0.0036496350364964014
2015-08-05,137500,141500,137000,138000,309977,0.01098901098901095
2015-08-06,139500,140000,135000,138000,196554,0.0
2015-08-07,139000,139000,135000,136500,123852,-0.010869565217391353
2015-08-10,137000,137500,131000,134500,190624,-0.0146520146520146
2015-08-11,136500,136500,125000,125500,470502,-0.06691449814126393
2015-08-12,123000,125500,116500,119000,660460,-0.05179282868525892
2015-08-13,119500,126000,118000,126000,579810,0.05882352941176472
2015-08-17,127000,127500,122000,122000,208746,-0.031746031746031744
2015-08-18,123000,123500,119500,120000,373073,-0.016393442622950838
2015-08-19,119000,120000,114000,118500,366117,-0.012499999999999956
2015-08-20,117000,117500,110500,110500,494205,-0.0675105485232067
2015-08-21,105500,113000,102500,110500,441967,0.0
2015-08-24,109500,112000,107000,112000,424546,0.013574660633484115
2015-08-25,111500,118500,108000,115000,403698,0.02678571428571419
2015-08-26,115000,121000,114000,120000,424370,0.04347826086956519
2015-08-27,120500,126000,118500,125000,438005,0.04166666666666674
2015-08-28,125500,127500,123500,126000,397914,0.008000000000000007
2015-08-31,125000,125500,120500,120500,245632,-0.04365079365079361
2015-09-01,119500,121500,117500,117500,176618,-0.024896265560165998
2015-09-02,116000,119500,115500,118000,207520,0.004255319148936065
2015-09-03,118000,119000,114000,114000,183837,-0.03389830508474578
2015-09-04,113000,117000,110000,111000,331372,-0.02631578947368418
2015-09-07,112500,112500,109000,109500,256674,-0.013513513513513487
2015-09-08,110000,113000,108000,109500,242351,0.0
2015-09-09,112500,116000,111500,114500,302333,0.04566210045662111
2015-09-10,113000,117000,111500,117000,264421,0.02183406113537112
2015-09-11,116000,117500,114500,115000,144182,-0.017094017094017144
2015-09-14,116000,119000,115000,116000,204626,0.008695652173912993
2015-09-15,116500,120000,116500,119000,235181,0.02586206896551735
2015-09-16,120000,120500,118000,119000,195190,0.0
2015-09-17,122000,125000,120500,123500,325176,0.037815126050420256
2015-09-18,124000,125500,122000,125000,184496,0.012145748987854255
2015-09-21,124500,124500,121000,121000,174590,-0.03200000000000003
2015-09-22,122500,123500,121000,122000,198135,0.008264462809917328
2015-09-23,120000,121000,115000,115000,311661,-0.05737704918032782
2015-09-24,117000,119000,115500,116000,149649,0.008695652173912993
2015-09-25,115500,116500,114500,115500,134406,-0.004310344827586188
2015-09-30,116000,118500,113000,115000,322623,-0.0043290043290042934
2015-10-01,115000,117500,114500,115500,254756,0.004347826086956497
2015-10-02,115500,117500,114000,115000,222272,-0.0043290043290042934
2015-10-05,116500,118000,115500,117500,363551,0.021739130434782705
2015-10-06,119500,120500,117500,119000,226049,0.012765957446808418
2015-10-07,119000,119000,115000,115000,213203,-0.03361344537815125
2015-10-08,115500,116500,112500,113000,318322,-0.017391304347826098
2015-10-12,111000,112000,107000,107500,886933,-0.04867256637168138
2015-10-13,107500,108000,103500,105500,668513,-0.018604651162790753
2015-10-14,104500,104500,100000,100500,828279,-0.04739336492891
2015-10-15,101000,106500,101000,104500,639580,0.03980099502487566
2015-10-16,105500,107000,104500,105000,440270,0.004784688995215225
2015-10-19,106500,110000,106000,108000,358304,0.02857142857142847
2015-10-20,109000,109500,107000,108500,162494,0.004629629629629539
2015-10-21,108000,108500,104500,104500,230541,-0.03686635944700456
2015-10-22,105000,106500,103500,104000,182417,-0.004784688995215336
2015-10-23,105000,106500,104000,104500,214515,0.004807692307692291
2015-10-26,105500,109000,105500,109000,270361,0.04306220095693769
2015-10-27,109000,110500,108000,110000,195696,0.00917431192660545
2015-10-28,109500,110500,107000,109000,175826,-0.009090909090909038
2015-10-29,108500,109000,106000,107000,208716,-0.01834862385321101
2015-10-30,107000,111000,106000,110000,284714,0.028037383177569986
2015-11-02,109000,110500,106500,108500,365785,-0.013636363636363669
2015-11-03,110000,113500,109500,113500,446718,0.04608294930875578
2015-11-04,114000,116500,112500,116000,306747,0.022026431718061623
2015-11-05,115000,115500,113500,114000,150250,-0.017241379310344862
2015-11-06,113500,114000,110000,112000,231302,-0.01754385964912286
2015-11-09,111500,113500,109500,110000,220960,-0.017857142857142905
2015-11-10,110500,110500,106000,106500,234802,-0.03181818181818186
2015-11-11,107000,108500,106000,106000,193051,-0.0046948356807511304
2015-11-12,107000,108000,105000,106500,202929,0.004716981132075526
2015-11-13,105000,106000,103000,103000,386356,-0.032863849765258246
2015-11-16,97900,98000,89300,89300,1959417,-0.1330097087378641
2015-11-17,90100,90800,87100,89300,1071214,0.0
2015-11-18,90300,91700,89600,90700,618381,0.015677491601343796
2015-11-19,91000,93700,91000,93500,582660,0.030871003307607392
2015-11-20,93300,93600,91700,92100,302894,-0.0149732620320856
2015-11-23,93500,95300,93300,94300,514753,0.023887079261672106
2015-11-24,94500,94500,91500,91900,548220,-0.02545068928950156
2015-11-25,92300,92400,90100,90400,519504,-0.016322089227421066
2015-11-26,90800,91300,90200,91000,379618,0.006637168141592875
2015-11-27,91200,94200,91100,92800,443264,0.01978021978021971
2015-11-30,92200,92900,90500,90500,346730,-0.024784482758620663
2015-12-01,91300,92300,90700,91500,208059,0.011049723756906049
2015-12-02,91600,92800,90800,92400,227895,0.009836065573770592
2015-12-03,91900,92300,90600,92300,203038,-0.0010822510822511289
2015-12-04,91600,92200,90700,91200,224303,-0.011917659804983716
2015-12-07,92000,92700,91400,91400,171552,0.002192982456140413
2015-12-08,91300,91800,89300,89500,250418,-0.020787746170678356
2015-12-09,88800,89500,85500,86600,642491,-0.03240223463687153
2015-12-10,85800,85800,81700,82900,849346,-0.04272517321016167
2015-12-11,82200,82600,78500,79000,1274707,-0.04704463208685161
2015-12-14,77600,80400,76700,79300,480949,0.0037974683544304
2015-12-15,80000,81000,79600,79800,265678,0.006305170239596425
2015-12-16,80600,82400,80300,81500,384574,0.02130325814536338
2015-12-17,82100,84000,82100,82200,398679,0.008588957055214674
2015-12-18,81800,83000,81300,82200,220732,0.0
2015-12-21,82700,84000,82200,83300,194012,0.01338199513381988
2015-12-22,83200,83700,81600,82100,174410,-0.014405762304921965
2015-12-23,82100,82200,80000,80400,392451,-0.020706455542021884
2015-12-24,80800,82300,80500,82000,252056,0.01990049751243772
2015-12-28,81900,82000,79300,79300,321035,-0.03292682926829271
2015-12-29,79600,80600,79400,79500,266596,0.0025220680958386588
2015-12-30,79600,79600,77000,77300,530967,-0.02767295597484276
2016-01-04,77800,79300,77400,78100,287659,0.010349288486416475
2016-01-05,78300,78900,77400,78500,236187,0.005121638924455718
2016-01-06,78900,79100,76500,77300,370562,-0.015286624203821653
2016-01-07,77300,78300,73200,73500,856384,-0.04915912031047864
2016-01-08,72900,72900,70600,71600,797043,-0.025850340136054473
2016-01-11,71000,71500,70100,70100,545819,-0.020949720670391025
2016-01-12,70600,71700,69500,71400,597321,0.01854493580599148
2016-01-13,71000,71700,69800,70500,611361,-0.012605042016806678
2016-01-14,69600,69600,66800,68300,1137023,-0.031205673758865293
2016-01-15,69300,69600,66300,66700,836933,-0.02342606149341142
2016-01-18,65800,67600,64700,65000,814220,-0.025487256371814038
2016-01-19,65000,65500,63200,64000,750643,-0.01538461538461533
2016-01-20,64500,68100,63500,65100,1335431,0.01718749999999991
2016-01-21,66000,67000,63200,63600,993273,-0.02304147465437789
2016-01-22,64200,65700,63900,65000,931188,0.022012578616352307
2016-01-25,66800,68700,65600,68500,1120034,0.05384615384615388
2016-01-26,68200,68300,65300,67200,819137,-0.01897810218978102
2016-01-27,68300,69600,67600,69300,805032,0.03125
2016-01-28,69000,72900,68500,71300,1312957,0.02886002886002892
