Date,Open,High,Low,Close,Volume,Change
2015-01-02,39945,40419,39650,39709,115176,-0.019022209046666183
2015-01-05,39709,39827,38643,39650,133121,-0.0014858092623838415
2015-01-06,38762,39294,38229,38289,175332,-0.034325346784363164
2015-01-07,38229,39235,37756,38585,97886,0.007730679829716092
2015-01-08,38821,40123,38762,39768,140728,0.0306595827394065
2015-01-09,40123,40951,39886,39946,112881,0.004475960571313609
2015-01-12,39945,41721,39709,41189,256837,0.031117007960747012
2015-01-13,41484,41484,40833,40952,105982,-0.005753963436839982
2015-01-14,40596,41247,40064,40064,97750,-0.02168392264114083
2015-01-15,40064,40774,39709,40479,125991,0.010358426517571795
2015-01-16,41070,43141,41070,42786,330527,0.056992514637219216
2015-01-19,43496,44561,43082,43674,295015,0.02075445239096907
2015-01-20,44088,44680,43378,44088,125151,0.009479324082978469
2015-01-21,43733,44325,43082,44088,115775,0.0
2015-01-22,43437,44147,42727,42964,158253,-0.02549446561422608
2015-01-23,43378,43733,42964,43556,126525,0.01377897774881287
2015-01-26,43200,43555,42668,42846,58176,-0.016300854072917592
2015-01-27,43200,44680,43023,44680,155291,0.04280446249358172
2015-01-28,44502,44976,43792,44148,126648,-0.011906893464637469
2015-01-29,43851,44088,43141,43201,137659,-0.021450575337501165
2015-01-30,43496,43674,42904,42964,95219,-0.0054859841207379745
2015-02-02,43141,44265,43082,43911,104586,0.022041709338050497
2015-02-03,44088,44265,43141,43852,115451,-0.0013436268816470198
2015-02-04,44384,45567,43733,45509,173891,0.03778618991152061
2015-02-05,46337,46337,42904,42905,434821,-0.05721945109758508
2015-02-06,43200,43615,42076,43615,223385,0.01654818785689316
2015-02-09,43615,44325,43319,44325,192752,0.01627880316404906
2015-02-10,44443,44916,43733,44088,128361,-0.005346869712351987
2015-02-11,44384,45212,44147,45094,174213,0.022818000362910595
2015-02-12,44976,45331,43851,44088,124582,-0.022308954628110222
2015-02-13,44384,44621,43378,43378,114977,-0.01610415532571219
2015-02-16,43378,43555,41839,42017,286726,-0.03137535156069893
2015-02-17,42017,42608,41957,42491,114235,0.011281148106718764
2015-02-23,42668,42668,41839,42431,106492,-0.0014120637311431095
2015-02-24,42372,43141,42253,42668,144062,0.005585538874879115
2015-02-25,42904,43555,42668,43023,137896,0.00832005249835932
2015-02-26,43378,43674,42727,43319,127716,0.00688004090835137
2015-02-27,43141,43378,42727,43319,99096,0.0
