Date,Open,High,Low,Close,Volume,Change
2015-01-02,3138,3163,3074,3114,506960,-0.003201024327784907
2015-01-05,3118,3324,3089,3212,1484370,0.031470777135516936
2015-01-06,3133,3207,2967,2972,1491336,-0.07471980074719797
2015-01-07,2928,3050,2879,3016,742529,0.014804845222072593
2015-01-08,3016,3153,2976,3143,940065,0.042108753315649894
2015-01-09,3133,3270,3133,3271,1339128,0.040725421571746745
2015-01-12,3378,3721,3305,3325,6672926,0.016508712931825098
2015-01-13,3363,3373,3167,3178,1600400,-0.04421052631578948
2015-01-14,3177,3300,3172,3256,1461774,0.024543738200125897
2015-01-15,3241,3280,3163,3192,629913,-0.019656019656019708
2015-01-16,3192,3241,3104,3148,777605,-0.013784461152882233
2015-01-19,3163,3187,3094,3094,433755,-0.01715374841168993
2015-01-20,3109,3192,3109,3188,604206,0.030381383322559685
2015-01-21,3172,3197,3099,3114,546907,-0.023212045169385243
2015-01-22,3099,3172,3094,3139,481415,0.008028259473346289
2015-01-23,3138,3197,3030,3046,847641,-0.029627269831156378
2015-01-26,3016,3040,2937,2972,720693,-0.024294156270518674
2015-01-27,2986,3016,2967,2972,452062,0.0
2015-01-28,2976,3016,2957,3011,370616,0.013122476446837172
2015-01-29,2981,2996,2937,2962,442472,-0.016273663234805724
2015-01-30,2986,3006,2947,2977,317123,0.0050641458474003365
2015-02-02,2981,3050,2962,2997,332541,0.006718172657037336
2015-02-03,3001,3016,2972,2977,258394,-0.006673340006673301
2015-02-04,2981,2996,2854,2855,1392485,-0.04098085320792744
2015-02-05,2844,2923,2800,2869,699097,0.004903677758318681
2015-02-06,2888,2893,2849,2869,245487,0.0
2015-02-09,2879,2879,2776,2786,502809,-0.028929940745904492
2015-02-10,2786,2839,2751,2762,338254,-0.008614501076812608
2015-02-11,2761,2810,2761,2781,200591,0.006879073135409142
2015-02-12,2771,2805,2756,2776,227858,-0.001797914419273683
2015-02-13,2776,3045,2776,2918,1322095,0.05115273775216145
2015-02-16,2937,2986,2918,2933,384256,0.005140507196710109
2015-02-17,2932,2991,2932,2972,351306,0.013296965564268737
2015-02-23,2981,2991,2952,2977,257354,0.001682368775235421
2015-02-24,2976,2996,2952,2977,318184,0.0
2015-02-25,2996,3099,2991,3041,664336,0.021498152502519297
2015-02-26,3045,3084,3016,3016,354259,-0.008220979940808948
2015-02-27,3016,3084,2972,2987,414237,-0.009615384615384581
2015-03-02,2981,3006,2923,2948,610272,-0.013056578506863037
2015-03-03,2957,3074,2942,3075,738982,0.04308005427408412
2015-03-04,3099,3128,3021,3021,596395,-0.017560975609756113
2015-03-05,3025,3065,3016,3031,287724,0.0033101621979476636
2015-03-06,3045,3050,3016,3021,325151,-0.0032992411745298433
2015-03-09,2986,3035,2957,2987,242578,-0.011254551473022123
2015-03-10,2976,3055,2967,2972,335959,-0.005021760964178057
2015-03-11,2972,2981,2947,2952,217772,-0.006729475100942128
2015-03-12,2957,2972,2893,2908,515533,-0.01490514905149054
2015-03-13,2913,2937,2908,2923,214546,0.005158184319119741
2015-03-16,2937,2937,2864,2874,308983,-0.016763599042080024
2015-03-17,2874,2923,2869,2899,258988,0.00869867780097433
2015-03-18,2918,2918,2874,2879,245957,-0.006898930665746761
2015-03-19,2908,3040,2883,2997,1280445,0.04098645362973263
2015-03-20,2996,3050,2972,3036,556277,0.013013013013013053
2015-03-23,3035,3074,2991,3031,542919,-0.0016469038208168918
2015-03-24,3025,3060,3001,3060,319766,0.009567799406136501
2015-03-25,3035,3070,2972,2997,444482,-0.020588235294117685
2015-03-26,2937,3016,2932,3006,290884,0.0030030030030030463
2015-03-27,3001,3182,2981,3065,1157970,0.01962741184298067
2015-03-30,3074,3300,3074,3251,2334221,0.06068515497553029
2015-03-31,3270,3344,3172,3266,2120563,0.004613964933866566
2015-04-01,3236,3324,3182,3212,863162,-0.016533986527862865
